Wavelength,Amplitude
nm,mV
835,7.355
836,-1.414
837,-5.382
838,1.453
839,-8.437
840,8.426
841,4.678
842,-7.369
843,-1.799
844,-0.004
845,-12.093
846,0.402
847,-6.917
848,0.375
849,-7.438
850,2.536
851,-0.142
852,-4.848
853,-6.558
854,-1.915
855,1.54
856,-3.469
857,2.009
858,2.745
859,-1.499
860,-1.694
861,-0.011
862,-8.216
863,2.665
864,2.774
865,3.792
866,-1.677
867,2.331
868,-2.521
869,-2.041
870,-5.747
871,-2.19
872,0.605
873,4.976
874,-0.912
875,-3.891
876,-2.209
877,-5.241
878,3.605
879,7.081
880,-3.049
881,-2.984
882,-8.903
883,-1.068
884,-4.831
885,11.252
886,4.265
887,-0.107
888,-2.63
889,-1.619
890,-7.141
891,13.172
892,1.787
893,-1.371
894,2.919
895,2.469
896,-3.596
897,2.514
898,0.089
899,-3.196
900,3.516
901,2.379
902,13.275
903,13.78
904,6.82
905,9.019
906,7.722
907,3.364
908,6.12
909,19.763
910,16.523
911,19.481
912,15.015
913,17.556
914,19.992
915,15.852
916,19.467
917,19.3
918,37.303
919,38.713
920,40.471
921,54.2
922,52.505
923,54.31
924,66.016
925,68.451
926,85.806
927,84.762
928,99.274
929,108.741
930,113.839
931,122.214
932,137.544
933,148.051
934,161.869
935,172.895
936,190.256
937,200.577
938,220.359
939,235.713
940,248.605
941,268.292
942,290.482
943,303.73
944,331.039
945,352.226
946,371.435
947,402.82
948,428.352
949,442.006
950,467.844
951,495.439
952,510.186
953,551.771
954,567.755
955,593.367
956,610.325
957,644.229
958,669.297
959,695.365
960,722.037
961,743.989
962,762.984
963,784.036
964,807.311
965,828.279
966,842.165
967,860.211
968,889.13
969,895.27
970,902.625
971,919.058
972,928.225
973,950.546
974,956.313
975,954.128
976,960.922
977,963.331
978,953.753
979,953.299
980,948.893
981,955.349
982,941.807
983,928.334
984,921.389
985,912.262
986,890.56
987,879.082
988,864.881
989,851.338
990,830.622
991,807.997
992,789.359
993,767.481
994,744.828
995,719.028
996,684.883
997,668.513
998,645.181
999,627.042
1000,599.984
1001,575.826
1002,535.818
1003,530.404
1004,494.707
1005,461.833
1006,444.982
1007,421.935
1008,397.741
1009,385.012
1010,348.592
1011,338.74
1012,314.909
1013,285.618
1014,271.045
1015,249.06
1016,238.022
1017,219.477
1018,201.073
1019,189.389
1020,183.667
1021,156.886
1022,145.668
1023,134.46
1024,122.222
1025,111.706
1026,105.519
1027,99.771
1028,81.584
1029,74.017
1030,74.089
1031,66.131
1032,55.655
1033,56.421
1034,45.358
1035,45.23
1036,21.932
1037,30.523
1038,18.853
1039,20.867
1040,34.492
1041,21.267
1042,20.825
1043,15.365
1044,11.639
1045,19.65
1046,5.696
1047,6.246
1048,7.329
1049,13.468
1050,2.324
1051,10.706
1052,3.43
1053,-2.511
1054,5.98
1055,1.496
1056,-7.886
1057,-8.408
1058,-0.349
1059,-7.23
1060,1.953
1061,1.886
1062,-10.303
1063,0.856
1064,1.384
1065,3.262
1066,-0.812
1067,3.183
1068,7.799
1069,-5.056
1070,1.483
1071,-3.734
1072,-0.815
1073,1.489
1074,-1.293
1075,2.683
1076,-4.567
1077,2.05
1078,5.105
1079,-0.579
1080,4.67
1081,2.848
1082,-3.587
1083,-7.647
1084,5.429
1085,-11.426
1086,-1.305
1087,-2.756
1088,-6.284
1089,5.329
1090,0.551
1091,0.34
1092,0.258
1093,0.711
1094,-4.159
1095,9.139
1096,9.228
1097,-1.357
1098,3.239
1099,0.527
1100,-2.209
1101,13.058
1102,4.523
1103,6.941
1104,-3.764
1105,-3.76
1106,2.016
1107,-1.996
1108,6.255
1109,-2.223
1110,1.172
1111,-3.306
1112,1.616
1113,2.541
1114,-2.238
1115,4.975
1116,-1.257
1117,-0.283
1118,-4.06
1119,-3.024
1120,0.08
1121,-12.166
1122,6.519
1123,3.574
1124,1.939
1125,7.874
1126,-1.521
1127,-5.999
1128,-0.767
1129,-4.369
1130,-2.424
1131,0.804
1132,3.56
1133,5.138
1134,4.679
1135,-0.951
1136,5.579
1137,-2.872
1138,4.876
1139,9.604
1140,0.893
1141,-4.903
1142,-0.672
1143,-0.651
1144,4.673
1145,-3.055
1146,-2.929
1147,1.131
1148,-4.091
1149,-3.242
1150,-1.761
1151,10.714
1152,-4.976
1153,1.453
1154,-3.128
1155,4.346
1156,0.499
1157,-8.829
1158,1.853
1159,1.074
1160,-1.531
1161,-0.321
1162,4.111
1163,5.214
1164,0.163
1165,-6.083
1166,-0.212
1167,-1.436
1168,6.498
1169,-4.886
1170,-7.266
1171,-1.686
1172,6.544
1173,0.353
1174,6.215
1175,2.823
1176,4.074
1177,-4.584
1178,0.563
1179,-1.13
1180,7.069
1181,0.306
1182,0.774
1183,-0.129
1184,2.651
1185,-3.562
1186,4.382
1187,4.573
1188,0.451
1189,2.51
1190,0.123
1191,-4.503
1192,-4.082
1193,1.529
1194,-8.919
1195,2.684
1196,-1.593
1197,-3.476
1198,2.393
1199,-4.981
1200,0.893
1201,-0.852
1202,4.889
1203,9.206
1204,0.18
1205,11.786
1206,-0.622
1207,3.039
1208,13.539
1209,9.632
1210,2.442
1211,5.058
1212,4.918
1213,-3.733
1214,5.196
1215,2.596
1216,-0.618
1217,-2.917
1218,3.572
1219,5.953
1220,0.2
1221,1.827
1222,-1.585
1223,2.963
1224,4.658
1225,4.87
1226,-0.962
1227,-1.912
1228,2.793
1229,-2.359
1230,-3.368
1231,-1.085
1232,-0.164
1233,-3.633
1234,-3.387
1235,2.941
1236,-0.883
1237,-2.06
1238,4.34
1239,5.988
1240,-4.323
1241,-0.478
1242,-1.681
1243,2.757
1244,7.685
1245,-2.368
1246,-5.176
1247,-1.686
1248,-2.579
1249,-0.059
1250,3.654
1251,0.755
1252,3.282
1253,-1.012
1254,9.044
1255,-3.023
1256,-1.594
1257,-10.886
1258,3.638
1259,4.122
1260,2.561
1261,6.896
1262,-2.778
1263,0.601
1264,5.67
1265,-3.969
1266,1.023
1267,5.122
1268,0.842
1269,1.719
1270,1.207
1271,-0.915
1272,-3.157
1273,1.638
1274,8.228
1275,8.238
1276,4.97
1277,-3.229
1278,9.08
1279,2.966
1280,7.896
1281,-2.597
1282,-0.055
1283,-4.12
1284,-3.621
1285,6.135
1286,-0.504
1287,3.93
1288,-4.749
1289,2.953
1290,2.473
1291,-1.722
1292,0.677
1293,4.001
1294,-8.467
1295,7.34
1296,-9.574
1297,1.615
1298,3.573
1299,-11.151
1300,4.085
1301,0.385
1302,0.464
1303,-5.657
1304,-2.529
1305,2.072
1306,-1.758
1307,-0.852
1308,-6.28
1309,-7.354
1310,0.322
1311,-3.061
1312,2.109
1313,3.31
1314,0.594
1315,11.496
1316,-5.328
1317,0.208
1318,4.013
1319,3.272
1320,-3.579
1321,-0.924
1322,-7.274
1323,3.593
1324,-10.748
1325,-3.298
1326,8.314
1327,0.37
1328,-0.284
1329,-8.201
1330,10.983
1331,-4.22
1332,-4.694
1333,0.053
1334,-1.772
1335,2.114
1336,1.902
1337,-13.446
1338,-10.948
1339,-0.863
1340,5.268
1341,2.037
1342,-8.264
1343,-2.781
1344,-1.25
1345,-0.957
1346,0.68
