Wavelength	Intensity
nm	arb. units
	700° C
550	122.26
550.25	121.63
550.5	121
550.75	120.37
551	119.74
551.25	120.9975
551.5	122.255
551.75	123.5125
552	124.77
552.25	124.58
552.5	124.39
552.75	124.2
553	124.01
553.25	123.32
553.5	122.63
553.75	121.94
554	121.25
554.25	122.0025
554.5	122.755
554.75	123.5075
555	124.26
555.25	123.6325
555.5	123.005
555.75	122.3775
556	121.75
556.25	122.0025
556.5	122.255
556.75	122.5075
557	122.76
557.25	123.7
557.5	124.64
557.75	125.58
558	126.52
558.25	125.83
558.5	125.14
558.75	124.45
559	123.76
559.25	123.2575
559.5	122.755
559.75	122.2525
560	121.75
560.25	123.5075
560.5	125.265
560.75	127.0225
561	128.78
561.25	127.4625
561.5	126.145
561.75	124.8275
562	123.51
562.25	123.635
562.5	123.76
562.75	123.885
563	124.01
563.25	124.0725
563.5	124.135
563.75	124.1975
564	124.26
564.25	123.6325
564.5	123.005
564.75	122.3775
565	121.75
565.25	123.32
565.5	124.89
565.75	126.46
566	128.03
566.25	128.6575
566.5	129.285
566.75	129.9125
567	130.54
567.25	129.3475
567.5	128.155
567.75	126.9625
568	125.77
568.25	126.8375
568.5	127.905
568.75	128.9725
569	130.04
569.25	128.47
569.5	126.9
569.75	125.33
570	123.76
570.25	124.0125
570.5	124.265
570.75	124.5175
571	124.77
571.25	124.8325
571.5	124.895
571.75	124.9575
572	125.02
572.25	126.525
572.5	128.03
572.75	129.535
573	131.04
573.25	130.31875
573.5	129.5975
573.75	128.87625
574	128.155
574.25	127.43375
574.5	126.7125
574.75	125.99125
575	125.27
575.25	129.225
575.5	133.18
575.75	137.135
576	141.09
576.25	139.7075
576.5	138.325
576.75	136.9425
577	135.56
577.25	136.5025
577.5	137.445
577.75	138.3875
578	139.33
578.25	142.91
578.5	146.49
578.75	150.07
579	153.65
579.25	153.085
579.5	152.52
579.75	151.955
580	151.39
580.25	153.3975
580.5	155.405
580.75	157.4125
581	159.42
581.25	161.4925
581.5	163.565
581.75	165.6375
582	167.71
582.25	169.845
582.5	171.98
582.75	174.115
583	176.25
583.25	178.3825
583.5	180.515
583.75	182.6475
584	184.78
584.25	187.1675
584.5	189.555
584.75	191.9425
585	194.33
585.25	196.4
585.5	198.47
585.75	200.54
586	202.61
586.25	206.5025
586.5	210.395
586.75	214.2875
587	218.18
587.25	221.57
587.5	224.96
587.75	228.35
588	231.74
588.25	231.9925
588.5	232.245
588.75	232.4975
589	232.75
589.25	236.015
589.5	239.28
589.75	242.545
590	245.81
590.25	247.0025
590.5	248.195
590.75	249.3875
591	250.58
591.25	252.84
591.5	255.1
591.75	257.36
592	259.62
592.25	260.06
592.5	260.5
592.75	260.94
593	261.38
593.25	265.02
593.5	268.66
593.75	272.3
594	275.94
594.25	275.69
594.5	275.44
594.75	275.19
595	274.94
595.25	276.3825
595.5	277.825
595.75	279.2675
596	280.71
596.25	282.7825
596.5	284.855
596.75	286.9275
597	289
597.25	289.315
597.5	289.63
597.75	289.945
598	290.26
598.25	290.51
598.5	290.76
598.75	291.01
599	291.26
599.25	291.95
599.5	292.64
599.75	293.33
600	294.02
600.25	297.285
600.5	300.55
600.75	303.815
601	307.08
601.25	305.5425
601.5	304.005
601.75	302.4675
602	300.93
602.25	299.3925
602.5	297.855
602.75	296.3175
603	294.78
603.25	295.155
603.5	295.53
603.75	295.905
604	296.28
604.25	296.5325
604.5	296.785
604.75	297.0375
605	297.29
605.25	297.1625
605.5	297.035
605.75	296.9075
606	296.78
606.25	297.095
606.5	297.41
606.75	297.725
607	298.04
607.25	299.045
607.5	300.05
607.75	301.055
608	302.06
608.25	301.9975
608.5	301.935
608.75	301.8725
609	301.81
609.25	301.6825
609.5	301.555
609.75	301.4275
610	301.3
610.25	298.9775
610.5	296.655
610.75	294.3325
611	292.01
611.25	288.81
611.5	285.61
611.75	282.41
612	279.21
612.25	282.285
612.5	285.36
612.75	288.435
613	291.51
613.25	287.555
613.5	283.6
613.75	279.645
614	275.69
614.25	272.425
614.5	269.16
614.75	265.895
615	262.63
615.25	263.8225
615.5	265.015
615.75	266.2075
616	267.4
616.25	266.46
616.5	265.52
616.75	264.58
617	263.64
617.25	260.625
617.5	257.61
617.75	254.595
618	251.58
618.25	252.335
618.5	253.09
618.75	253.845
619	254.6
619.25	252.905
619.5	251.21
619.75	249.515
620	247.82
620.25	244.8675
620.5	241.915
620.75	238.9625
621	236.01
621.25	236.9525
621.5	237.895
621.75	238.8375
622	239.78
622.25	239.78
622.5	239.78
622.75	239.78
623	239.78
623.25	239.34
623.5	238.9
623.75	238.46
624	238.02
624.25	236.0125
624.5	234.005
624.75	231.9975
625	229.99
625.25	229.1725
625.5	228.355
625.75	227.5375
626	226.72
626.25	225.34
626.5	223.96
626.75	222.58
627	221.2
627.25	221.6375
627.5	222.075
627.75	222.5125
628	222.95
628.25	222.0725
628.5	221.195
628.75	220.3175
629	219.44
629.25	219.7525
629.5	220.065
629.75	220.3775
630	220.69
630.25	220.8175
630.5	220.945
630.75	221.0725
631	221.2
631.25	220.2575
631.5	219.315
631.75	218.3725
632	217.43
632.25	216.4875
632.5	215.545
632.75	214.6025
633	213.66
633.25	211.7775
633.5	209.895
633.75	208.0125
634	206.13
634.25	205.565
634.5	205
634.75	204.435
635	203.87
635.25	204.0575
635.5	204.245
635.75	204.4325
636	204.62
636.25	202.36
636.5	200.1
636.75	197.84
637	195.58
637.25	197.275
637.5	198.97
637.75	200.665
638	202.36
638.25	203.1775
638.5	203.995
638.75	204.8125
639	205.63
639.25	202.9925
639.5	200.355
639.75	197.7175
640	195.08
640.25	196.46
640.5	197.84
640.75	199.22
641	200.6
641.25	198.905
641.5	197.21
641.75	195.515
642	193.82
642.25	193.5075
642.5	193.195
642.75	192.8825
643	192.57
643.25	193.01
643.5	193.45
643.75	193.89
644	194.33
644.25	195.5225
644.5	196.715
644.75	197.9075
