Time	Rate
0.01	3006
0.02	2858
0.03	2716
0.04	2582
0.05	2455
0.06	2333
0.07	2218
0.08	2109
0.09	2004
0.1	1905
0.11	1811
0.12	1722
0.13	1637
0.14	1556
0.15	1479
0.16	1406
0.17	1337
0.18	1271
0.19	1208
0.2	1148
0.21	1091
0.22	1038
0.23	986
0.24	938
0.25	891
0.26	847
0.27	805
0.28	766
0.29	728
0.3	692
0.31	658
0.32	625
0.33	594
0.34	565
0.35	537
0.36	511
0.37	485
0.38	461
0.39	439
0.4	417
0.41	396
0.42	377
0.43	358
0.44	340
0.45	324
0.46	308
0.47	292
0.48	278
0.49	264
0.5	251
0.51	239
0.52	227
0.53	216
0.54	205
0.55	195
0.56	185
0.57	176
0.58	167
0.59	159
0.6	151
0.61	144
0.62	137
0.63	130
0.64	124
0.65	117
0.66	112
0.67	106
0.68	101
0.69	96
0.7	91
0.71	87
0.72	82
0.73	78
0.74	74
0.75	71
0.76	67
0.77	64
0.78	61
0.79	58
0.8	55
0.81	52
0.82	50
0.83	47
0.84	45
0.85	43
0.86	41
0.87	39
0.88	37
0.89	35
0.9	33
0.91	31
0.92	30
0.93	28
0.94	27
0.95	26
0.96	24
0.97	23
0.98	22
0.99	21
1	20
