Channel 1,Amplitude 1,Channel 2,Amplitude 2,Channel 3,Amplitude 3
0.5,1.801,0.1,1.32,0.3,1.128
0.6,1.801,0.2,1.326,0.4,1.181
0.7,1.802,0.3,1.335,0.5,1.246
0.8,1.803,0.4,1.347,0.6,1.323
0.9,1.804,0.5,1.363,0.7,1.415
1,1.807,0.6,1.382,0.8,1.523
1.1,1.811,0.7,1.408,0.9,1.651
1.2,1.816,0.8,1.44,1,1.8
1.3,1.824,0.9,1.48,1.1,1.973
1.4,1.835,1,1.53,1.2,2.173
1.5,1.851,1.1,1.593,1.3,2.403
1.6,1.874,1.2,1.669,1.4,2.665
1.7,1.905,1.3,1.763,1.5,2.962
1.8,1.948,1.4,1.876,1.6,3.297
1.9,2.005,1.5,2.012,1.7,3.673
2,2.081,1.6,2.174,1.8,4.09
2.1,2.18,1.7,2.365,1.9,4.552
2.2,2.308,1.8,2.589,2,5.059
2.3,2.47,1.9,2.85,2.1,5.613
2.4,2.674,2,3.15,2.2,6.214
2.5,2.926,2.1,3.493,2.3,6.86
2.6,3.232,2.2,3.882,2.4,7.551
2.7,3.6,2.3,4.319,2.5,8.284
2.8,4.034,2.4,4.805,2.6,9.057
2.9,4.538,2.5,5.341,2.7,9.864
3,5.116,2.6,5.927,2.8,10.701
3.1,5.766,2.7,6.562,2.9,11.562
3.2,6.485,2.8,7.242,3,12.439
3.3,7.267,2.9,7.963,3.1,13.326
3.4,8.101,3,8.72,3.2,14.212
3.5,8.973,3.1,9.506,3.3,15.088
3.6,9.866,3.2,10.313,3.4,15.946
3.7,10.758,3.3,11.13,3.5,16.773
3.8,11.627,3.4,11.947,3.6,17.562
3.9,12.448,3.5,12.753,3.7,18.3
4,13.196,3.6,13.534,3.8,18.979
4.1,13.847,3.7,14.278,3.9,19.589
4.2,14.379,3.8,14.971,4,20.12
4.3,14.774,3.9,15.603,4.1,20.567
4.4,15.016,4,16.16,4.2,20.921
4.5,15.098,4.1,16.631,4.3,21.178
4.6,15.069,4.2,17.008,4.4,21.334
4.7,14.98,4.3,17.283,4.5,21.386
4.8,14.835,4.4,17.451,4.6,21.367
4.9,14.634,4.5,17.507,4.7,21.309
5,14.379,4.6,17.487,4.8,21.213
5.1,14.076,4.7,17.426,4.9,21.079
5.2,13.726,4.8,17.326,5,20.908
5.3,13.335,4.9,17.186,5.1,20.701
5.4,12.907,5,17.008,5.2,20.459
5.5,12.448,5.1,16.794,5.3,20.184
5.6,11.963,5.2,16.544,5.4,19.876
5.7,11.456,5.3,16.261,5.5,19.539
5.8,10.935,5.4,15.946,5.6,19.172
5.9,10.403,5.5,15.603,5.7,18.779
6,9.866,5.6,15.232,5.8,18.362
6.1,9.329,5.7,14.837,5.9,17.922
6.2,8.796,5.8,14.421,6,17.462
6.3,8.273,5.9,13.985,6.1,16.983
6.4,7.762,6,13.534,6.2,16.489
6.5,7.267,6.1,13.069,6.3,15.982
6.6,6.791,6.2,12.593,6.4,15.464
6.7,6.336,6.3,12.11,6.5,14.937
6.8,5.904,6.4,11.621,6.6,14.403
6.9,5.497,6.5,11.13,6.7,13.865
7,5.116,6.6,10.639,6.8,13.326
7.1,4.761,6.7,10.15,6.9,12.786
7.2,4.432,6.8,9.666,7,12.248
7.3,4.129,6.9,9.189,7.1,11.714
7.4,3.852,7,8.72,7.2,11.185
7.5,3.6,7.1,8.262,7.3,10.664
7.6,3.372,7.2,7.816,7.4,10.152
7.7,3.166,7.3,7.383,7.5,9.65
7.8,2.982,7.4,6.964,7.6,9.16
7.9,2.819,7.5,6.562,7.7,8.683
8,2.674,7.6,6.175,7.8,8.219
8.1,2.546,7.7,5.806,7.9,7.77
8.2,2.435,7.8,5.455,8,7.336
8.3,2.337,7.9,5.121,8.1,6.918
8.4,2.253,8,4.805,8.2,6.517
8.5,2.18,8.1,4.507,8.3,6.133
8.6,2.117,8.2,4.228,8.4,5.765
8.7,2.064,8.3,3.966,8.5,5.415
8.8,2.018,8.4,3.721,8.6,5.082
8.9,1.98,8.5,3.493,8.7,4.767
9,1.948,8.6,3.282,8.8,4.468
9.1,1.921,8.7,3.087,8.9,4.187
9.2,1.898,8.8,2.907,9,3.922
9.3,1.879,8.9,2.741,9.1,3.673
9.4,1.864,9,2.589,9.2,3.439
9.5,1.851,9.1,2.451,9.3,3.221
9.6,1.841,9.2,2.324,9.4,3.018
9.7,1.833,9.3,2.21,9.5,2.829
9.8,1.826,9.4,2.106,9.6,2.653
9.9,1.82,9.5,2.012,9.7,2.49
10,1.816,9.6,1.928,9.8,2.34
10.1,1.813,9.7,1.852,9.9,2.202
10.2,1.81,9.8,1.784,10,2.074
10.3,1.808,9.9,1.723,10.1,1.957
10.4,1.806,10,1.669,10.2,1.85
