Index	Component  A	Component  B	Composite
1	2	0	1
2	0	0	1
3	2	1	4
4	0	2	3
5	1	2	2
6	1	2	4
7	1	2	4
8	1	0	2
9	2	2	5
10	1	2	2
11	1	1	3
12	1	2	3
13	1	2	3
14	0	0	3
15	1	1	3
16	0	1	2
17	1	2	4
18	2	0	2
19	1	1	2
20	1	0	1
21	2	2	4
22	1	1	2
23	1	0	3
24	1	1	1
25	0	2	4
26	1	1	3
27	2	2	3
28	2	1	2
29	1	3	2
30	3	1	2
31	0	2	3
32	3	2	4
33	2	2	3
34	2	1	3
35	3	3	4
36	2	2	4
37	2	2	2
38	1	0	3
39	2	1	2
40	1	1	3
41	3	1	5
42	2	0	2
43	2	2	3
44	4	2	5
45	5	2	6
46	13	2	6
47	22	0	8
48	36	0	15
49	47	0	17
50	52	1	21
51	46	0	18
52	36	1	15
53	21	1	9
54	12	1	7
55	7	1	4
56	3	2	5
57	2	2	5
58	1	1	4
59	3	2	4
60	3	3	5
61	1	1	3
62	1	0	0
63	3	3	5
64	0	2	3
65	0	2	3
66	1	1	3
67	3	2	3
68	1	2	3
69	2	2	3
70	0	1	2
71	0	2	4
72	2	2	4
73	3	2	5
74	2	1	3
75	2	2	3
76	2	1	3
77	2	0	3
78	1	1	1
79	3	2	4
80	0	1	3
81	3	3	5
82	1	2	4
83	1	3	3
84	2	1	4
85	1	3	3
86	0	2	2
87	3	1	4
88	2	1	4
89	2	1	3
90	2	3	5
91	0	1	3
92	0	2	3
93	4	2	5
94	4	0	4
95	13	0	6
96	32	2	14
97	63	2	24
98	101	2	38
99	138	0	50
100	152	2	56
101	137	2	52
102	103	3	39
103	64	1	24
104	33	1	13
105	15	0	6
106	6	1	4
107	2	2	4
108	2	1	2
109	1	2	3
110	1	2	2
111	1	1	3
112	3	0	1
113	1	0	3
114	2	0	3
115	3	0	3
116	3	1	5
117	2	1	2
118	2	0	2
119	3	0	2
120	2	1	2
121	1	3	5
122	1	1	2
123	0	0	1
124	2	3	5
125	2	3	3
126	1	1	3
127	2	0	3
128	3	0	3
129	3	3	3
130	3	0	1
131	1	2	3
132	1	3	5
133	1	1	2
134	2	1	3
135	0	2	4
136	3	3	3
137	1	1	2
138	0	1	2
139	1	3	5
140	1	1	3
141	3	1	4
142	2	1	4
143	0	1	2
144	0	1	1
145	3	2	4
146	2	1	2
147	2	3	4
148	2	1	4
149	2	0	2
150	3	1	5
151	0	1	2
152	1	2	2
153	3	0	2
154	2	0	1
155	1	1	3
156	1	3	2
157	2	1	3
158	0	3	2
159	1	0	2
160	2	2	2
161	1	2	4
162	2	0	3
163	1	1	1
164	2	1	4
165	2	3	3
166	2	2	4
167	1	1	2
168	2	1	4
169	3	2	5
170	0	4	5
171	1	9	7
172	3	18	15
173	2	30	20
174	1	36	24
175	0	41	27
176	1	36	25
177	3	28	21
178	3	17	15
179	2	9	9
180	1	6	7
181	3	4	5
182	3	3	3
183	2	0	3
184	3	2	5
185	2	1	2
186	2	0	3
187	2	1	2
188	2	3	6
189	3	2	3
190	1	0	3
191	3	0	2
192	2	3	4
193	1	2	4
194	3	3	5
195	3	3	4
196	0	1	3
197	1	2	3
198	1	2	2
199	3	3	4
200	1	1	2
201	1	2	3
202	3	1	3
203	2	2	5
204	0	2	2
205	0	0	1
206	2	1	4
207	2	2	4
208	1	0	2
209	0	2	2
210	0	2	3
211	2	2	5
212	2	2	3
213	2	1	4
214	0	1	1
215	2	1	2
216	2	2	4
217	1	1	4
218	0	0	1
219	2	2	4
220	2	1	4
221	1	0	2
222	2	3	4
223	1	0	1
224	1	2	4
225	1	0	2
226	3	1	3
227	2	1	4
228	3	2	5
229	2	1	2
230	2	3	5
231	1	0	1
232	2	1	4
233	1	0	2
234	1	2	2
235	1	2	2
236	1	2	4
237	1	1	1
238	2	1	3
239	1	1	1
240	1	0	2
241	2	2	3
242	2	2	3
243	2	3	4
244	5	5	6
245	7	14	14
246	17	33	30
