Concentration	Response
mM/L	
0.085	0.726923149818847
0.1275	0.483477739677103
0.17	0.412214168751696
0.2125	0.384469978731445
0.255	0.367397005180714
0.2975	0.361452781869959
0.34	0.363970621523558
0.3825	0.371735452737952
0.425	0.378026418220422
0.4675	0.38978408492988
0.51	0.402417242993615
0.5525	0.417397800832667
0.595	0.431770420664948
0.6375	0.451775654906054
0.68	0.472102668379962
0.7225	0.494625379515853
0.765	0.520725056615525
0.8075	0.548365761100012
0.85	0.579365151589112
0.8925	0.604579332491975
0.935	0.637928190077985
0.9775	0.675979960632383
1.02	0.714179586090208
