X	Y	Y Error
-12.16786	0.00147	6.11036E-4
-11.58418	7.20077E-4	5.48479E-4
-11.0079	0.00122	4.95714E-4
-10.4389	0.00209	4.92713E-4
-9.87705	0.00195	6.1335E-4
-9.32221	0.00185	5.15888E-4
-8.7743	0.00255	4.74475E-4
-8.23318	0.00388	4.99364E-4
-7.69875	0.00418	5.14993E-4
-7.17089	0.00506	4.96254E-4
-6.64951	0.00669	5.55785E-4
-6.13448	0.00715	5.60932E-4
-5.62572	0.00728	5.57614E-4
-5.12313	0.0072	5.10708E-4
-4.62658	0.00697	5.00677E-4
-4.136	0.00778	5.45405E-4
-3.65128	0.00626	5.77603E-4
-3.17235	0.00743	6.21278E-4
-2.69911	0.01099	6.83823E-4
-2.23146	0.01317	7.52395E-4
-1.7693	0.01983	7.87231E-4
-1.11254	0.02831	8.67159E-4
-0.45578	0.03287	0.00116
0	0.03102	0.00144
0.45578	0.02575	0.00144
0.91157	0.01955	0.00129
1.36735	0.01432	0.00108
1.82314	0.0127	8.7108E-4
2.27892	0.01008	7.14891E-4
2.73471	0.00886	6.02488E-4
3.19049	0.00836	5.57019E-4
3.64628	0.00894	5.8135E-4
4.10206	0.0091	6.52419E-4
4.55785	0.00827	6.58185E-4
5.01363	0.00912	6.07666E-4
5.46942	0.00872	5.37225E-4
5.9252	0.00791	5.13342E-4
6.38099	0.00644	6.24461E-4
6.83677	0.00622	6.51248E-4
7.29256	0.00425	5.67776E-4
7.74834	0.00447	5.44549E-4
8.20413	0.00376	5.76839E-4
8.65991	0.00411	5.45845E-4
9.1157	0.00293	5.7798E-4
9.57148	0.00208	6.95389E-4
10.02727	0.00209	6.28841E-4
10.48305	0.00286	6.4007E-4
10.93884	0.00305	6.97944E-4
11.39462	0.00184	7.99053E-4
