X	Y	WeightX	WeightY
0.98233	3.50899	0.03571	0.16377
1.65252	3.57565	0.01485	0.13106
2.86311	3.74415	0.23643	0.12431
3.69043	3.65011	0.16515	0.09047
4.01111	2.58114	0.07248	0.17312
3.60345	1.75635	0.08946	0.02305
3.62215	0.775353	0.14554	0.02073
3.06639	0.97928	0.02688	0.12111
2.64195	0.328632	0.12547	0.14169
2.0914	-0.156768	0.09488	0.10371
1.63896	0.492272	0.07185	0.08729
0.238211	0.175703	0.08458	0.09993
-1.47276	0.0365775	0.07847	0.05828
-1.29562	0.835114	0.11625	0.10751
-1.72694	1.38729	0.02916	0.09945
-2.37921	2.02974	0.17336	0.0546
-1.92476	2.56437	0.1967	0.24064
-1.49787	3.33455	0.10084	0.14453
-0.752848	3.47887	0.21245	0.04208
-0.277739	3.86349	0.0642	0.12779
