X	Y	Z
0.42922	0.32422	2.16798
0.39172	0.29001	2.14682
0.39592	0.31211	2.04208
0.42163	0.32214	1.87679
0.39451	0.28064	1.9473
0.36907	0.31084	2.08207
0.36965	0.31246	1.99228
0.36031	0.32523	2.0945
0.37753	0.29806	1.98568
0.41285	0.29526	2.05884
0.38548	0.29781	1.88824
0.36048	0.30553	1.80921
0.42456	0.2996	2.034
0.39871	0.29688	2.08271
0.41948	0.3235	2.1322
0.36178	0.28511	1.9576
0.40754	0.29531	1.95613
0.38997	0.27488	1.9026
0.39058	0.29999	2.09054
0.37027	0.28245	2.12583
0.95523	0.30411	2.08201
1.09729	0.46638	2.00774
0.90652	0.57994	1.99905
0.7585	0.75564	1.88351
0.61407	0.72688	1.93001
0.35433	0.81369	1.86191
0.13978	0.72171	2.05985
-0.04162	0.61804	2.07505
-0.18887	0.58799	1.96586
-0.27386	0.39901	1.98902
-0.23263	0.23641	1.92631
-0.17722	0.06421	1.91036
-0.04932	-0.06152	1.90279
0.14006	-0.16516	1.88232
0.37105	-0.18777	2.02944
0.53331	-0.176	1.89744
0.72474	-0.10532	2.06633
0.88943	-0.00358	1.80076
1.02539	0.13436	1.97511
1.02513	0.31589	2.14805
1.64934	0.27196	1.92981
1.51669	0.59654	2.02421
1.42899	0.8286	1.76273
1.19402	1.0467	1.7456
0.69668	1.23211	1.95819
0.30557	1.15934	1.94016
-0.1201	1.28366	2.02843
-0.50496	0.92303	2.01615
-0.7313	0.81929	1.81815
-0.94816	0.4993	1.97811
-0.96798	0.137	1.7836
-0.75018	-0.17155	1.81987
-0.45213	-0.43134	2.04311
-0.12762	-0.56175	1.80179
0.28326	-0.64431	1.80581
0.65928	-0.66517	1.71167
1.1159	-0.53382	1.7763
1.40696	-0.27757	1.92398
1.68252	-0.01733	1.75337
1.56876	0.31166	1.83
2.25958	0.28236	1.67763
1.99687	0.83256	1.70269
2.02599	1.08688	1.82608
1.4081	1.45016	1.75472
0.8325	1.72313	1.72829
0.23242	1.64272	1.80507
-0.34558	1.68294	1.72702
-0.84852	1.37623	1.91467
-1.29818	0.93898	1.77676
-1.56506	0.50618	1.63839
-1.46613	0.06481	1.68079
-1.30555	-0.37674	1.6502
-0.91412	-0.79954	1.67868
-0.39072	-1.03023	1.59751
0.24211	-1.15168	1.59411
0.91235	-1.12936	1.8939
1.55912	-0.84257	1.86089
1.88186	-0.62489	1.64151
2.41345	-0.17903	1.8592
2.19562	0.29745	1.91306
3.13067	0.28764	1.60079
2.56095	0.86005	1.64952
2.3922	1.56753	1.64455
1.86201	1.72559	1.70312
1.03873	2.11016	1.70605
0.19541	2.30213	1.45481
-0.62619	1.87308	1.46222
-1.25538	1.59297	1.5118
-1.74786	1.27964	1.69899
-1.8724	0.60365	1.72052
-1.89688	-0.00299	1.6801
-1.8747	-0.54224	1.58162
-1.26135	-1.05842	1.7006
-0.55003	-1.42307	1.48206
0.19009	-1.61649	1.46728
0.97216	-1.34308	1.7095
1.79179	-1.15892	1.59268
2.36632	-0.9114	1.54157
2.61207	-0.28073	1.65195
2.80656	0.27939	1.70763
3.45856	0.28633	1.31232
3.13806	1.0171	1.4842
2.56927	1.56998	1.42201
2.02787	2.04771	1.42009
1.22026	2.48941	1.26312
0.16673	2.25404	1.28143
-0.71084	2.34764	1.22894
-1.62576	1.76881	1.36725
-2.07003	1.32688	1.48345
-2.33492	0.63	1.38771
-2.66904	-0.06295	1.29484
-2.092	-0.71261	1.38312
-1.56187	-1.36234	1.34069
-0.83893	-1.70238	1.46707
0.15991	-1.89388	1.46337
1.0717	-1.81241	1.33049
2.07929	-1.49569	1.28425
2.72688	-0.95521	1.44981
3.2208	-0.40599	1.30036
3.64065	0.27283	1.35764
3.52803	0.28479	1.01821
3.44778	1.15172	1.18459
3.12987	1.76181	1.12366
2.03228	2.33164	1.1758
1.15318	2.89718	1.02875
0.11731	2.63145	1.17376
-0.91967	2.50003	1.18857
-1.9726	2.13364	1.06426
-2.31157	1.38639	1.02385
-2.94899	0.693	1.09732
