Time	Decay 1	Decay 2	Decay 3
sec	a.u.	a.u.	a.u.
0.01	302.37	216.59	147.34
0.02	276.29	184.80	118.61
0.03	257.62	164.88	102.30
0.04	242.03	154.42	86.29
0.05	231.04	145.81	76.86
0.06	215.03	138.44	70.04
0.07	203.59	128.47	64.50
0.08	195.18	127.59	60.74
0.09	188.67	126.75	54.55
0.10	178.68	121.02	47.99
0.11	174.98	119.57	50.31
0.12	169.79	113.52	47.50
0.13	165.31	115.44	44.63
0.14	163.32	113.64	45.30
0.15	156.39	111.31	42.38
0.16	154.98	110.39	42.59
0.17	149.66	108.49	42.55
0.18	149.72	108.27	39.38
0.19	145.88	103.46	39.16
0.20	148.97	103.73	36.32
0.21	137.21	97.05	38.34
0.22	139.31	97.88	37.25
0.23	137.41	94.89	35.50
0.24	136.16	95.66	34.41
0.25	136.14	97.07	31.98
0.26	130.48	91.04	32.73
0.27	129.46	94.23	31.14
0.28	127.05	89.17	31.00
0.29	127.09	88.70	30.12
0.30	127.95	83.88	29.97
0.31	124.86	87.64	29.98
0.32	120.44	85.47	30.52
0.33	122.35	84.74	29.26
0.34	120.10	78.70	26.96
0.35	125.78	82.39	25.78
0.36	119.98	79.53	26.87
0.37	119.79	77.95	26.82
0.38	117.49	80.25	24.23
0.39	119.91	77.24	26.30
0.40	118.45	73.91	21.98
0.41	115.84	72.91	22.99
0.42	116.86	76.07	24.68
0.43	112.93	74.51	21.47
0.44	116.40	73.20	24.45
0.45	111.36	73.87	26.12
0.46	114.71	73.27	21.11
0.47	111.89	72.72	26.07
0.48	111.44	71.93	22.05
0.49	113.29	68.84	26.29
0.50	109.78	70.04	20.73
0.51	112.97	68.52	24.82
0.52	107.38	69.10	22.61
0.53	111.43	68.03	20.26
0.54	111.53	66.39	23.07
0.55	107.86	65.23	17.65
0.56	104.21	62.99	19.02
0.57	107.38	64.21	21.75
0.58	107.81	66.11	21.09
0.59	104.08	64.25	20.62
0.60	106.45	63.47	22.34
0.61	102.32	61.63	16.03
0.62	103.52	62.94	20.17
0.63	104.62	62.25	16.36
0.64	106.50	59.39	17.84
0.65	103.17	59.94	20.60
0.66	105.03	62.15	20.17
0.67	104.36	64.00	24.15
0.68	102.42	63.86	15.88
0.69	104.04	58.25	15.07
0.70	104.43	59.76	15.74
0.71	104.09	60.74	15.58
0.72	107.82	60.13	16.00
0.73	100.33	58.96	14.95
0.74	105.05	61.18	19.66
0.75	105.33	59.45	17.18
0.76	101.55	55.71	17.56
0.77	101.06	56.62	18.67
0.78	101.74	54.66	17.23
0.79	106.12	58.65	19.28
0.80	105.06	56.83	17.66
0.81	104.82	58.41	19.11
0.82	99.88	57.40	19.83
0.83	100.99	58.62	17.21
0.84	102.53	56.97	17.18
0.85	104.20	57.07	18.85
0.86	103.56	54.32	14.75
0.87	103.96	54.77	15.18
0.88	100.52	51.05	14.43
0.89	101.43	51.22	15.88
0.90	102.63	52.83	17.29
0.91	101.68	57.40	17.04
0.92	98.46	52.24	13.66
0.93	99.23	53.14	15.44
0.94	97.56	52.21	14.44
0.95	103.04	54.28	14.39
0.96	99.49	57.77	13.58
0.97	104.15	55.00	15.79
0.98	101.23	53.51	19.91
0.99	98.43	55.36	19.53
1.00	98.04	53.60	13.54
