Sampling	Signal	Impulse
0	-0.19775	0
0.1	-0.32893	0
0.2	0.10055	0
0.3	0.09394	0
0.4	-0.1292	0
0.5	0.06346	1.48672E-6
0.6	0.19453	1.3383E-4
0.7	0.18654	0.00443
0.8	1.5232	0.05399
0.9	5.6436	0.24197
1	9.30571	0.39894
1.1	9.41009	0.24197
1.2	8.86439	0.05399
1.3	7.90782	0.00443
1.4	6.88082	1.3383E-4
1.5	6.29757	1.48672E-6
1.6	5.84485	0
1.7	5.09495	0
1.8	4.69777	0
1.9	4.06	0
2	3.6306	
2.1	3.38994	
2.2	2.84576	
2.3	2.33255	
2.4	2.40115	
2.5	1.77874	
2.6	1.51479	
2.7	1.50946	
2.8	1.46265	
2.9	1.32895	
3	0.98652	
3.1	1.03471	
3.2	0.86189	
3.3	1.14865	
3.4	0.71123	
3.5	0.77831	
3.6	0.3374	
3.7	0.51188	
3.8	0.42553	
3.9	0.40508	
4	0.44396	
4.1	0.18901	
4.2	0.51671	
4.3	0.21755	
4.4	0.1974	
4.5	0.19486	
4.6	0.1163	
4.7	-0.01817	
4.8	-0.11159	
4.9	0.02668	
5	0.05456	
5.1	0.05338	
5.2	0.12965	
5.3	0.15187	
5.4	0.33553	
5.5	0.08548	
5.6	0.09424	
5.7	-0.01126	
5.8	0.13121	
5.9	-0.04665	
6	-0.16391	
6.1	0.02652	
6.2	-0.01984	
6.3	-0.0643	
6.4	-0.03636	
6.5	0.09067	
6.6	0.39783	
6.7	-0.16631	
6.8	-0.24868	
6.9	-0.33281	
7	0.18475	
7.1	0.13714	
7.2	0.13687	
7.3	0.16472	
7.4	0.2466	
7.5	0.05469	
7.6	0.08513	
7.7	-0.23938	
7.8	-0.05699	
7.9	0.03955	
8	0.13532	
8.1	0.01278	
8.2	-0.1744	
8.3	-0.07466	
8.4	0.03463	
8.5	0.21566	
8.6	-0.13164	
8.7	-0.0548	
8.8	0.23556	
8.9	0.03509	
9	-0.1521	
9.1	-0.0907	
9.2	-0.02987	
9.3	0.15149	
9.4	-0.00769	
9.5	-0.20968	
9.6	0.39156	
9.7	0.12813	
9.8	0.22452	
9.9	-0.07868	
