t	L1	L2
s	counts	counts
6.55	0.112831935406151	6.848
6.575	0.112770197745264	6.8705
6.6	0.111928717576448	6.956
6.625	0.111529058986898	7.0295
6.65	0.111230624959489	7.0595
6.675	0.110806333024218	7.031
6.7	0.10996964226167	7.0955
6.725	0.109352931658477	7.127
6.75	0.109502094679606	7.145
6.775	0.109000863570995	7.185
6.8	0.108946485014112	7.176
6.825	0.108295666051352	7.2105
6.85	0.107902411903881	7.2785
6.875	0.107290998925139	7.312
6.9	0.106964082689991	7.3265
6.925	0.106386481760061	7.255
6.95	0.106844637125218	7.345
6.975	0.106046612186077	7.3365
7	0.105570741385593	7.3335
7.025	0.105179143705977	7.344
7.05	0.10447718211197	7.335
7.075	0.105070220291836	7.4325
7.1	0.10448794696633	7.468
7.125	0.103389781279126	7.514
7.15	0.103710818728174	7.461
7.175	0.102937506827153	7.496
7.2	0.102583320767275	7.5
7.225	0.102496871511878	7.5465
7.25	0.101959203080537	7.506
7.275	0.101700008752421	7.578
7.3	0.101276009432137	7.5825
7.325	0.101292575259116	7.582
7.35	0.100576698568657	7.608
7.375	0.0999823992856911	7.6065
7.4	0.100001535724233	7.634
7.425	0.0991746153871122	7.618
7.45	0.0997394436038004	7.6155
7.475	0.0990851775739141	7.625
7.5	0.0988280020325831	7.6595
7.525	0.0981732914025547	7.715
7.55	0.0987318260005894	7.6385
7.575	0.0978333055413858	7.744
7.6	0.0973425653444342	7.731
7.625	0.0974649817302784	7.724
7.65	0.0965302557953692	7.7665
7.675	0.0965491701600991	7.778
7.7	0.0963162916629845	7.795
7.725	0.0963937551361252	7.792
7.75	0.0955382904240995	7.758
7.775	0.0956471683219633	7.819
7.8	0.0954068492161341	7.7665
7.825	0.094898388482207	7.817
7.85	0.0949920310721331	7.796
7.875	0.0941093736691314	7.849
7.9	0.0941098511670887	7.8645
7.925	0.0941556015284961	7.8535
7.95	0.0934682225344319	7.898
7.975	0.0937720150211819	7.8665
8	0.0930291180088971	7.9195
8.025	0.0930124816682334	7.9115
8.05	0.0929653267736156	7.9375
8.075	0.0920281717242058	7.9235
8.1	0.092200994700138	7.953
8.125	0.0920297201432066	7.9535
8.15	0.0915954079403822	8.002
8.175	0.0913574966615053	7.924
8.2	0.0911700197700703	7.933
8.225	0.0909951191314251	7.9975
8.25	0.0904652071697309	7.9855
8.275	0.0902505344304397	7.9495
8.3	0.0900645949807164	8.0055
8.325	0.0896100723505065	7.997
8.35	0.089265326014248	7.9725
8.375	0.0897762832780878	7.9895
8.4	0.0892888717077368	8.0195
8.425	0.0885382083131767	8.0365
8.45	0.0884485995442712	8.063
8.475	0.0888957034486291	8.051
8.5	0.0879984215592867	8.062
8.525	0.0881999799716651	8.048
8.55	0.0878679293395309	8.0645
8.575	0.0877373881142832	8.08
8.6	0.0881056371356709	8.0805
8.625	0.0866213088171844	8.0995
8.65	0.0870789817369289	8.143
8.675	0.0868029644177614	8.119
8.7	0.0869391872156094	8.095
8.725	0.0860876347484013	8.1105
8.75	0.0859509945412825	8.103
8.775	0.0859022245908189	8.122
8.8	0.086011580388726	8.061
8.825	0.0853979662699881	8.133
8.85	0.085185692166445	8.1825
8.875	0.084682851982064	8.1295
8.9	0.08467862088719	8.174
8.925	0.0847783904506938	8.1535
8.95	0.0847064713397453	8.1205
8.975	0.0836898771007243	8.1675
9	0.0840042701023492	8.2015
9.025	0.084152339911292	8.164
9.05	0.0839556951813596	8.181
9.075	0.083262971758943	8.166
9.1	0.0835822651128419	8.221
9.125	0.0836865357371107	8.237
9.15	0.0832568523917916	8.187
9.175	0.0828013110193703	8.2505
9.2	0.0826334131207372	8.2005
9.225	0.0832882819690318	8.2555
9.25	0.0819875274721803	8.2305
9.275	0.082066273197638	8.2595
9.3	0.0822650482620395	8.2265
9.325	0.0822108684100792	8.279
9.35	0.0817523711474862	8.223
9.375	0.0814463022253908	8.2625
9.4	0.0815737318544588	8.301
9.425	0.0813292438920375	8.2575
9.45	0.0810803952996083	8.295
9.475	0.0807677161408172	8.285
9.5	0.0804452501200803	8.272
9.525	0.0807129870131173	8.295
9.55	0.0807060518542749	8.288
9.575	0.0799055157455057	8.315
9.6	0.0807059634221363	8.332
9.625	0.0802100878456947	8.344
9.65	0.0800935550670395	8.336
9.675	0.0798698690895191	8.34
9.7	0.079571452948378	8.3265
9.725	0.079495594655057	8.3235
9.75	0.0791557985469276	8.3265
9.775	0.0786547582586767	8.335
9.8	0.0793275999639887	8.3725
9.825	0.0788499904821199	8.3375
9.85	0.0789300291682835	8.3815
9.875	0.0783893289932494	8.3385
9.9	0.0778819354608074	8.3995
9.925	0.0778889212009311	8.347
9.95	0.0781778454278317	8.3815
9.975	0.0782622133980349	8.396
10	0.0777960710036169	8.3805
10.025	0.0779902209870853	8.381
10.05	0.0777203310481743	8.391
10.075	0.0774350419506617	8.3975
10.1	0.0773181296832623	8.3645
10.125	0.0773966135664881	8.406
10.15	0.0770434589541243	8.403
10.175	0.0767019015563468	8.4215
10.2	0.0768367987898875	8.397
10.225	0.0771238189660567	8.438
10.25	0.0761034953436496	8.43
10.275	0.0761812261278181	8.4355
10.3	0.0761515987932849	8.404
10.325	0.0761551468400088	8.4375
10.35	0.076402674116435	8.447
10.375	0.0763103899535736	8.4405
10.4	0.0755647740288258	8.4975
10.425	0.0753712250136099	8.4615
10.45	0.0757243308426255	8.4475
10.475	0.0756403011452967	8.4485
10.5	0.0760650753529065	8.444
10.525	0.075068917292233	8.4555
10.55	0.075008577346769	8.475
10.575	0.075165130293632	8.432
10.6	0.0750682996269756	8.488
10.625	0.0747397008003342	8.4585
10.65	0.07504419257709	8.4715
10.675	0.074522309462035	8.467
10.7	0.074276748187001	8.467
10.725	0.0743345298721781	8.5095
10.75	0.0741551081333933	8.5125
10.775	0.0736952339461577	8.5095
10.8	0.0741440907799977	8.4855
10.825	0.0737016729760411	8.4995
10.85	0.0732598668273184	8.513
10.875	0.0740565046320497	8.4895
10.9	0.0734159052334288	8.505
10.925	0.0735813064513119	8.504
10.95	0.0730554056220249	8.506
10.975	0.0728057650030473	8.491
11	0.0732377847452743	8.516
11.025	0.0726001082977227	8.501
11.05	0.0733467845690033	8.5365
11.075	0.0726886192779936	8.494
11.1	0.0723715533315476	8.521
11.125	0.0724009871481611	8.5055
11.15	0.0728634022789449	8.531
11.175	0.0726993343799588	8.5735
11.2	0.0725195894277978	8.5075
11.225	0.0720701085838372	8.546
11.25	0.0717508871125403	8.543
11.275	0.0720105689754513	8.549
11.3	0.0717788792630343	8.546
11.325	0.0717314890589539	8.5845
11.35	0.0715927181422022	8.5575
11.375	0.0716003998513965	8.569
11.4	0.0718410162193549	8.592
11.425	0.0714767249995727	8.544
11.45	0.0711777920981117	8.5505
11.475	0.0713712402217141	8.575
11.5	0.0711273353637611	8.598
11.525	0.0712460732902401	8.5625
11.55	0.0709815038635567	8.5415
11.575	0.0710741634744619	8.5585
11.6	0.0712375615280411	8.5845
11.625	0.0710068290918719	8.566
11.65	0.0704252053820274	8.5525
11.675	0.0705683620869232	8.568
11.7	0.070652511474956	8.576
11.725	0.0706668388264721	8.582
11.75	0.0702978267576353	8.5935
11.775	0.0703616876524086	8.578
11.8	0.0698854447431915	8.5935
11.825	0.0704690942725437	8.6005
11.85	0.0699072271143754	8.606
11.875	0.0699782179627104	8.602
11.9	0.0702063874934285	8.601
11.925	0.0700674077692565	8.6235
11.95	0.0694153292663874	8.6285
11.975	0.0693744727659691	8.6145
12	0.0690637536780315	8.6115
12.025	0.0698399252843383	8.604
12.05	0.0694489300893517	8.634
12.075	0.06934481873877	8.5905
12.1	0.0693113716407737	8.62
12.125	0.068872909776465	8.632
12.15	0.0687915919967995	8.6235
12.175	0.0684944420492525	8.6295
12.2	0.0693976729017867	8.618
12.225	0.0689391191749339	8.627
12.25	0.0689674263306377	8.6445
12.275	0.0689474560773164	8.6315
12.3	0.0688035296127695	8.627
12.325	0.0686005087049257	8.6445
12.35	0.0683221740698929	8.648
12.375	0.0683252794256879	8.643
12.4	0.0685017136540792	8.653
12.425	0.0683325548543252	8.6465
12.45	0.0682988811536735	8.668
12.475	0.0676006896259727	8.6615
12.5	0.0679460854805582	8.6585
12.525	0.0674647955754663	8.661
12.55	0.0674216819306522	8.653
12.575	0.0677140390249958	8.6655
12.6	0.0680121343365545	8.6665
12.625	0.0676024515855218	8.6445
12.65	0.0676309339771909	8.652
12.675	0.0672813625800557	8.6755
12.7	0.0675104914606726	8.697
12.725	0.0670696693050128	8.6705
12.75	0.0676129475263037	8.6565
12.775	0.0670754586431445	8.683
12.8	0.0669923351981656	8.6735
12.825	0.067217628676691	8.69
12.85	0.0670756608578369	8.674
12.875	0.0669718346250725	8.6805
12.9	0.0668088501821898	8.6625
12.925	0.0669596780260325	8.68
12.95	0.0668783697570667	8.682
12.975	0.0667162742953597	8.684
13	0.066149064907372	8.6825
