Time	Response
sec	a.u.
0.50	0.764
0.59	0.877
0.68	1.023
0.77	1.289
0.86	1.256
0.95	1.406
1.05	1.577
1.14	1.699
1.23	1.928
1.32	1.978
1.41	2.376
1.50	2.574
1.59	2.815
1.68	2.976
1.77	3.087
1.86	3.181
1.95	3.490
2.05	3.655
2.14	3.797
2.23	3.986
2.32	4.225
2.41	4.463
2.50	4.513
2.59	4.611
2.68	4.616
2.77	4.706
2.86	4.719
2.95	4.725
3.05	4.762
3.14	4.666
3.23	4.659
3.32	4.664
3.41	4.768
3.50	4.829
3.59	4.821
3.68	4.837
3.77	4.798
3.86	4.773
3.95	4.965
4.05	4.881
4.14	5.007
4.23	5.017
4.32	5.030
4.41	4.921
4.50	4.959
4.59	4.996
4.68	4.994
4.77	5.086
4.86	5.046
4.95	4.909
5.05	5.148
5.14	5.157
5.23	5.054
5.32	5.140
5.41	5.147
5.50	5.067
5.59	5.148
5.68	5.183
5.77	5.225
5.86	5.040
5.95	5.283
6.05	5.189
6.14	5.401
6.23	5.365
6.32	5.301
6.41	5.341
6.50	5.457
6.59	5.591
6.68	5.757
6.77	5.842
6.86	5.857
6.95	5.943
7.05	6.138
7.14	6.165
7.23	6.255
7.32	6.352
7.41	6.385
7.50	6.568
7.59	6.674
7.68	6.698
7.77	6.761
7.86	6.840
7.95	7.018
8.05	7.205
8.14	7.119
8.23	7.393
8.32	7.380
8.41	7.480
8.50	7.627
8.59	7.651
8.68	7.852
8.77	7.819
8.86	8.095
8.95	8.115
9.05	8.168
9.14	8.344
9.23	8.397
9.32	8.429
9.41	8.678
9.50	8.734
