X	Y	Z
-1.09884	0	-3.00609
-0.97576	0.10724	-2.46991
-0.92874	0.20313	-2.31854
-1.03073	0.29516	-2.04766
-1.02358	0.40607	-1.73741
-1.03184	0.48716	-1.45451
-0.90415	0.63801	-1.29498
-0.9117	0.70666	-0.83838
-0.97899	0.7888	-0.58293
-1.05083	0.89608	-0.32133
-1.08017	0.96406	0
-0.99798	1.04699	0.31299
-1.06847	1.24124	0.57669
-0.91605	1.17158	0.93851
-1.09776	1.32715	1.29855
-0.9928	1.63147	1.45763
-0.90866	1.62772	1.87834
-0.9475	1.83574	1.90937
-1.06677	1.83264	2.29722
-1.08765	1.93467	2.79479
-0.90824	2.19274	3.28301
-0.91845	0	-2.73141
-0.84896	0.10645	-2.60266
-0.85198	0.18068	-2.3781
-0.89973	0.31024	-1.94575
-0.8854	0.41088	-1.61821
-0.86845	0.47774	-1.23902
-0.90735	0.63333	-1.02882
-0.95414	0.73627	-0.70214
-0.92306	0.84245	-0.40191
-0.84317	0.95648	-0.10821
-0.88811	0.92377	0.21855
-0.91571	0.99559	0.47048
-0.89066	1.21125	0.86687
-0.87726	1.30202	1.0587
-0.81719	1.36084	1.52386
-0.9113	1.35431	1.72934
-0.94652	1.51287	1.81503
-0.8796	1.79603	2.0962
-0.98814	1.91723	2.71869
-0.92691	1.82196	2.6114
-0.82967	1.84508	3.3145
-0.72885	0	-2.40405
-0.74871	0.09387	-2.34991
-0.81556	0.18132	-1.94636
-0.85418	0.31689	-1.66685
-0.82684	0.37456	-1.39031
-0.86424	0.4504	-1.06858
-0.75736	0.64437	-0.829
-0.75685	0.63126	-0.53541
-0.85232	0.75086	-0.18739
-0.77789	0.87965	0.10669
-0.80846	1.09666	0.38758
-0.84563	1.16995	0.68751
-0.78625	1.29892	1.04742
-0.73478	1.32517	1.20857
-0.76033	1.33068	1.45293
-0.80863	1.38685	1.9096
-0.78538	1.6731	2.03841
-0.87408	1.57081	2.27815
-0.87212	1.66032	2.85233
-0.83116	1.93997	3.18427
-0.85771	1.95105	3.35797
-0.71036	0	-2.3372
-0.68316	0.10825	-2.08729
-0.76213	0.21757	-1.96393
-0.70995	0.30608	-1.60835
-0.70804	0.39255	-1.0964
-0.67747	0.45314	-0.98224
-0.71988	0.62761	-0.62559
-0.71958	0.75458	-0.29746
-0.6952	0.79686	4.07618E-16
-0.66753	0.92875	0.28323
-0.63666	1.09238	0.57004
-0.66806	1.15777	0.86813
-0.75348	1.12199	1.21425
-0.66511	1.42985	1.35904
-0.70334	1.4892	1.84818
-0.67313	1.64309	1.91213
-0.72901	1.63873	2.50978
-0.66368	1.78691	2.45578
-0.74205	1.96707	2.90916
-0.67561	1.73655	3.30145
-0.764	2.16686	3.89718
-0.60443	0	-2.0241
-0.55875	0.09668	-1.72124
-0.58365	0.18865	-1.59099
-0.62269	0.27509	-1.37057
-0.59785	0.39162	-0.94794
-0.60646	0.4712	-0.72388
-0.5561	0.62163	-0.41962
-0.56777	0.6449	-0.10253
-0.65333	0.79826	0.19856
-0.6012	0.88753	0.49256
-0.55071	1.00012	0.86294
-0.58645	1.09978	1.06011
-0.60249	1.10203	1.31533
-0.56832	1.27665	1.86953
-0.61407	1.29001	2.19467
-0.65534	1.40165	2.26802
-0.58594	1.68163	2.78982
-0.57801	1.54155	3.03859
-0.55725	1.86645	3.36032
-0.57851	2.06056	3.66239
-0.60443	1.91213	3.93619
-0.54483	0	-1.97585
-0.45318	0.10045	-1.7493
-0.54742	0.20129	-1.33758
-0.52989	0.27493	-1.14302
-0.45593	0.40339	-0.79647
-0.47578	0.50204	-0.47187
-0.50127	0.55925	-0.2164
