DATE	VALUE
2005-7-22	8.1111
2005-7-25	8.1097
2005-7-26	8.1099
2005-7-27	8.1128
2005-7-28	8.108
2005-7-29	8.1056
2005-8-1	8.1046
2005-8-2	8.1032
2005-8-3	8.1051
2005-8-4	8.1027
2005-8-5	8.1037
2005-8-8	8.109
2005-8-9	8.107
2005-8-10	8.1062
2005-8-11	8.1002
2005-8-12	8.098
2005-8-15	8.0971
2005-8-16	8.1002
2005-8-17	8.0997
2005-8-18	8.1007
2005-8-19	8.1047
2005-8-22	8.1056
2005-8-23	8.1012
2005-8-24	8.1005
2005-8-25	8.1002
2005-8-26	8.0965
2005-8-29	8.0954
2005-8-30	8.0973
2005-8-31	8.0998
2005-9-1	8.0949
2005-9-2	8.0935
2005-9-5	8.092
2005-9-6	8.0913
2005-9-7	8.0925
2005-9-8	8.0945
2005-9-9	8.0956
2005-9-12	8.0924
2005-9-13	8.094
2005-9-14	8.0912
2005-9-15	8.089
2005-9-16	8.0871
2005-9-19	8.0908
2005-9-20	8.089
2005-9-21	8.0911
2005-9-22	8.0881
2005-9-23	8.091
2005-9-26	8.0929
2005-9-27	8.092
2005-9-28	8.0939
2005-9-29	8.093
2005-9-30	8.092
2005-10-3	8.092
2005-10-4	8.092
2005-10-5	8.092
2005-10-6	8.092
2005-10-7	8.092
2005-10-11	8.0879
2005-10-12	8.0895
2005-10-13	8.0885
2005-10-14	8.0896
2005-10-17	8.0877
2005-10-18	8.091
2005-10-19	8.0924
2005-10-20	8.0905
2005-10-21	8.0905
2005-10-24	8.0916
2005-10-25	8.0901
2005-10-26	8.0867
2005-10-27	8.0862
2005-10-28	8.084
2005-10-31	8.0845
2005-11-1	8.086
2005-11-2	8.0851
2005-11-3	8.0841
2005-11-4	8.0856
2005-11-7	8.0877
2005-11-8	8.0867
2005-11-9	8.0857
2005-11-10	8.0847
2005-11-14	8.0856
2005-11-15	8.0845
2005-11-16	8.0835
2005-11-17	8.0845
2005-11-18	8.0832
2005-11-21	8.0833
2005-11-22	8.0839
2005-11-23	8.0816
2005-11-25	8.0815
2005-11-28	8.0825
2005-11-29	8.0796
2005-11-30	8.0804
2005-12-1	8.0798
2005-12-2	8.0806
2005-12-5	8.0808
2005-12-6	8.078
2005-12-7	8.0771
2005-12-8	8.078
2005-12-9	8.0765
2005-12-12	8.077
2005-12-13	8.0751
2005-12-14	8.0726
2005-12-15	8.074
2005-12-16	8.0735
2005-12-19	8.073
2005-12-20	8.074
2005-12-21	8.0765
2005-12-22	8.0775
2005-12-23	8.0762
2005-12-27	8.0724
2005-12-28	8.0725
2005-12-29	8.0709
2005-12-30	8.0702
2006-1-3	8.0702
2006-1-4	8.0702
2006-1-5	8.0678
2006-1-6	8.0663
2006-1-9	8.0665
2006-1-10	8.061
2006-1-11	8.0682
2006-1-12	8.0685
2006-1-13	8.0698
2006-1-17	8.0676
2006-1-18	8.0685
2006-1-19	8.0687
2006-1-20	8.0596
2006-1-23	8.0645
2006-1-24	8.0625
2006-1-25	8.063
2006-1-26	8.062
2006-1-27	8.0608
2006-1-30	8.0608
2006-1-31	8.0608
2006-2-1	8.0616
2006-2-2	8.0616
2006-2-3	8.0616
2006-2-6	8.056
2006-2-7	8.0566
2006-2-8	8.0545
2006-2-9	8.0558
2006-2-10	8.0516
2006-2-13	8.0472
2006-2-14	8.0477
2006-2-15	8.0481
2006-2-16	8.0494
2006-2-17	8.0493
2006-2-21	8.0485
2006-2-22	8.0497
2006-2-23	8.0477
2006-2-24	8.0432
2006-2-27	8.042
2006-2-28	8.0415
2006-3-1	8.039
2006-3-2	8.0394
2006-3-3	8.038
2006-3-6	8.0382
2006-3-7	8.0425
2006-3-8	8.0476
2006-3-9	8.048
2006-3-10	8.0492
2006-3-13	8.0505
2006-3-14	8.0473
2006-3-15	8.0374
2006-3-16	8.0385
2006-3-17	8.0286
2006-3-20	8.025
2006-3-21	8.0272
2006-3-22	8.0306
2006-3-23	8.0274
2006-3-24	8.0338
2006-3-27	8.0245
2006-3-28	8.0212
2006-3-29	8.028
2006-3-30	8.027
2006-3-31	8.0167
2006-4-3	8.021
2006-4-4	8.0194
2006-4-5	8.0116
2006-4-6	8.0098
2006-4-7	8.013
2006-4-10	8.004
2006-4-11	8.0045
2006-4-12	8.0115
2006-4-13	8.0248
2006-4-14	8.0175
2006-4-17	8.0158
2006-4-18	8.014
2006-4-19	8.0128
2006-4-20	8.011
2006-4-21	8.0165
2006-4-24	8.0163
2006-4-25	8.01
2006-4-26	8.0163
2006-4-27	8.0205
2006-4-28	8.0165
2006-5-1	8.0165
2006-5-2	8.0165
2006-5-3	8.01
2006-5-4	8.0114
2006-5-5	8.0114
2006-5-8	8.007
2006-5-9	8.0042
2006-5-10	8.0032
2006-5-11	8.0038
2006-5-12	8.0056
2006-5-15	8.003
2006-5-16	8.0005
2006-5-17	8.002
2006-5-18	8.0095
2006-5-19	8.0175
2006-5-22	8.0255
2006-5-23	8.0235
2006-5-24	8.0175
2006-5-25	8.0235
2006-5-26	8.0245
2006-5-30	8.03
2006-5-31	8.0215
2006-6-1	8.0184
2006-6-2	8.0225
2006-6-5	8.0057
2006-6-6	8.012
2006-6-7	8.0171
2006-6-8	8.0084
2006-6-9	8.011
2006-6-12	8.015
2006-6-13	8.0034
2006-6-14	7.9985
2006-6-15	7.999
2006-6-16	7.9995
2006-6-19	8.0035
2006-6-20	8.0009
2006-6-21	7.9969
2006-6-22	7.9963
2006-6-23	7.9997
2006-6-26	7.9995
2006-6-27	7.998
2006-6-28	7.997
2006-6-29	7.9955
2006-6-30	7.9943
2006-7-3	7.9924
2006-7-5	7.9955
2006-7-6	7.9945
2006-7-7	7.9936
2006-7-10	7.9908
2006-7-11	7.9911
2006-7-12	7.9892
2006-7-13	7.9899
2006-7-14	7.9956
2006-7-17	7.997
2006-7-18	8.0016
2006-7-19	8.0018
2006-7-20	7.9918
2006-7-21	7.9897
2006-7-24	7.9851
2006-7-25	7.9872
2006-7-26	7.9849
2006-7-27	7.974
2006-7-28	7.9792
2006-7-31	7.969
2006-8-1	7.973
2006-8-2	7.972
2006-8-3	7.9748
2006-8-4	7.9783
2006-8-7	7.968
2006-8-8	7.9712
2006-8-9	7.9745
2006-8-10	7.969
2006-8-11	7.9725
2006-8-14	7.9928
2006-8-15	8
2006-8-16	7.9827
2006-8-17	7.9685
2006-8-18	7.9736
2006-8-21	7.9698
2006-8-22	7.9663
2006-8-23	7.9698
2006-8-24	7.9694
2006-8-25	7.969
2006-8-28	7.9706
2006-8-29	7.9615
2006-8-30	7.959
2006-8-31	7.9538
2006-9-1	7.9533
2006-9-5	7.9495
2006-9-6	7.947
2006-9-7	7.9409
2006-9-8	7.9485
2006-9-11	7.9545
2006-9-12	7.9464
2006-9-13	7.949
2006-9-14	7.9462
2006-9-15	7.9429
2006-9-18	7.9465
2006-9-19	7.9357
2006-9-20	7.9264
2006-9-21	7.9248
2006-9-22	7.9195
2006-9-25	7.9212
2006-9-26	7.9135
2006-9-27	7.9019
2006-9-28	7.8965
2006-9-29	7.904
2006-10-2	7.904
2006-10-3	7.904
2006-10-4	7.904
2006-10-5	7.904
2006-10-6	7.904
2006-10-10	7.91
2006-10-11	7.9168
2006-10-12	7.9143
2006-10-13	7.9
2006-10-16	7.912
2006-10-17	7.9081
2006-10-18	7.9066
2006-10-19	7.9102
2006-10-20	7.9028
2006-10-23	7.8981
2006-10-24	7.9023
2006-10-25	7.901
2006-10-26	7.8949
2006-10-27	7.8886
2006-10-30	7.8728
2006-10-31	7.8785
2006-11-1	7.8714
2006-11-2	7.872
2006-11-3	7.8715
2006-11-6	7.875
2006-11-7	7.872
2006-11-8	7.8651
2006-11-9	7.8645
2006-11-10	7.8635
2006-11-13	7.8642
2006-11-14	7.864
2006-11-15	7.8677
2006-11-16	7.8713
2006-11-17	7.8717
2006-11-20	7.8694
2006-11-21	7.8683
2006-11-22	7.8731
2006-11-24	7.8515
2006-11-27	7.8426
2006-11-28	7.844
2006-11-29	7.8303
2006-11-30	7.834
2006-12-1	7.835
2006-12-4	7.8274
2006-12-5	7.8217
2006-12-6	7.8224
2006-12-7	7.8226
2006-12-8	7.8235
2006-12-11	7.834
2006-12-12	7.8283
2006-12-13	7.8265
2006-12-14	7.8229
2006-12-15	7.8265
2006-12-18	7.8192
2006-12-19	7.8243
2006-12-20	7.8158
2006-12-21	7.816
2006-12-22	7.8153
2006-12-26	7.8199
2006-12-27	7.8215
2006-12-28	7.8116
2006-12-29	7.8041
2007-1-2	7.8051
2007-1-3	7.8051
2007-1-4	7.809
2007-1-5	7.8047
2007-1-8	7.8127
2007-1-9	7.8055
2007-1-10	7.8075
2007-1-11	7.7945
2007-1-12	7.7984
2007-1-16	7.79
2007-1-17	7.7752
2007-1-18	7.7705
2007-1-19	7.7752
2007-1-22	7.7759
2007-1-23	7.7756
2007-1-24	7.7705
2007-1-25	7.7705
2007-1-26	7.7748
2007-1-29	7.773
2007-1-30	7.775
2007-1-31	7.7714
2007-2-1	7.7575
2007-2-2	7.7555
2007-2-5	7.7602
2007-2-6	7.7565
2007-2-7	7.7474
2007-2-8	7.7484
2007-2-9	7.7476
2007-2-12	7.757
2007-2-13	7.7632
2007-2-14	7.7565
2007-2-15	7.7545
2007-2-16	7.7426
2007-2-20	7.7466
2007-2-21	7.7426
2007-2-22	7.7436
2007-2-23	7.7416
2007-2-26	7.75
2007-2-27	7.7416
2007-2-28	7.741
2007-3-1	7.7435
2007-3-2	7.7445
2007-3-5	7.7415
2007-3-6	7.7453
2007-3-7	7.743
2007-3-8	7.74
2007-3-9	7.7445
2007-3-12	7.7454
2007-3-13	7.741
2007-3-14	7.737
2007-3-15	7.743
2007-3-16	7.728
2007-3-19	7.7355
2007-3-20	7.732
2007-3-21	7.735
2007-3-22	7.7286
2007-3-23	7.729
2007-3-26	7.7396
2007-3-27	7.7334
2007-3-28	7.7318
2007-3-29	7.728
2007-3-30	7.7232
2007-4-2	7.7296
2007-4-3	7.7267
2007-4-4	7.7345
2007-4-5	7.725
2007-4-6	7.7248
2007-4-9	7.729
2007-4-10	7.7304
2007-4-11	7.7317
2007-4-12	7.724
2007-4-13	7.7222
2007-4-16	7.7283
2007-4-17	7.7288
2007-4-18	7.7208
2007-4-19	7.7125
2007-4-20	7.715
2007-4-23	7.728
2007-4-24	7.7345
2007-4-25	7.7203
2007-4-26	7.73
2007-4-27	7.7139
2007-4-30	7.709
2007-5-1	7.7065
2007-5-2	7.7039
2007-5-3	7.705
2007-5-4	7.7035
2007-5-7	7.7039
2007-5-8	7.6951
2007-5-9	7.6941
2007-5-10	7.6936
2007-5-11	7.6835
2007-5-14	7.6719
2007-5-15	7.6938
2007-5-16	7.683
2007-5-17	7.673
2007-5-18	7.6636
2007-5-21	7.6656
2007-5-22	7.656
2007-5-23	7.649
2007-5-24	7.6525
2007-5-25	7.6527
2007-5-29	7.6514
2007-5-30	7.6463
2007-5-31	7.6516
2007-6-1	7.6483
2007-6-4	7.6503
2007-6-5	7.6397
2007-6-6	7.6377
2007-6-7	7.6525
2007-6-8	7.6666
2007-6-11	7.668
2007-6-12	7.6456
2007-6-13	7.637
2007-6-14	7.642
2007-6-15	7.6245
2007-6-18	7.6193
2007-6-19	7.6175
2007-6-20	7.618
2007-6-21	7.6208
2007-6-22	7.622
2007-6-25	7.6187
2007-6-26	7.6178
2007-6-27	7.621
2007-6-28	7.6198
2007-6-29	7.612
2007-7-2	7.6055
2007-7-3	7.5948
2007-7-5	7.6
2007-7-6	7.6
2007-7-9	7.6055
2007-7-10	7.5855
2007-7-11	7.566
2007-7-12	7.569
2007-7-13	7.571
2007-7-16	7.566
2007-7-17	7.5651
2007-7-18	7.5655
2007-7-19	7.558
2007-7-20	7.5727
2007-7-23	7.5652
2007-7-24	7.566
2007-7-25	7.5596
2007-7-26	7.568
2007-7-27	7.564
2007-7-30	7.57
2007-7-31	7.572
2007-8-1	7.567
2007-8-2	7.5733
2007-8-3	7.567
2007-8-6	7.5608
2007-8-7	7.57
2007-8-8	7.5748
2007-8-9	7.5663
2007-8-10	7.5698
2007-8-13	7.5835
2007-8-14	7.578
2007-8-15	7.585
2007-8-16	7.6181
2007-8-17	7.596
2007-8-20	7.585
2007-8-21	7.594
2007-8-22	7.5937
2007-8-23	7.5867
2007-8-24	7.567
2007-8-27	7.5604
2007-8-28	7.5535
2007-8-29	7.549
2007-8-30	7.542
2007-8-31	7.5462
2007-9-3	7.5462
2007-9-4	7.551
2007-9-5	7.554
2007-9-6	7.533
2007-9-7	7.537
2007-9-10	7.5235
2007-9-11	7.522
2007-9-12	7.521
2007-9-13	7.511
2007-9-14	7.517
2007-9-17	7.519
2007-9-18	7.522
2007-9-19	7.5135
2007-9-20	7.5055
2007-9-21	7.5
2007-9-24	7.5075
2007-9-25	7.514
2007-9-26	7.516
2007-9-27	7.5135
2007-9-28	7.4928
2007-10-1	7.5158
2007-10-2	7.5093
2007-10-3	7.5
2007-10-4	7.5098
2007-10-5	7.5098
2007-10-8	7.5098
2007-10-9	7.5095
2007-10-10	7.5075
2007-10-11	7.508
2007-10-12	7.509
2007-10-15	7.513
2007-10-16	7.5116
2007-10-17	7.5156
2007-10-18	7.5148
2007-10-19	7.508
2007-10-22	7.5075
2007-10-23	7.502
2007-10-24	7.4925
2007-10-25	7.48
2007-10-26	7.4976
2007-10-29	7.4728
2007-10-30	7.472
2007-10-31	7.4682
2007-11-1	7.4582
2007-11-2	7.458
2007-11-5	7.455
2007-11-6	7.4515
2007-11-7	7.442
2007-11-8	7.4211
2007-11-9	7.419
2007-11-13	7.4279
2007-11-14	7.425
2007-11-15	7.425
2007-11-16	7.425
2007-11-19	7.4313
2007-11-20	7.4225
2007-11-21	7.416
2007-11-22	7.416
2007-11-23	7.4079
2007-11-26	7.397
2007-11-27	7.3865
2007-11-28	7.3905
2007-11-29	7.38
2007-11-30	7.385
2007-12-3	7.401
2007-12-4	7.405
2007-12-5	7.39
2007-12-6	7.412
2007-12-7	7.407
2007-12-10	7.39
2007-12-11	7.379
2007-12-12	7.374
2007-12-13	7.37
2007-12-14	7.375
2007-12-17	7.3805
2007-12-18	7.3741
2007-12-19	7.3718
2007-12-20	7.3669
2007-12-21	7.368
2007-12-24	7.3475
2007-12-26	7.345
2007-12-27	7.3079
2007-12-28	7.304
2007-12-31	7.2946
2008-1-2	7.2946
2008-1-3	7.2755
2008-1-4	7.2695
2008-1-7	7.2705
2008-1-8	7.267
2008-1-9	7.2625
2008-1-10	7.27
2008-1-11	7.2615
2008-1-14	7.2526
2008-1-15	7.2345
2008-1-16	7.24
2008-1-17	7.2245
2008-1-18	7.2424
2008-1-22	7.2456
2008-1-23	7.24
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
