Data Source: ForteBio Octet
Station ID: Alpha01
Sensor Type: Protein A
Temperature: 30  deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc17	conc17	conc18	conc18	conc19	conc19	conc20	conc20	conc21	conc21	conc22	conc22	conc23	conc23	conc24	conc24
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	-0.031311	1.8	-0.027588	2	0	2.2	0.00415	2.4	0.012451	2.6	0.05957	2.8	0.122925	3	0.210266
Data Point# 2	3.2	-0.002075	3.4	-0.01062	3.6	-0.020813	3.8	0.026917	4	0.058167	4.2	0.156189	4.4	0.296753	4.6	0.435364
Data Point# 3	4.8	-0.008362	5	-0.025513	5.2	0.002075	5.4	0.057983	5.6	0.093506	5.8	0.242554	6	0.411255	6.2	0.581299
Data Point# 4	6.4	-0.008362	6.6	0.01062	6.8	0.020813	7	0.055908	7.2	0.182861	7.4	0.324829	7.6	0.500305	7.8	0.687622
Data Point# 5	8	0.016724	8.2	0.006348	8.4	0.058228	8.6	0.111816	8.8	0.224426	9	0.442139	9.2	0.627625	9.4	0.785706
Data Point# 6	9.6	0.014648	9.8	0.038269	10	0.058228	10.2	0.122131	10.4	0.286804	10.6	0.489441	10.8	0.708313	11	0.842041
Data Point# 7	11.2	-0.002075	11.4	0.050964	11.6	0.07489	11.8	0.153198	12	0.353394	12.2	0.549133	12.4	0.748657	12.6	0.887939
Data Point# 8	12.8	0.025085	13	0.02124	13.2	0.114441	13.4	0.194641	13.6	0.388733	13.8	0.612976	14	0.810181	14.2	0.867065
Data Point# 9	14.4	0.010437	14.6	0.046753	14.8	0.085266	15	0.217407	15.2	0.44696	15.4	0.666504	15.6	0.842041	15.8	0.952637
Data Point# 10	16	0.037598	16.2	0.044617	16.4	0.14563	16.6	0.24646	16.8	0.469849	17	0.707703	17.2	0.867554	17.4	0.958923
Data Point# 11	17.6	0.020874	17.8	0.084961	18	0.166443	18.2	0.279602	18.4	0.521851	18.6	0.742676	18.8	0.878174	19	0.988159
Data Point# 12	19.2	0.033447	19.4	0.076477	19.6	0.172668	19.8	0.302368	20	0.536438	20.2	0.771545	20.4	0.924866	20.6	0.986084
Data Point# 13	20.8	0.02301	21	0.061584	21.2	0.178955	21.4	0.33551	21.6	0.571838	21.8	0.800354	22	0.952515	22.2	1.013184
Data Point# 14	22.4	0.056396	22.6	0.078613	22.8	0.187256	23	0.343811	23.2	0.586365	23.4	0.823059	23.6	0.950378	23.8	1.038269
Data Point# 15	24	0.054321	24.2	0.082886	24.4	0.21637	24.6	0.374878	24.8	0.634277	25	0.837463	25.2	0.971619	25.4	1.034058
Data Point# 16	25.6	0.039673	25.8	0.095581	26	0.193481	26.2	0.418396	26.4	0.671692	26.6	0.860107	26.8	0.975891	27	1.042419
Data Point# 17	27.2	0.033447	27.4	0.13385	27.6	0.230957	27.8	0.414246	28	0.692566	28.2	0.874512	28.4	0.978027	28.6	1.059143
Data Point# 18	28.8	0.052185	29	0.131714	29.2	0.249695	29.4	0.41217	29.6	0.723755	29.8	0.903381	30	0.988647	30.2	1.06543
Data Point# 19	30.4	0.064758	30.6	0.121094	30.8	0.260132	31	0.453674	31.2	0.723755	31.4	0.895142	31.6	1.045959	31.8	1.052856
Data Point# 20	32	0.05011	32.2	0.127502	32.4	0.253845	32.6	0.478516	32.8	0.732117	33	0.915771	33.2	1.048096	33.4	1.07373
Data Point# 21	33.6	0.05011	33.8	0.14447	34	0.25592	34.2	0.4599	34.4	0.782043	34.6	0.938416	34.8	1.028992	35	1.105103
Data Point# 22	35.2	0.035522	35.4	0.129578	35.6	0.299683	35.8	0.52002	36	0.786255	36.2	0.93634	36.4	1.001343	36.6	1.07373
Data Point# 23	36.8	0.081421	37	0.157227	37.2	0.320496	37.4	0.54071	37.6	0.771667	37.8	0.93634	38	1.054504	38.2	1.128052
Data Point# 24	38.4	0.058472	38.6	0.148743	38.8	0.289246	39	0.549011	39.2	0.78833	39.4	0.95282	39.6	1.069336	39.8	1.125977
Data Point# 25	40	0.064758	40.2	0.180603	40.4	0.320496	40.6	0.551086	40.8	0.815369	41	0.96521	41.2	1.062988	41.4	1.109253
Data Point# 26	41.6	0.091919	41.8	0.180603	42	0.366272	42.2	0.563538	42.4	0.815369	42.6	0.9776	42.8	1.080017	43	1.140564
Data Point# 27	43.2	0.077271	43.4	0.182739	43.6	0.326721	43.8	0.58429	44	0.829956	44.2	0.99408	44.4	1.082092	44.6	1.128052
Data Point# 28	44.8	0.098145	45	0.193359	45.2	0.345459	45.4	0.571838	45.6	0.850769	45.8	0.979614	46	1.084229	46.2	1.136414
Data Point# 29	46.4	0.066833	46.6	0.208252	46.8	0.395447	47	0.602966	47.2	0.832031	47.4	0.996094	47.6	1.099121	47.8	1.144775
Data Point# 30	48	0.077271	48.2	0.201843	48.4	0.403809	48.6	0.623657	48.8	0.857056	49	0.989929	49.2	1.094849	49.4	1.163574
Data Point# 31	49.6	0.12323	49.8	0.2146	50	0.387146	50.2	0.625732	50.4	0.863281	50.6	1.018799	50.8	1.116089	51	1.178162
Data Point# 32	51.2	0.085632	51.4	0.203979	51.6	0.428772	51.8	0.634033	52	0.892456	52.2	1.010559	52.4	1.135254	52.6	1.155212
Data Point# 33	52.8	0.087708	53	0.206116	53.2	0.45166	53.4	0.665161	53.6	0.871643	53.8	1.006409	54	1.118225	54.2	1.153137
Data Point# 34	54.4	0.106506	54.6	0.233765	54.8	0.420471	55	0.667236	55.2	0.911194	55.4	1.031189	55.6	1.111877	55.8	1.190735
Data Point# 35	56	0.12323	56.2	0.257141	56.4	0.462097	56.6	0.654785	56.8	0.898682	57	1.051758	57.2	1.109741	57.4	1.176086
Data Point# 36	57.6	0.133667	57.8	0.246521	58	0.480835	58.2	0.692139	58.4	0.900757	58.6	1.039429	58.8	1.128845	59	1.180298
