Data Source: ForteBio Octet
Station ID: Alpha02
Sensor Type: Protein A
Temperature: 30 deg C

	Sensor A x	Sensor A y	Sensor B x	Sensor B y	Sensor C x	Sensor C y	Sensor D x	Sensor D y	Sensor E x	Sensor E y	Sensor F x	Sensor F y	Sensor G x	Sensor G y	Sensor H x	Sensor H y
	conc41	conc41	conc42	conc42	conc43	conc43	conc44	conc44	conc45	conc45	conc46	conc46	conc47	conc47	conc48	conc48
Data Point# 0	0	0	0.2	0	0.4	0	0.6	0	0.8	0	1	0	1.2	0	1.4	0
Data Point# 1	1.6	-0.037781	1.8	0.004272	2	0.020569	2.2	0.022583	2.4	0.034485	2.6	0.06781	2.8	0.09668	3	0.185364
Data Point# 2	3.2	0.014648	3.4	-0.016968	3.6	0.039063	3.8	0.032837	4	0.070984	4.2	0.14386	4.4	0.248047	4.6	0.446167
Data Point# 3	4.8	0.002075	5	0.008545	5.2	0.047302	5.4	0.055359	5.6	0.143982	5.8	0.21991	6	0.378418	6.2	0.571777
Data Point# 4	6.4	-0.004211	6.6	0.033997	6.8	0.043152	7	0.082031	7.2	0.18457	7.4	0.341248	7.6	0.529907	7.8	0.660767
Data Point# 5	8	0.004211	8.2	0.006409	8.4	0.067871	8.6	0.127136	8.8	0.243408	9	0.423523	9.2	0.607788	9.4	0.738098
Data Point# 6	9.6	0.023071	9.8	0.004272	10	0.100769	10.2	0.139404	10.4	0.306274	10.6	0.532593	10.8	0.656189	11	0.861938
Data Point# 7	11.2	0.006287	11.4	0.074402	11.6	0.102844	11.8	0.170166	12	0.371216	12.2	0.58197	12.4	0.710938	12.6	0.825195
Data Point# 8	12.8	0.008362	13	0.036133	13.2	0.125488	13.4	0.211182	13.6	0.399658	13.8	0.633423	14	0.76355	14.2	0.906433
Data Point# 9	14.4	0.020996	14.6	0.059509	14.8	0.119263	15	0.258362	15.2	0.454468	15.4	0.672546	15.6	0.805664	15.8	0.902588
Data Point# 10	16	0.033569	16.2	0.065857	16.4	0.131653	16.6	0.252197	16.8	0.491028	17	0.730225	17.2	0.818298	17.4	0.976135
Data Point# 11	17.6	0.016785	17.8	0.074402	18	0.148071	18.2	0.268616	18.4	0.515381	18.6	0.746643	18.8	0.862549	19	0.960632
Data Point# 12	19.2	0.016785	19.4	0.072266	19.6	0.137817	19.8	0.309631	20	0.553955	20.2	0.775513	20.4	0.877319	20.6	0.964478
Data Point# 13	20.8	0.020996	21	0.093506	21.2	0.18927	21.4	0.356873	21.6	0.604736	21.8	0.810486	22	0.89624	22.2	1.018738
Data Point# 14	22.4	0.023071	22.6	0.121094	22.8	0.193359	23	0.340454	23.2	0.627075	23.4	0.862	23.6	0.92157	23.8	0.991577
Data Point# 15	24	0.031494	24.2	0.110474	24.4	0.19751	24.6	0.412231	24.8	0.655518	25	0.847595	25.2	0.929993	25.4	1.051636
Data Point# 16	25.6	0.035645	25.8	0.099854	26	0.211914	26.2	0.397888	26.4	0.671753	26.6	0.878479	26.8	0.95105	27	1.045837
Data Point# 17	27.2	0.035645	27.4	0.140259	27.6	0.211914	27.8	0.438965	28	0.700195	28.2	0.888794	28.4	0.961548	28.6	1.069031
Data Point# 18	28.8	0.041931	29	0.159363	29.2	0.255127	29.4	0.430725	29.6	0.714417	29.8	0.909363	30	0.978455	30.2	1.061279
Data Point# 19	30.4	0.067139	30.6	0.150879	30.8	0.246887	31	0.490234	31.2	0.750977	31.4	0.919678	31.6	0.974243	31.8	1.061279
Data Point# 20	32	0.073425	32.2	0.150879	32.4	0.30658	32.6	0.512817	32.8	0.777405	33	0.940308	33.2	0.963684	33.4	1.11554
Data Point# 21	33.6	0.054565	33.8	0.187012	34	0.30249	34.2	0.512817	34.4	0.773376	34.6	0.958801	34.8	1.01001	35	1.072937
Data Point# 22	35.2	0.07135	35.4	0.163635	35.6	0.29834	35.8	0.504639	36	0.797729	36.2	0.948547	36.4	1.016357	36.6	1.127136
Data Point# 23	36.8	0.060852	37	0.157227	37.2	0.320984	37.4	0.557983	37.6	0.77948	37.8	0.962952	38	1.028992	38.2	1.103882
Data Point# 24	38.4	0.069214	38.6	0.180603	38.8	0.314819	39	0.555969	39.2	0.824158	39.4	1.002075	39.6	1.026917	39.8	1.125183
Data Point# 25	40	0.048279	40.2	0.206116	40.4	0.347778	40.6	0.584717	40.8	0.826172	41	0.995911	41.2	1.043762	41.4	1.129089
Data Point# 26	41.6	0.083923	41.8	0.176392	42	0.364258	42.2	0.601135	42.4	0.828247	42.6	1.002075	42.8	1.054321	43	1.113586
Data Point# 27	43.2	0.062927	43.4	0.172119	43.6	0.378662	43.8	0.574402	44	0.8526	44.2	0.991821	44.4	1.033203	44.6	1.144592
Data Point# 28	44.8	0.07135	45	0.2146	45.2	0.362183	45.4	0.648315	45.6	0.842468	45.8	1.02887	46	1.05011	46.2	1.148438
Data Point# 29	46.4	0.0755	46.6	0.223145	46.8	0.405396	47	0.644226	47.2	0.858704	47.4	1.035095	47.6	1.066956	47.8	1.144592
Data Point# 30	48	0.104919	48.2	0.210388	48.4	0.390991	48.6	0.640137	48.8	0.881042	49	1.010315	49.2	1.071167	49.4	1.173645
Data Point# 31	49.6	0.092346	49.8	0.244385	50	0.405396	50.2	0.631897	50.4	0.887146	50.6	1.037109	50.8	1.058533	51	1.183289
Data Point# 32	51.2	0.0755	51.4	0.218872	51.6	0.426025	51.8	0.660645	52	0.848572	52.2	1.03302	52.4	1.083801	52.6	1.152283
Data Point# 33	52.8	0.106995	53	0.235901	53.2	0.42395	53.4	0.681213	53.6	0.91156	53.8	1.057739	54	1.092224	54.2	1.125183
Data Point# 34	54.4	0.102783	54.6	0.225281	54.8	0.450745	55	0.681213	55.2	0.929871	55.4	1.051575	55.6	1.083801	55.8	1.220093
Data Point# 35	56	0.094421	56.2	0.255005	56.4	0.448669	56.6	0.689392	56.8	0.895325	57	1.074219	57.2	1.092224	57.4	1.189087
Data Point# 36	57.6	0.115417	57.8	0.263489	58	0.454834	58.2	0.744873	58.4	0.915649	58.6	1.06189	58.8	1.128052	59	1.200745
Data Point# 37	59.2	0.106995	59.4	0.259277	59.6	0.483704	59.8	0.701721	60	0.948181	60.2	1.070129	60.4	1.090149	60.6	1.187195
