Channel	Amplitude	Amplitude
	mV	mV
	Signal 1	Signal 2
1	5.45537	-1.54484
2	4.86086	-2.13974
3	4.80313	-2.19845
4	4.73943	-2.2645
5	5.43763	-1.57163
6	5.08957	-1.93109
7	5.16686	-1.87677
8	5.56043	-1.52674
9	5.16695	-1.99786
10	5.4873	-1.8078
11	5.35075	-2.15077
12	5.32024	-2.49385
13	6.16073	-2.11837
14	7.14713	-1.83872
15	6.97134	-3.1285
16	7.64743	-4.19214
17	8.27378	-6.0293
18	9.50782	-7.66574
19	9.27289	-10.32405
20	9.80377	-10.75506
21	9.34617	-10.25077
22	8.73009	-8.44347
23	8.66053	-5.64256
24	7.78151	-4.05806
25	7.28842	-2.81143
26	6.97405	-2.0118
27	6.10666	-2.17244
28	5.61341	-2.20068
29	5.84364	-1.65788
30	5.21247	-2.08262
31	4.85878	-2.30603
32	5.37123	-1.71594
33	5.17245	-2.516411
34	5.30932	-2.459505
35	4.62689	-3.017871
36	4.88378	-2.671756
37	4.66449	-3.27563
38	4.67636	-3.581882
39	4.64762	-4.16139
40	4.7084	-4.591392
41	4.5782	-5.519035
42	5.14225	-5.084268
43	5.39912	-4.676111
44	4.86976	-4.663281
45	5.19786	-3.494908
46	4.6713	-3.546118
47	4.5345	-3.308929
48	4.74139	-2.86215
49	5.4021	-3.290668
50	4.66831	-3.549108
