Time Stamp,Temperature,Magnetic Field,Moment,M. Std. Err.,PPMS Status
sec,K,Oe,emu,emu,code
0,9.97,9737.8,6.801E-4,1.9E-5,4465
0.5,9.97,9736.7,7.498E-4,1.8E-5,4465
1.3,9.98,9704.3,5.489E-4,2E-5,4465
4.9,9.98,9283.4,2.584E-4,4.3E-5,4465
8.4,9.98,8843.3,8.535E-5,6.3E-4,4465
11.5,9.98,8461.7,1.645E-4,4.3E-5,4465
14.8,9.97,8061.3,-8.754E-5,8.5E-6,4465
15.3,9.97,7995.6,-5.683E-5,7.5E-6,4465
18.6,9.97,7599.2,-1.84E-5,3.5E-6,4465
22,9.97,7202.2,-3.61E-5,4.8E-6,4465
22.6,9.97,7134.1,-6.585E-5,6.8E-6,4465
26.4,9.98,6665.4,-1.717E-5,2.5E-6,4465
26.8,9.98,6622.5,-6.97E-5,9.9E-6,4465
27.5,9.98,6544.2,-3.996E-5,6.2E-6,4465
28.3,9.98,6444.7,-3.38E-5,5.2E-6,4465
29.3,9.98,6324.1,-9.402E-5,9.9E-6,4465
30.3,9.98,6203.5,-4.717E-5,6.3E-6,4465
31.3,9.98,6083.2,-8.954E-5,8.1E-6,4465
32.3,9.98,5963,-7.812E-5,7.1E-6,4465
33.3,9.98,5842.9,-8.414E-5,8E-6,4465
34.3,9.98,5733.7,-8.957E-5,8.3E-6,4465
35.3,9.98,5613.9,-1.226E-4,1.2E-5,4465
36.3,9.98,5494.3,-1.178E-4,1.1E-5,4465
37.3,9.98,5374.9,-7.591E-5,9E-6,4465
38.3,9.98,5252.1,-1.211E-4,8.7E-6,4465
39.3,9.98,5143.3,-1.383E-4,7.2E-6,4465
40.3,9.98,5024.3,-1.39E-4,9.4E-6,4465
41.3,9.98,4905.4,-1.237E-4,9.4E-6,4465
42.3,9.98,4786.5,-1.076E-4,9.7E-6,4465
43.4,9.98,4667.6,-1.162E-4,9.9E-6,4465
44.3,9.98,4559.4,-1.14E-4,9.1E-6,4465
45.4,9.98,4440.9,-1.35E-4,1.1E-5,4465
46.4,9.98,4322.4,-1.408E-4,9.5E-6,4465
47.4,9.98,4203.8,-1.342E-4,1.1E-5,4465
48.4,9.98,4085.4,-1.254E-4,1.2E-5,4465
49.3,9.98,3977.6,-1.367E-4,1.2E-5,4465
50.3,9.98,3869.7,-1.481E-4,1E-5,4465
51.4,9.98,3747.9,-1.961E-4,9E-6,4465
52.4,9.98,3629.7,-1.575E-4,1.1E-5,4465
53.4,9.98,3511.4,-1.662E-4,8.3E-6,4465
54.4,9.98,3393.2,-1.777E-4,8.1E-6,4465
55.4,9.98,3275.2,-1.403E-4,1E-5,4465
56.4,9.98,3157.2,-1.756E-4,8.3E-6,4465
57.4,9.98,3049.6,-1.757E-4,1.2E-5,4465
58.4,9.98,2932.8,-1.659E-4,7.8E-6,4465
59.4,9.98,2849.4,-1.665E-4,6.5E-6,4465
60.4,9.98,2818.5,-1.611E-4,7.2E-6,4465
61.4,9.98,2807.2,-1.36E-4,6.5E-6,4465
62.4,9.98,2803.6,-1.407E-4,7.6E-6,4465
63.4,9.98,2699.3,-1.854E-4,9.5E-6,4465
64.4,9.98,2554.9,-1.901E-4,7.9E-6,4465
65.4,9.98,2456.5,-2.19E-4,8.9E-6,4465
66.4,9.98,2345.7,-2.24E-4,7.5E-6,4465
67.4,9.98,2230.9,-2.204E-4,7.2E-6,4465
68.4,9.98,2115.1,-2.339E-4,5.9E-6,4465
69.4,9.98,2009,-2.522E-4,5.2E-6,4465
70.4,9.98,1892.5,-2.499E-4,6.5E-6,4465
71.4,9.98,1775.9,-2.486E-4,5.5E-6,4465
72.4,9.98,1669.7,-2.592E-4,4.4E-6,4465
73.4,9.98,1553.4,-2.688E-4,3.9E-6,4465
74.4,9.98,1449.6,-2.866E-4,4E-6,4465
75.4,9.98,1393.5,-2.731E-4,3.6E-6,4465
76.5,9.98,1373.5,-2.666E-4,4E-6,4465
77.5,9.98,1365.5,-2.545E-4,3.8E-6,4465
78.5,9.98,1274.5,-2.488E-4,4.3E-6,4465
79.4,9.98,1160.5,-2.939E-4,4.1E-6,4465
80.5,9.98,1118.2,-2.952E-4,2.7E-6,4465
81.5,9.98,1093,-2.962E-4,3.7E-6,4465
82.5,9.98,1082.1,-2.901E-4,3.1E-6,4465
83.5,9.98,1077.1,-2.763E-4,3.2E-6,4465
111.6,9.98,1000.4,-2.313E-4,2.5E-6,4417
119.4,9.99,1000.3,-2.163E-4,2.6E-6,4417
128.4,9.98,956.1,-2.145E-4,3.1E-6,4449
128.8,9.99,951.4,-2.275E-4,3.5E-6,4449
129.6,9.99,942.7,-2.645E-4,2.6E-6,4449
130.6,9.99,933,-2.76E-4,2.8E-6,4449
131.7,9.99,922,-2.851E-4,2.5E-6,4449
132.7,9.99,910.9,-2.977E-4,2E-6,4449
133.7,9.99,900.8,-2.926E-4,2.2E-6,4449
134.6,9.99,889.7,-2.85E-4,2.7E-6,4449
135.7,9.99,877.5,-2.884E-4,3.4E-6,4449
136.7,9.99,866.3,-2.875E-4,2.6E-6,4449
137.7,9.99,856,-2.951E-4,3.4E-6,4449
138.7,9.99,845.8,-3.018E-4,2.6E-6,4449
139.7,9.99,834.5,-3.072E-4,2.5E-6,4449
140.7,9.99,822,-3E-4,2.4E-6,4449
141.7,9.99,810.8,-3.034E-4,2.3E-6,4449
142.7,9.99,800.4,-2.958E-4,2.3E-6,4449
143.7,9.99,789.1,-2.987E-4,1.9E-6,4449
144.7,9.99,777.9,-3.104E-4,2E-6,4449
145.7,9.99,767.7,-3.111E-4,2.4E-6,4449
146.7,9.99,756.5,-3.096E-4,2.2E-6,4449
147.7,9.99,745.2,-3.162E-4,2.7E-6,4449
148.7,9.99,735,-3.121E-4,2.4E-6,4449
149.7,9.99,723.7,-3.111E-4,2.4E-6,4449
150.8,9.99,712.5,-3.105E-4,2.8E-6,4449
151.7,9.99,702.2,-3.225E-4,2.6E-6,4449
152.7,9.99,691,-3.257E-4,2.1E-6,4449
153.7,9.99,679.5,-3.223E-4,2.2E-6,4449
154.7,9.99,668.3,-3.221E-4,2.5E-6,4449
155.8,9.99,656,-3.293E-4,1.9E-6,4449
156.8,9.99,644.8,-3.271E-4,2.2E-6,4449
157.7,9.99,634.6,-3.235E-4,2.1E-6,4449
158.7,9.99,623.4,-3.418E-4,2.2E-6,4449
159.8,9.99,612.1,-3.417E-4,1.6E-6,4449
160.8,9.99,600.9,-3.405E-4,1.7E-6,4449
161.8,9.99,589.8,-3.4E-4,1.9E-6,4449
162.7,9.99,579.7,-3.436E-4,2.1E-6,4449
163.8,9.99,568.5,-3.437E-4,1.8E-6,4449
164.8,9.99,557,-3.435E-4,1.8E-6,4449
165.8,9.99,546.8,-3.445E-4,1.8E-6,4449
166.8,9.99,536.6,-3.533E-4,2E-6,4449
167.8,9.99,525.5,-3.512E-4,2E-6,4449
168.8,9.99,514.2,-3.609E-4,1.4E-6,4449
169.8,9.99,502.9,-3.656E-4,1.4E-6,4449
170.8,9.99,491.7,-3.62E-4,1.9E-6,4449
171.8,9.99,480.7,-3.591E-4,1.8E-6,4449
172.8,9.99,469.6,-3.655E-4,1.5E-6,4449
173.8,9.99,459.5,-3.7E-4,1.8E-6,4449
174.8,9.99,448.2,-3.704E-4,1.5E-6,4449
175.8,9.99,437.1,-3.739E-4,1.7E-6,4449
176.8,9.99,425.9,-3.757E-4,1.2E-6,4449
177.8,9.99,414.5,-3.785E-4,1.2E-6,4449
178.9,9.99,403.4,-3.815E-4,1.2E-6,4449
179.9,9.99,392.3,-3.825E-4,1.3E-6,4449
180.8,9.99,382.1,-3.848E-4,1.2E-6,4449
181.8,9.99,371.9,-3.848E-4,1.2E-6,4449
182.8,9.99,360.7,-3.863E-4,1.1E-6,4449
183.8,9.99,349.6,-3.9E-4,1E-6,4449
184.8,9.99,338.5,-3.928E-4,9.9E-7,4449
185.9,9.99,326.5,-3.976E-4,9.8E-7,4449
186.9,9.99,315.4,-4.001E-4,1.2E-6,4449
187.9,9.99,305.2,-4.026E-4,1.1E-6,4449
188.9,9.99,295.1,-4.05E-4,1.2E-6,4449
189.9,9.99,284,-4.123E-4,1.1E-6,4449
190.8,9.99,272.5,-4.154E-4,9.2E-7,4449
191.9,9.99,261.4,-4.169E-4,9E-7,4449
192.8,9.99,250.4,-4.226E-4,1.3E-6,4449
193.8,9.99,240.3,-4.25E-4,1.3E-6,4449
194.9,9.99,229.2,-4.284E-4,1.5E-6,4449
195.8,9.99,218.2,-4.354E-4,1.2E-6,4449
196.9,9.99,208.1,-4.354E-4,1.8E-6,4449
197.9,9.99,197.1,-4.413E-4,1.4E-6,4449
198.9,9.99,186,-4.425E-4,1.4E-6,4449
199.9,9.99,174.9,-4.441E-4,1.8E-6,4449
200.9,9.99,163.9,-4.495E-4,1.5E-6,4449
201.9,9.99,153.8,-4.494E-4,1.2E-6,4449
202.9,9.99,142.7,-4.538E-4,1.4E-6,4449
203.9,9.99,131.3,-4.595E-4,1.4E-6,4449
204.9,9.99,120.4,-4.641E-4,1.4E-6,4449
205.9,9.99,109.4,-4.665E-4,1.8E-6,4449
206.9,9.99,99.3,-4.707E-4,1.3E-6,4449
207.9,9.99,88.3,-4.763E-4,1.4E-6,4449
208.9,9.99,77.3,-4.778E-4,1.5E-6,4449
209.9,9.99,66.3,-4.853E-4,1.3E-6,4449
211,9.99,55.4,-4.909E-4,1.4E-6,4449
211.9,9.99,45.3,-4.94E-4,1.6E-6,4449
212.9,9.99,34.3,-4.983E-4,1.9E-6,4449
213.9,9.99,23.4,-5.178E-4,1.9E-6,4449
214.9,9.99,12.2,-5.285E-4,1.7E-6,4449
215.9,9.99,1.2,-5.442E-4,1.9E-6,4449
216.9,9.99,-8.9,-5.716E-4,2.5E-6,4449
217.9,9.99,-19.8,-6.095E-4,2.6E-6,4449
219,9.99,-31.8,-6.477E-4,2.9E-6,4449
220,9.99,-42.7,-7.014E-4,3.2E-6,4449
220.9,9.99,-52.6,-7.457E-4,2.5E-6,4449
222.1,9.99,-64.6,-7.784E-4,2.7E-6,4449
223.1,9.99,-75.6,-8.003E-4,2.1E-6,4449
239.1,9.97,-246.8,0,0,4449
251.7,10.01,-380.8,-9.794E-4,2.1E-6,4449
252.1,10.01,-385.6,-9.874E-4,2.5E-6,4449
253.1,10.01,-395.5,-9.925E-4,2.3E-6,4449
254.1,10,-406.7,-0.001001,3.1E-6,4449
255.1,10,-416.6,-9.95E-4,3.1E-6,4449
256,10,-427.4,-1E-3,2.8E-6,4449
257.1,9.99,-438.4,-9.985E-4,2.5E-6,4449
258.1,9.99,-449.1,-0.001003,3.6E-6,4449
259.1,9.99,-460.9,-0.001006,3.9E-6,4449
260.2,9.99,-471.9,-0.001004,3.1E-6,4449
261.1,9.99,-481.7,-0.001009,2.7E-6,4449
262.1,9.99,-492.5,-0.001017,2.7E-6,4449
263.1,9.99,-503.2,-0.001014,3.6E-6,4449
264.1,9.99,-513,-0.001021,3.7E-6,4449
265.1,9.99,-522.7,-0.001019,2.1E-6,4449
266.1,9.99,-533.2,-0.001021,2.9E-6,4449
267.1,9.99,-542.1,-0.001025,3.7E-6,4449
268.1,9.99,-548.4,-0.001025,3.8E-6,4449
269.2,10,-553.9,-0.001033,2.9E-6,4449
270.1,10,-558.4,-0.001036,3.7E-6,4449
271.1,10,-563.1,-0.001026,3.2E-6,4449
272.2,10,-567.3,-0.001031,3.1E-6,4449
273.1,10,-570.7,-0.001035,3E-6,4449
274.2,10,-587.7,-0.001033,3.5E-6,4449
275.2,10,-606.8,-0.001036,3.3E-6,4449
276.1,10,-616,-0.00104,4E-6,4449
277.2,10,-626.4,-0.001052,4.1E-6,4449
278.2,10,-636,-0.001056,4E-6,4449
279.2,10,-646.5,-0.001059,4E-6,4449
280.2,10,-657.5,-0.001064,4.1E-6,4449
281.2,9.99,-668.2,-0.001072,2.3E-6,4449
282.2,9.99,-678.9,-0.001069,3.8E-6,4449
283.2,9.99,-689.5,-0.001061,3.3E-6,4449
284.2,9.99,-700.2,-0.001062,3.9E-6,4449
285.2,9.99,-710,-0.001064,3.5E-6,4449
286.2,9.99,-720.8,-0.001066,3.4E-6,4449
287.2,9.99,-731.5,-0.001065,3.6E-6,4449
288.2,9.99,-742.2,-0.001066,4.2E-6,4449
289.2,9.99,-752.9,-0.001076,3.4E-6,4449
290.2,9.99,-762.7,-0.001088,3.2E-6,4449
291.2,9.99,-773.8,-0.001089,3.1E-6,4449
292.2,10,-784.5,-0.001091,3.5E-6,4449
293.2,10,-794.3,-0.001094,3.5E-6,4449
294.2,10,-805.1,-0.001094,4.3E-6,4449
295.2,10,-816.7,-0.001096,3.9E-6,4449
296.2,10,-827.3,-0.001097,5.3E-6,4449
297.2,10,-837.1,-0.001101,6.1E-6,4449
298.2,10,-847.5,-0.001097,6.5E-6,4449
299.3,10,-856.5,-0.001095,5E-6,4449
300.3,10,-862.7,-0.001087,5E-6,4449
301.2,10,-867.9,-0.001087,5.4E-6,4449
302.2,10,-872.5,-0.001093,3.8E-6,4449
303.2,10,-877,-0.001088,5.2E-6,4449
304.2,10,-881.1,-0.001087,4.5E-6,4449
305.3,10,-884.6,-0.001084,4.1E-6,4449
347.4,10,-999.7,-0.001079,6.3E-6,4417
354.9,10,-999.7,-0.001044,7.9E-6,4417
363.6,10,-1285.4,-0.001042,5.1E-6,4449
364.1,10,-1237,-0.001101,2.1E-5,4449
364.7,10,-1241.1,-0.001161,3.1E-5,4449
365.4,10,-1301.9,-0.001139,2.8E-5,4449
366.5,10,-1401,-0.001188,1.8E-5,4449
367.5,10,-1508.9,-0.001174,8E-6,4449
368.5,10,-1616.3,-0.001164,7.6E-6,4449
369.5,10,-1724.3,-0.001142,8E-6,4449
370.5,10,-1826.7,-0.001119,9.4E-5,4449
371.5,10,-1930.2,-0.001164,1E-5,4449
372.5,10,-2030.2,-0.001171,9.2E-6,4449
373.5,10,-2125.2,-0.001144,6.6E-5,4449
374.5,10,-2230.3,-0.001173,9.4E-6,4449
375.5,10,-2339.8,-0.001162,7.3E-6,4449
376.5,10,-2440.9,-0.001254,1.1E-4,4449
377.5,10,-2542,-0.001197,2.8E-5,4449
378.5,10,-2638.4,-0.001178,5E-5,4449
379.5,10,-2743.3,-0.001177,3.5E-5,4449
380.6,10,-2853.7,-0.001173,6.8E-6,4449
381.6,10,-2961.4,-0.001169,9.6E-6,4449
382.6,10,-3068,-0.001172,1.4E-5,4449
383.6,10,-3162.5,-0.001182,3.7E-5,4449
384.5,10,-3267.2,-0.001147,1.4E-5,4449
385.5,10,-3362.7,-0.001136,1.8E-4,4449
386.5,10,-3449.8,-0.001148,1.3E-5,4449
387.5,10,-3556.2,-0.001129,5E-5,4449
388.5,10,-3669.9,-0.001159,1E-5,4449
389.6,10,-3774.8,-0.001145,2.5E-5,4449
390.6,10,-3870.9,-0.001117,1.4E-5,4449
391.6,10,-3967.7,-0.001287,1.5E-4,4449
392.6,10,-4062.4,-0.001159,1.2E-5,4449
393.6,10,-4160.1,-0.001174,1.1E-5,4449
394.6,10,-4260.9,-0.00116,6.1E-5,4449
395.6,10,-4361,-0.001176,2.8E-5,4449
396.6,10,-4450.1,-0.001113,2.3E-4,4449
397.6,10,-4542.6,-0.001081,1.3E-5,4449
398.6,10,-4643.1,-0.001088,1.8E-5,4449
399.6,10,-4750.1,-0.001099,1.4E-5,4449
400.6,10,-4855.5,-0.001105,1.4E-5,4449
401.6,10,-4952.3,-0.001103,1.1E-4,4449
402.6,10,-5040.1,-0.001036,1.5E-4,4449
403.6,10,-5128,-0.0011,1.5E-5,4449
404.6,10,-5234.7,-0.001072,7E-5,4449
405.6,10,-5337.5,-0.001044,1.8E-5,4449
406.6,10,-5432.7,-9.995E-4,1.7E-4,4449
407.6,10,-5528.3,-0.001044,1.3E-5,4449
408.6,10,-5624.6,-0.001038,1.4E-5,4449
409.6,10,-5728.2,-0.001049,1.7E-5,4449
410.6,10,-5830.6,-0.001041,1.6E-5,4449
411.6,10,-5932.2,-0.001033,1.8E-5,4449
412.7,10,-6033.2,-0.001037,1.4E-5,4449
413.7,10,-6124.8,-0.001071,4.4E-5,4449
414.7,10,-6204.5,-0.001084,2.3E-4,4449
415.7,10,-6301.5,-0.001061,1.7E-5,4449
416.7,10,-6409.8,-0.001039,2E-5,4449
417.7,10,-6499.3,-0.00103,5.7E-5,4449
418.7,10,-6598.2,-0.001021,1.4E-5,4449
419.7,10,-6703.1,-0.00101,2.3E-5,4449
420.7,10,-6805.2,-0.001002,1.8E-5,4449
421.7,10,-6897.3,-9.747E-4,2.4E-5,4449
422.6,10,-6988.5,-9.979E-4,2.3E-5,4449
423.7,10,-7088.2,-9.747E-4,2E-5,4449
424.7,10,-7187.5,-9.718E-4,2.1E-5,4449
425.7,10,-7286.5,-9.985E-4,1.9E-5,4449
426.7,10,-7385.5,-9.686E-4,1.9E-5,4449
427.7,10,-7484.3,-9.658E-4,2.2E-5,4449
428.7,10,-7574,-9.562E-4,2E-5,4449
432.3,10,-7923.8,-9.658E-4,2E-5,4449
432.8,10,-7969.8,-9.743E-4,2.6E-5,4449
433.7,10,-8057.5,-9.83E-4,2.6E-5,4449
434.7,10,-8115.3,-9.386E-4,2.3E-5,4449
435.7,10,-8139.8,-9.317E-4,2.4E-5,4449
439.1,10,-8242.3,-7.762E-4,4.5E-4,4449
442.4,10,-8549.6,-9.566E-4,2E-5,4449
445.7,10,-8881.3,-8.605E-4,2.5E-5,4449
448.6,10,-9165.2,-9.034E-4,2.6E-5,4449
449.1,10,-9209.8,-8.845E-4,3.2E-5,4449
452.7,10,-9539.5,-7.751E-4,3.5E-5,4449
455.8,10,-9582.5,-7.916E-4,3.5E-5,4449
456.3,10,-9668.5,-7.642E-4,3E-5,4449
457.1,10,-9762.2,-8.248E-4,3.6E-5,4449
458,10,-9792.1,-8.594E-4,2.4E-5,4449
458.9,10,-9826.4,-8.433E-4,3E-5,4449
459.8,10,-9847.7,-8.689E-4,2.6E-5,4449
460.8,10,-9860.3,-8.347E-4,2.9E-5,4449
461.8,10,-9865.3,-8.568E-4,2.4E-5,4449
490.7,10,-9999.6,-8.108E-4,2.3E-5,4417
502.5,10,-9766.2,-6.679E-4,2.9E-5,4465
505.7,10,-9450.2,-2.575E-4,2.8E-5,4465
508.9,10,-9062.3,1.055E-5,6.7E-6,4465
511.8,10,-8690.1,4.434E-6,1.9E-6,4465
515,10,-8309.8,1.305E-5,3.6E-6,4465
518.3,10,-7896.2,-1.631E-5,1.5E-5,4465
521.6,10,-7500.6,8.871E-8,3.2E-8,4465
524.7,10,-7129.7,-5.185E-5,3E-5,4465
528.3,10,-6696.6,-9.177E-6,1.4E-5,4465
531.5,10,-6337.2,-2.243E-5,7.1E-5,4465
534.5,10,-5962,-3.732E-6,1.2E-5,4465
535.1,10,-5905.5,-4.972E-6,1.2E-5,4465
536.1,10,-5785.5,-4.837E-5,2.3E-5,4465
539.7,10,-5349.5,5.216E-5,9E-6,4465
