This data is a subset of the "Land Area, Population, and Density for Metropolitan Areas: 1990" 
table from the U.S. Census Bureau (http://www.census.gov)

Population	Sq. Mi.	Density	Metropolitan Area
119,655	915.7	130.7	Abilene, TX  
112,561	685.5	164.2	Albany, GA  
874,304	3248.5	269.1	Albany-Schenectady-Troy, NY  
480,577	1166.2	412.1	Albuquerque, NM  
131,556	1322.7	99.5	Alexandria, LA  
686,688	1461	470	Allentown-Bethlehem, PA-NJ  
130,542	525.8	248.3	Altoona, PA  
187,547	1823.9	102.8	Amarillo, TX  
226,338	1697.6	133.3	Anchorage, AK  
130,669	452.2	289	Anderson, IN  
145,196	718	202.2	Anderson, SC  
116,034	608.5	190.7	Anniston, AL  
315,121	1398.9	225.3	Appleton-Oshkosh-Neenah, WI  
174,821	656.3	266.4	Asheville, NC  
156,267	933.4	167.4	Athens, GA  
2,833,511	5121.5	553.3	Atlanta, GA  
319,416	816.4	391.3	Atlantic City, NJ  
396,809	1947	203.8	Augusta, GA-SC  
781,572	2791.7	280	Austin, TX  
543,477	8141.6	66.8	Bakersfield, CA  
2,382,172	2609.3	913	Baltimore, MD  
88,745	351.8	252.2	Bangor, ME  
528,264	1586.5	333	Baton Rouge, LA  
135,982	708.9	191.8	Battle Creek, MI  
361,226	2154.4	167.7	Beaumont-Port Arthur, TX  
127,780	2120.1	60.3	Bellingham, WA  
161,378	571	282.6	Benton Harbor, MI  
113,419	2635.2	43	Billings, MT  
197,125	1057.9	186.3	Biloxi-Gulfport, MS  
264,497	1225.6	215.8	Binghamton, NY  
907,810	3981.7	228	Birmingham, AL  
83,831	3559.6	23.6	Bismarck, ND  
108,978	394.4	276.3	Bloomington, IN  
129,180	1183.6	109.1	Bloomington-Normal, IL  
205,775	1055	195	Boise City, ID  
4,171,643	3105.3	1343.4	Boston-Lawrence-Salem, MA-NH
2,870,669	1760.2	1630.9	Boston, MA 
189,478	147.5	1284.3	Brockton, MA 
393,516	462.2	851.5	Lawrence-Haverhill, MA-NH 
273,067	216.9	1258.7	Lowell, MA-NH 
180,557	302.3	597.2	Nashua, NH 
264,356	216.1	1223.2	Salem-Gloucester, MA
211,707	741.2	285.6	Bradenton, FL
189,731	396	479.1	Bremerton, WA  
260,120	905.6	287.2	Brownsville-Harlingen, TX  
121,862	585.8	208	Bryan-College Station, TX  
1,189,288	1567.6	758.7	Buffalo-Niagara Falls, NY 
968,532	1044.7	927.1	Buffalo, NY 
220,756	523	422.1	Niagara Falls, NY 
108,213	430.7	251.3	Burlington, NC  
131,439	434	302.9	Burlington, VT  
394,106	970.9	405.9	Canton, OH  
61,226	5340.1	11.5	Casper, WY  
168,767	717.5	235.2	Cedar Rapids, IA  
173,025	997.2	173.5	Champaign-Urbana-Rantoul, IL  
506,875	2591.8	195.6	Charleston, SC  
250,454	1249.4	200.5	Charleston, WV  
1,162,093	3378.6	344	Charlotte-Gastonia-Rock Hill, NC-SC  
131,107	1177.1	111.4	Charlottesville, VA  
433,210	2090.6	207.2	Chattanooga, TN-GA  
73,142	2686.2	27.2	Cheyenne, WY  
8,065,633	5618.9	1435.5	Chicago-Gary-Lake County, IL-IN-WI 
356,884	841.4	424.2	Aurora-Elgin, IL 
6,069,974	1884.3	3221.4	Chicago, IL 
604,526	915.2	660.5	Gary-Hammond, IN 
389,650	1257.4	309.9	Joliet, IL 
128,181	272.8	469.8	Kenosha, WI  
516,418	447.8	1153.3	Lake County, IL  
182,120	1639.6	111.1	Chico, CA  
1,744,124	2592.3	672.8	Cincinnati-Hamilton, OH-KY-IN  
1,452,645	2125	683.6	Cincinnati, OH-KY-IN  
291,479	467.3	623.7	Hamilton-Middletown, OH  
169,439	1260.5	134.4	Clarksville-Hopkinsville, TN-KY  
2,759,823	2910	948.4	Cleveland-Akron-Lorain, OH  
657,575	905.2	726.4	Akron, OH  
1,831,122	1512.2	1210.9	Cleveland, OH  
271,126	492.6	550.4	Lorain-Elyria, OH  
397,014	2126.7	186.7	Colorado Springs, CO  
112,379	685.4	164	Columbia, MO  
453,331	1457.4	311.1	Columbia, SC  
243,072	1106.2	219.7	Columbus, GA-AL  
1,377,419	3578.8	384.9	Columbus, OH  
349,894	1527.7	229	Corpus Christi, TX  
101,643	753.1	135	Cumberland, MD-WV  
