A	B	C	D
17.36649	-2.95397	17.36669	0.34633
17.40097	-2.95353	17.40117	0.34678
17.43389	-2.95283	17.43409	0.34747
17.46864	-2.95171	17.46884	0.34859
17.50197	-2.95096	17.50217	0.34934
17.53441	-2.95115	17.53461	0.34915
17.56753	-2.95092	17.56773	0.34938
17.60083	-2.95094	17.60103	0.34936
17.63142	-2.95054	17.63162	0.34976
17.66558	-2.95043	17.66578	0.34987
17.69822	-2.9508	17.69842	0.3495
17.73218	-2.95099	17.73238	0.34931
17.76682	-2.95063	17.76702	0.34967
17.79988	-2.95053	17.80008	0.34977
17.83261	-2.95019	17.83281	0.35011
17.86517	-2.95048	17.86537	0.34982
17.89758	-2.95016	17.89778	0.35014
17.93114	-2.94978	17.93134	0.35052
17.96368	-2.95028	17.96388	0.35002
18.0004	-2.95036	18.0006	0.34994
18.03188	-2.95037	18.03208	0.34993
18.06177	-2.94981	18.06197	0.35049
18.09571	-2.9499	18.09591	0.3504
18.13108	-2.95006	18.13128	0.35024
18.16237	-2.95012	18.16257	0.35018
18.19579	-2.95005	18.19599	0.35025
18.22903	-2.95062	18.22923	0.34968
18.26163	-2.95067	18.26183	0.34963
18.2949	-2.95051	18.2951	0.34979
18.32521	-2.95018	18.32541	0.35012
18.35577	-2.94966	18.35597	0.35064
18.38722	-2.94989	18.38742	0.35041
18.42243	-2.95011	18.42263	0.35019
18.45597	-2.94985	18.45617	0.35045
18.49003	-2.95023	18.49023	0.35007
18.52269	-2.94943	18.52289	0.35087
18.55823	-2.94866	18.55843	0.35164
18.5883	-2.94819	18.5885	0.35211
18.62334	-2.94781	18.62354	0.35249
18.65497	-2.94777	18.65517	0.35253
18.68903	-2.94759	18.68923	0.35271
18.72222	-2.94676	18.72242	0.35354
18.75652	-2.94735	18.75672	0.35295
18.78833	-2.94713	18.78853	0.35317
18.82179	-2.94639	18.82199	0.35391
18.85622	-2.94572	18.85642	0.35458
18.88772	-2.94511	18.88792	0.35519
18.92012	-2.94468	18.92032	0.35562
18.95318	-2.94446	18.95338	0.35584
18.9864	-2.94443	18.9866	0.35587
19.01814	-2.94463	19.01834	0.35567
19.05193	-2.94498	19.05213	0.35532
19.08564	-2.945	19.08584	0.3553
