A	B	E	F	G	H	I	J
0	0.04577	0	0.06085	0	0.04128	0	0.04467
0.43408	95993.9375	0.07401	142460.1875	0.30661	86569.61719	-0.08462	93676.05469
0.48701	95993.9375	-0.03172	332407.15625	0.41234	216423.89063	0.05289	327866
0.4129	95993.9375	0.41234	949734.6875	0.35947	519417.3125	0.56061	889921.875
0.84698	239984.6875	0.35947	1.75701E6	0.4652	1.16869E6	0.30675	1.68617E6
1.05872	431972.46875	0.35947	2.32685E6	0.66608	1.77468E6	0.64523	2.29506E6
0.87874	815947.875	0.74009	2.65926E6	0.71895	1.77468E6	0.95198	2.48241E6
1.38693	1.05593E6	0.74009	2.80172E6	0.6978	1.25526E6	0.93083	2.62293E6
1.43986	1.29592E6	0.64494	3.03915E6	0.95155	519417.3125	0.98371	2.7166E6
1.4928	1.39191E6	1.05728	3.46653E6	0.9304	302993.46875	1.70299	3.18498E6
2.01157	1.48791E6	1.11014	4.17883E6	0.95155	605986.875	1.39624	3.88755E6
1.9057	1.48791E6	1.11014	5.22354E6	1.07842	1.34183E6	1.77703	4.54329E6
1.93746	1.48791E6	1.79737	6.50568E6	1.41675	2.20752E6	1.90396	5.48005E6
2.47741	1.39191E6	1.54362	7.78782E6	1.41675	2.94337E6	1.75588	6.36997E6
2.37154	1.29592E6	1.70221	9.40237E6	1.49076	3.59264E6	2.13667	7.4004E6
2.35036	1.29592E6	2.08283	1.12544E7	1.82909	4.32848E6	2.22129	8.57135E6
2.7315	1.39191E6	1.93481	1.28689E7	1.85023	5.28074E6	2.00974	9.83598E6
2.8162	1.87188E6	2.11455	1.4151E7	1.93482	6.44943E6	2.58093	1.1288E7
2.78444	2.44784E6	2.20971	1.55282E7	2.1357	7.61812E6	2.50688	1.27868E7
3.19734	3.02381E6	2.24142	1.73801E7	2.27314	8.74353E6	2.47515	1.38172E7
3.25027	3.74376E6	2.24142	1.9707E7	2.31543	9.69579E6	2.91941	1.42856E7
3.04912	4.6557E6	2.47403	2.25087E7	2.6009	1.04316E7	2.91941	1.48476E7
3.43026	5.37566E6	2.70663	2.54054E7	2.70663	1.10809E7	2.88768	1.60186E7
3.51496	6.3356E6	2.70663	2.83971E7	2.68548	1.17302E7	3.38482	1.78453E7
3.43026	7.00755E6	2.8335	3.06289E7	3.24584	1.28989E7	3.33194	2.00935E7
3.66318	7.58352E6	3.17183	3.25759E7	3.04495	1.43705E7	3.35309	2.25291E7
3.71611	8.20748E6	2.99209	3.52352E7	3.17183	1.61452E7	3.8185	2.42152E7
3.74787	8.78344E6	3.47844	3.89391E7	3.74276	1.80498E7	3.74446	2.50115E7
4.10784	9.4554E6	3.81677	4.34978E7	3.47844	1.98677E7	3.87139	2.52457E7
4.16078	1.04153E7	3.58416	4.82465E7	3.79562	2.1123E7	4.23103	2.61824E7
4.309	1.17113E7	4.30311	5.20455E7	4.07051	2.23782E7	4.03005	2.85712E7
4.48898	1.33431E7	4.12338	5.50846E7	3.86963	2.41962E7	4.46373	3.16625E7
4.57368	1.5119E7	4.17624	5.88835E7	4.2291	2.64037E7	4.64355	3.47538E7
4.59485	1.68469E7	4.51457	6.23976E7	4.51457	2.91739E7	4.51662	3.66742E7
4.77483	1.81428E7	4.38769	6.59591E7	4.35598	3.21173E7	4.92915	3.84072E7
5.03951	1.93428E7	4.42999	6.88558E7	4.48285	3.45413E7	4.90799	4.07959E7
4.95482	2.03987E7	4.66259	7.21323E7	4.74717	3.67488E7	4.82337	4.45898E7
5.52653	2.16466E7	4.6943	7.5124E7	4.58858	3.9519E7	5.19359	4.8571E7
5.47359	2.35185E7	4.66259	7.81632E7	4.8529	4.31116E7	5.2359	5.11939E7
5.50535	2.56304E7	4.9269	8.08224E7	5.13836	4.69207E7	5.39456	5.30675E7
5.78062	2.76462E7	5.07492	8.29118E7	5.00091	5.07298E7	5.52149	5.59246E7
5.81238	2.96141E7	4.97977	8.56661E7	5.28638	5.36731E7	5.57438	5.95779E7
5.78062	3.139E7	5.28638	8.84678E7	5.37096	5.67463E7	5.64842	6.32313E7
6.27822	3.30219E7	5.30752	9.1127E7	5.26523	5.99061E7	5.7542	6.58542E7
6.24646	3.50378E7	5.23351	9.34539E7	5.69872	6.37152E7	5.7542	6.77746E7
6.35233	3.77256E7	5.80444	9.55433E7	5.87845	6.70914E7	5.85997	7.04443E7
6.99815	4.05094E7	5.62471	9.73003E7	5.7833	6.97318E7	6.11384	7.3723E7
6.71229	4.32452E7	5.82559	9.94847E7	6.11105	7.23722E7	6.11384	7.63928E7
6.92404	4.53571E7	6.26964	1.01669E8	6.21678	7.55319E7	6.25134	7.83131E7
7.12519	4.7421E7	6.00533	1.03284E8	6.14277	7.81723E7	6.32539	8.01398E7
6.92404	4.99168E7	6.44938	1.04566E8	6.39652	8.02067E7	6.52636	8.29969E7
7.26283	5.26046E7	6.68198	1.05373E8	6.50225	8.19814E7	6.50521	8.5854E7
7.46399	5.50525E7	6.41766	1.06323E8	6.44938	8.37993E7	6.66387	8.81491E7
7.284	5.76443E7	6.75599	1.0713E8	6.60797	8.60934E7	6.94946	8.92732E7
7.54868	6.06681E7	6.86172	1.08175E8	6.80886	8.82144E7	6.81196	9.021E7
7.80278	6.40759E7	6.75599	1.08982E8	6.89344	8.98159E7	7.20333	9.20367E7
7.62279	6.69077E7	7.09432	1.10027E8	6.89344	9.09846E7	7.36199	9.43317E7
7.74984	6.95956E7	7.20005	1.10976E8	7.30577	9.24563E7	7.22448	9.63926E7
7.92982	7.22834E7	7.09432	1.11546E8	7.16833	9.3928E7	7.68989	9.75167E7
7.92982	7.52112E7	7.48551	1.11784E8	7.34807	9.50967E7	7.74278	9.86877E7
8.10981	7.8379E7	7.61238	1.11784E8	7.61238	9.62654E7	7.72163	9.98118E7
8.39566	8.12108E7	7.45379	1.11879E8	7.55952	9.70878E7	8.06011	1.01404E8
8.21568	8.35147E7	7.73926	1.12211E8	7.61238	9.79534E7	8.10242	1.02809E8
8.62858	8.58665E7	7.84499	1.12116E8	7.95071	9.89923E7	8.10242	1.03699E8
8.64975	8.82184E7	7.79212	1.11879E8	7.79212	1.00074E8	8.28224	1.04496E8
8.52271	9.04262E7	7.97186	1.12116E8	8.18331	1.0068E8	8.4409	1.05667E8
9.14735	9.26821E7	8.07759	1.12686E8	8.07759	1.01416E8	8.41975	1.06884E8
9.04148	9.4458E7	8.02472	1.13066E8	8.13045	1.02195E8	8.54668	1.07727E8
9.02031	9.59459E7	8.2256	1.13398E8	8.36305	1.02931E8	8.74765	1.08149E8
9.43321	9.77218E7	8.54279	1.13398E8	8.31019	1.03667E8	8.83227	1.08617E8
9.45438	9.94497E7	8.3842	1.13636E8	8.41592	1.04273E8	8.83227	1.09414E8
9.25322	1.0113E8	8.69081	1.13873E8	8.79653	1.05139E8	9.03325	1.09882E8
9.76141	1.02521E8	8.87054	1.13968E8	8.59565	1.05961E8	9.19191	1.09648E8
9.79317	1.03817E8	8.77539	1.13968E8	8.88112	1.0674E8	9.26595	1.0932E8
9.61319	1.04633E8	8.97627	1.14111E8	9.11372	1.0713E8	9.2448	1.09179E8
10.20607	1.05545E8	8.95513	1.14443E8	9.02914	1.07346E8	9.62559	1.09741E8
10.07903	1.06265E8	8.8494	1.14443E8	9.24059	1.07563E8	9.7631	1.1021E8
10.1849	1.06745E8	9.13486	1.14443E8	9.13486	1.07779E8	9.65732	1.1035E8
10.67191	1.07225E8	9.18773	1.14206E8	9.29345	1.07996E8	10.12274	1.10444E8
10.25901	1.07657E8	9.13486	1.13873E8	9.5472	1.07779E8	10.01696	1.10772E8
10.85189	1.08377E8	9.36746	1.13493E8	9.47319	1.07563E8	10.06985	1.10912E8
11.03188	1.08953E8	9.49433	1.13161E8	9.72694	1.07779E8	10.35544	1.10444E8
10.85189	1.09529E8	9.3146	1.12686E8	9.83266	1.08299E8	10.30255	1.10116E8
11.13775	1.10153E8	9.85381	1.12591E8	9.62121	1.08515E8	10.32371	1.09882E8
11.29656	1.10825E8	9.72694	1.12354E8	9.93839	1.08515E8	10.84201	1.09976E8
11.15892	1.11305E8	9.80095	1.12211E8	10.06526	1.08515E8	10.73624	1.10116E8
11.39184	1.11545E8	10.06527	1.12021E8	9.93839	1.08212E8	10.78912	1.10116E8
11.4236	1.11785E8	9.95954	1.11641E8	10.29787	1.07996E8	11.14876	1.09976E8
11.24362	1.12121E8	10.03355	1.11166E8	10.58333	1.07693E8	10.91605	1.10116E8
11.4236	1.12457E8	10.21328	1.10597E8	10.35073	1.07346E8	11.14876	1.1021E8
11.39184	1.12841E8	9.98068	1.10027E8	10.58333	1.0713E8	11.20165	1.10116E8
11.49771	1.13081E8	10.42474	1.09457E8	10.73135	1.0713E8	11.10645	1.09976E8
11.60359	1.13081E8	10.7102	1.08887E8	10.58333	1.0713E8	11.33916	1.09882E8
11.55065	1.13417E8	10.35073	1.08507E8	10.78421	1.0713E8	11.57186	1.09741E8
11.75181	1.13657E8	10.7102	1.08175E8	10.91109	1.0713E8	11.30742	1.09554E8
11.75181	1.13897E8	10.73135	1.0808E8	10.81593	1.0713E8	11.69879	1.09414E8
11.88944	1.13993E8	10.62562	1.0808E8	11.12254	1.0713E8	11.66706	1.09179E8
11.98473	1.14233E8	10.53047	1.08175E8	11.12254	1.0713E8	11.59302	1.09179E8
11.91062	1.14377E8	10.78421	1.0808E8	11.01681	1.0713E8	11.84688	1.08945E8
12.12236	1.14377E8	10.88994	1.07937E8	11.35514	1.07043E8	11.71995	1.08617E8
12.42939	1.14377E8	10.76307	1.077E8	11.35514	1.07043E8	11.84688	1.08055E8
12.27058	1.14137E8	11.01681	1.07367E8	11.46087	1.06913E8	12.05843	1.07353E8
12.48232	1.13897E8	11.14369	1.0713E8	11.71461	1.07043E8	12.0267	1.06791E8
12.60937	1.13513E8	11.09082	1.07035E8	11.55602	1.06913E8	12.07959	1.06463E8
12.55644	1.12937E8	11.66175	1.06893E8	11.60889	1.0674E8	12.36518	1.06322E8
12.66231	1.12457E8	11.42915	1.06655E8	11.76748	1.06394E8	12.2594	1.06322E8
12.89523	1.12265E8	11.35514	1.06418E8	11.71461	1.05961E8	12.39691	1.06322E8
12.82112	1.11881E8	11.6829	1.0618E8	11.78862	1.05572E8	12.70366	1.06088E8
12.73642	1.11641E8	11.55602	1.06085E8	11.94722	1.05139E8	12.52384	1.05667E8
13.05403	1.11641E8	11.60889	1.05848E8	11.89435	1.05009E8	12.62962	1.05198E8
13.02227	1.11545E8	11.84149	1.0561E8	11.84149	1.04836E8	12.93637	1.04964E8
13.23402	1.11449E8	11.64061	1.05516E8	12.15867	1.04706E8	12.68251	1.04496E8
13.30813	1.11209E8	11.73576	1.05183E8	12.05294	1.04619E8	13.04215	1.04168E8
13.25519	1.10825E8	11.78862	1.04803E8	12.15867	1.04273E8	13.22196	1.0384E8
13.48811	1.10489E8	11.94722	1.04566E8	12.17982	1.03754E8	12.93637	1.03465E8
