A	B	C
0	15	0.62211
10	15	0.874
20	15	0.858
30	15	0.83
40	15	0.72
50	15	0.793
60	15	0.785
70	15	0.847
0	15.01	0.603
10	15.01	0.814
20	15.01	0.813
30	15.01	0.809
40	15.01	0.718
50	15.01	0.74
60	15.01	0.785
70	15.01	0.822
0	15.02	0.591
10	15.02	0.848
20	15.02	0.821
30	15.02	0.755
40	15.02	0.744
50	15.02	0.749
60	15.02	0.742
70	15.02	0.871
0	15.03	0.563
10	15.03	0.797
20	15.03	0.786
30	15.03	0.769
40	15.03	0.753
50	15.03	0.769
60	15.03	0.868
70	15.03	0.841
0	15.04	0.594
10	15.04	0.788
20	15.04	0.796
30	15.04	0.77
40	15.04	0.717
50	15.04	0.742
60	15.04	0.792
70	15.04	0.864
0	15.05	0.579
10	15.05	0.734
20	15.05	0.805
30	15.05	0.774
40	15.05	0.742
50	15.05	0.764
60	15.05	0.81
70	15.05	0.83
0	15.06	0.544
10	15.06	0.801
20	15.06	0.774
30	15.06	0.75
40	15.06	0.746
50	15.06	0.774
60	15.06	0.82
70	15.06	0.835
0	15.07	0.535
10	15.07	0.783
20	15.07	0.743
30	15.07	0.783
40	15.07	0.798
50	15.07	0.802
60	15.07	0.878
70	15.07	0.778
0	15.08	0.561
10	15.08	0.711
20	15.08	0.783
30	15.08	0.718
40	15.08	0.716
50	15.08	0.793
60	15.08	0.792
70	15.08	0.857
0	15.09	0.55
10	15.09	0.712
20	15.09	0.784
30	15.09	0.664
40	15.09	0.716
50	15.09	0.758
60	15.09	0.848
70	15.09	0.836
0	15.1	0.516
10	15.1	0.717
20	15.1	0.76
30	15.1	0.678
40	15.1	0.686
50	15.1	0.739
60	15.1	0.788
70	15.1	0.873
0	15.11	0.543
10	15.11	0.707
20	15.11	0.773
30	15.11	0.731
40	15.11	0.693
50	15.11	0.781
60	15.11	0.865
70	15.11	0.846
0	15.12	0.592
10	15.12	0.759
20	15.12	0.691
30	15.12	0.68
40	15.12	0.71
50	15.12	0.754
60	15.12	0.785
70	15.12	0.86
0	15.13	0.542
10	15.13	0.702
20	15.13	0.71
30	15.13	0.696
40	15.13	0.714
50	15.13	0.766
60	15.13	0.826
70	15.13	0.854
0	15.14	0.551
10	15.14	0.698
20	15.14	0.733
30	15.14	0.711
40	15.14	0.728
50	15.14	0.775
60	15.14	0.875
70	15.14	0.876
0	15.15	0.54
10	15.15	0.754
20	15.15	0.746
30	15.15	0.717
40	15.15	0.76
50	15.15	0.775
60	15.15	0.797
70	15.15	0.861
0	15.16	0.555
10	15.16	0.75
20	15.16	0.736
30	15.16	0.766
40	15.16	0.839
50	15.16	0.757
60	15.16	0.891
70	15.16	0.874
0	15.17	0.542
10	15.17	0.756
20	15.17	0.733
30	15.17	0.707
40	15.17	0.824
50	15.17	0.774
60	15.17	0.826
70	15.17	0.886
0	15.18	0.541
10	15.18	0.767
20	15.18	0.753
30	15.18	0.755
40	15.18	0.846
50	15.18	0.797
60	15.18	0.88
70	15.18	0.859
0	15.19	0.617
10	15.19	0.773
20	15.19	0.775
30	15.19	0.725
40	15.19	0.864
50	15.19	0.835
60	15.19	0.833
70	15.19	0.911
0	15.2	0.592
10	15.2	0.773
20	15.2	0.837
30	15.2	0.812
40	15.2	0.845
50	15.2	0.815
60	15.2	0.832
70	15.2	0.92
0	15.21	0.604
10	15.21	0.83
20	15.21	0.823
30	15.21	0.788
40	15.21	0.876
50	15.21	0.791
60	15.21	0.848
70	15.21	0.89
0	15.22	0.6
10	15.22	0.858
20	15.22	0.816
30	15.22	0.772
40	15.22	0.849
50	15.22	0.784
60	15.22	0.911
70	15.22	0.901
0	15.23	0.692
10	15.23	0.91
20	15.23	0.869
30	15.23	0.755
40	15.23	0.859
50	15.23	0.76
60	15.23	0.793
70	15.23	0.875
0	15.24	0.68
10	15.24	0.91
20	15.24	0.85
30	15.24	0.806
40	15.24	0.866
50	15.24	0.765
60	15.24	0.867
70	15.24	0.881
0	15.25	0.681
10	15.25	0.847
20	15.25	0.853
30	15.25	0.792
40	15.25	0.817
50	15.25	0.782
60	15.25	0.843
70	15.25	0.872
0	15.26	0.7
10	15.26	0.866
20	15.26	0.912
30	15.26	0.794
40	15.26	0.805
50	15.26	0.815
60	15.26	0.852
70	15.26	0.872
0	15.27	0.697
10	15.27	0.882
20	15.27	0.84
30	15.27	0.859
40	15.27	0.83
50	15.27	0.762
60	15.27	0.831
70	15.27	0.857
0	15.28	0.658
10	15.28	0.96
20	15.28	0.908
30	15.28	0.884
40	15.28	0.811
50	15.28	0.813
60	15.28	0.802
70	15.28	0.892
0	15.29	0.747
10	15.29	0.952
20	15.29	0.869
30	15.29	0.814
40	15.29	0.868
50	15.29	0.811
60	15.29	0.831
70	15.29	0.863
0	15.3	0.668
10	15.3	0.901
20	15.3	0.885
30	15.3	0.805
40	15.3	0.787
50	15.3	0.731
60	15.3	0.781
70	15.3	0.894
0	15.31	0.672
10	15.31	0.908
20	15.31	0.826
30	15.31	0.863
40	15.31	0.804
50	15.31	0.77
60	15.31	0.822
70	15.31	0.851
0	15.32	0.649
10	15.32	0.931
20	15.32	0.853
30	15.32	0.801
40	15.32	0.797
50	15.32	0.763
60	15.32	0.827
70	15.32	0.826
0	15.33	0.619
10	15.33	0.939
20	15.33	0.856
30	15.33	0.803
40	15.33	0.801
50	15.33	0.806
60	15.33	0.787
70	15.33	0.864
0	15.34	0.63
10	15.34	0.92
20	15.34	0.86
30	15.34	0.836
40	15.34	0.809
50	15.34	0.819
60	15.34	0.764
70	15.34	0.908
0	15.35	0.609
10	15.35	0.864
20	15.35	0.8
30	15.35	0.788
40	15.35	0.743
50	15.35	0.765
60	15.35	0.801
70	15.35	0.902
0	15.36	0.644
10	15.36	0.893
20	15.36	0.741
30	15.36	0.774
40	15.36	0.794
50	15.36	0.796
60	15.36	0.803
70	15.36	0.844
0	15.37	0.605
10	15.37	0.884
20	15.37	0.837
30	15.37	0.779
40	15.37	0.77
50	15.37	0.814
60	15.37	0.827
70	15.37	0.89
0	15.38	0.605
10	15.38	0.84
20	15.38	0.781
30	15.38	0.771
40	15.38	0.747
50	15.38	0.753
60	15.38	0.743
70	15.38	0.883
0	15.39	0.599
10	15.39	0.793
