Age Group	Population	Population	Population	Population
	million	million	million	million
	male-2010	female-2010	male-2050	female-2050
0-4	15.4267	15.0117039	9.27	9.026789
5-9	13.4204	13.08944408	9.238	9.021289616
10-14	11.92	11.64615587	9.15	8.953797175
15-19	10.736	10.52617348	8.93	8.767218072
20-24	9.646	9.535397546	8.61	8.502347737
25-29	8.6265	8.219963845	8.266	8.191882509
30-34	6.82	6.760838664	7.877	7.798626554
35-39	5.45	5.419331912	7.345	7.253887565
40-44	4.388	4.457139767	6.598	6.504071544
45-49	3.62	3.77074256	5.69	5.625469947
50-54	2.98	3.17473193	4.852	4.849856816
55-59	2.386	2.585094713	4.15	4.219427424
60-64	1.835	2.028097092	3.49	3.629793463
65-69	1.316	1.512236952	2.68	2.887176636
70-74	0.901	1.09101233	1.86	2.098065017
75-79	0.535	0.678285591	1.12	1.372646264
80-84	0.246	0.341074132	0.56	0.791711328
85+	0.09	0.152575631	0.27	0.505943334
