DAY	OCT	NOV	DEC	JANUARY	FEBRUARY	MARCH	APR	MAY	JUN	JUL	AUG	SEP
1	576	1220	1160	1440	1320	799	1990	1190	487	132	75	119
2	482	1170	1560	1380	1250	811	2110	1320	479	135	75	113
3	471	1080	--	1340	1170	821	2220	1260	459	149	75	111
4	443	920	--	1380	1130	779	2560	1370	437	230	75	99
5	387	870	--	1330	1700	791	3110	1210	376	192	93	97
6	376	818	1880	1300	2310	966	3090	1110	357	168	123	95
7	369	826	1940	1230	1820	1050	2900	1080	375	138	113	93
8	481	743	2400	1100	1530	946	2600	964	356	141	91	84
9	1340	932	2270	999	1330	873	2230	909	310	150	99	81
10	1500	1100	1920	1030	1180	905	1930	904	329	192	152	81
11	1150	1160	1720	1110	1080	917	1760	880	290	170	102	97
12	898	892	1750	1000	995	875	1600	817	268	148	90	181
13	760	800	2000	935	944	803	2070	789	262	130	115	147
14	687	759	2210	885	934	809	2160	778	278	117	195	114
15	700	695	2490	845	1120	1620	1820	709	255	103	132	129
16	665	665	2480	1100	1150	1780	1620	817	196	121	109	142
17	654	647	2980	1720	1020	1400	1570	720	216	111	122	114
18	607	666	4230	1300	953	1170	2050	667	196	106	135	106
19	602	653	4150	1070	1020	1030	3450	826	350	101	116	96
20	3600	488	4400	912	1070	970	3600	1600	319	93	101	94
21	5940	669	3400	814	1060	948	2740	1390	268	87	173	97
22	3670	599	2750	832	1030	1080	2180	1130	268	116	299	80
23	2720	539	2410	988	1030	1100	1840	932	238	118	198	77
24	2390	525	2200	996	956	1010	1630	770	220	98	160	78
25	2090	516	2520	1980	852	944	1510	806	222	106	144	86
26	1770	1370	2380	2410	843	1170	1380	836	219	102	132	91
27	1490	2510	2060	1730	817	1470	1260	742	201	103	121	87
28	1400	1900	1910	2000	816	1280	1330	669	195	93	113	85
29	1450	1470	1770	2380		1130	1510	574	161	89	129	107
30	1370	1260	1680	1790		1220	1370	556	99	81	124	99
31	1310		1580	1450		1440		490		76	119	
