Zr	Zi	Freq
Real	Imaginary 	Frequency 
1.4999	-0.04844	31622.78
1.5073	0.02149	25118.86
1.5155	0.09132	19952.62
1.5243	0.16359	15848.93
1.5327	0.24221	12589.25
1.5429	0.32996	10000
1.5551	0.43349	7943.282
1.5705	0.55728	6309.573
1.5908	0.70814	5011.872
1.6199	0.89427	3981.072
1.6596	1.122	3162.278
1.7204	1.3985	2511.886
1.8035	1.7341	1995.262
1.9307	2.1544	1584.893
2.1115	2.6607	1258.925
2.3825	3.2605	1000
2.7708	3.9719	794.3282
3.3329	4.756	630.9573
4.1115	5.6063	501.1872
5.1557	6.4524	398.1072
6.4838	7.1971	316.2278
8.0787	7.7129	251.1886
9.8158	7.8974	199.5262
11.573	7.712	158.4893
13.181	7.1971	125.8925
14.523	6.4502	100
15.601	5.5845	79.43282
16.445	4.517	63.09573
16.898	3.8638	50.11872
17.262	3.0803	39.81072
17.503	2.3967	31.62278
17.642	1.8527	25.11886
17.738	1.3753	19.95262
17.744	0.96952	15.84893
17.713	0.65171	12.58925
17.666	0.35073	10
17.621	0.12493	7.94328
17.569	-0.09348	6.30957
17.445	-0.25299	5.01187
17.31	-0.39631	3.98107
17.207	-0.51942	3.16228
17.085	-0.64707	2.51189
16.938	-0.74826	1.99526
16.749	-0.78128	1.58489
16.588	-0.87485	1.25893
16.401	-0.94338	1
16.261	-1.024	0.79433
15.983	-1.0432	0.63096
15.775	-1.0745	0.50119
15.625	-1.0886	0.39811
15.29	-1.058	0.31623
15.137	-0.84108	0.25119
15.031	-0.7333	0.19953
14.955	-0.76254	0.15849
14.667	-0.81219	0.12589
14.571	-0.8791	0.1
14.385	-0.98116	0.07943
14.189	-1.0872	0.0631
14.009	-1.1975	0.05012
13.726	-1.3143	0.03981
13.424	-1.4319	0.03162
13.048	-1.5738	0.02512
12.596	-1.722	0.01995
12.102	-1.7786	0.01585
11.567	-1.8009	0.01259
11.033	-1.8152	0.01
