Bin Center	Counts	Counts	Counts
	Group 1	Group 2	Group 3
2	3	0	0
4	5	0	0
8	14	0	0
10	21	0	1
12	30	0	1
14	43	0	1
16	58	0	2
18	75	0	3
20	93	0	4
22	111	0	5
24	128	2	7
26	142	6	9
28	150	16	12
30	153	38	16
32	152	78	20
34	149	137	25
36	143	204	31
38	135	260	38
40	126	282	46
42	116	278	55
44	105	266	65
46	93	249	76
48	81	225	87
50	70	199	99
52	60	171	112
54	50	143	124
56	41	116	136
58	33	91	147
60	26	70	158
62	21	52	167
64	16	38	174
66	12	27	180
68	9	19	183
70	7	12	184
72	5	8	178
74	3	5	162
76	2	3	139
78	2	2	112
80	1	1	84
82	1	1	60
84	1	0	40
86	0	0	25
88	0	0	15
90	0	0	8
92	0	0	4
94	0	0	2
96	0	0	1
98	0	0	0
