	Weight
	Kg
1	70.0966155560986
2	75.1880764246636
3	57.1358917841627
4	50.3170295619783
5	58.2814383855183
6	86.5495755583786
7	48.5445859751947
8	59.2684288786803
9	73.9309404820209
10	42.7840761617723
11	72.9403358567727
12	50.4912110936404
13	56.9873852920638
14	55.9190715918805
15	42.4248940327113
16	60.9494262374366
17	63.5240346115657
18	57.7542367105599
19	60.7528439291782
20	58.1610637260161
21	47.713712631725
22	63.7092408145098
23	68.2494320864735
24	56.1695315734853
25	65.5881045272494
26	51.3515300619971
27	47.7210621269156
28	48.5862696503469
29	61.7895661242281
30	50.0181738218121
31	55.7649578593216
32	70.6233639309567
33	60.4010452502873
34	72.9255120276424
35	50.9029910149573
36	75.1249489162413
37	56.1745428192096
38	69.901072747324
39	58.0799715898565
40	60.1934183539756
41	61.7867186714123
42	66.9036586195476
43	100.830998896694
44	53.6301138548224
45	57.507420873432
46	43.6992977315994
47	70.3721297749634
48	52.1947361268683
49	63.3874551838015
50	55.3689549819401
51	59.0401770846618
52	55.9282945428287
53	71.495672301705
54	49.3576776572794
55	102.985543807552
56	52.1040860285999
57	50.9757899702877
58	73.1976940077084
59	64.1833978699083
60	82.1697298855331
61	52.83937454837
62	69.6559000853699
63	63.7684006865438
64	76.1619256904296
65	59.132971234039
66	58.853127879291
67	68.7040637912608
68	70.9673929082468
69	63.6927135554077
70	35.2433172430714
71	79.4950232192074
72	58.7267936130828
73	72.524552998764
74	49.313768315113
75	58.9521531240618
76	64.6753582702527
77	55.4849793467844
78	46.3808908699522
79	59.5489882896506
80	48.6402212546247
81	46.8910167936296
82	68.6285235535188
83	80.1949118979311
84	52.9105999494429
85	43.4905085039869
86	52.4463372735116
87	78.3328979267507
88	62.3934684520234
89	45.1886678401741
90	61.1413825826636
91	54.9136269261402
92	53.9740357226646
93	55.1475698254339
94	54.7377640637308
95	67.9524980315404
96	70.3057949592822
97	57.2109539370493
98	44.3697842818934
99	66.4599522334763
100	60.9842014284841
