Year	Lead	Arsenic	Cadmium	Mercury	DDT	PCBs
1980	0.456	0.448	0.085	0.115	1.256	1.874
1981	0.455	0.436	0.083	0.116	1.157	1.852
1982	0.439	0.432	0.08	0.117	1.045	1.952
1983	0.427	0.355	0.076	0.117	1.002	1.421
1984	0.381	0.321	0.075	0.117	0.952	1.357
1985	0.38	0.315	0.064	0.118	0.961	1.1
1986	0.355	0.287	0.062	0.118	0.921	1.047
1987	0.346	0.285	0.055	0.119	0.874	0.982
1988	0.31	0.256	0.055	0.118	0.799	1.054
1989	0.269	0.22	0.054	0.118	0.752	0.964
1990	0.243	0.186	0.054	0.116	0.621	0.832
1991	0.21	0.179	0.053	0.114	0.632	0.924
1992	0.186	0.173	0.053	0.114	0.542	0.814
1993	0.175	0.164	0.053	0.113	0.498	0.765
1994	0.169	0.162	0.052	0.113	0.475	0.668
1995	0.162	0.16	0.052	0.112	0.478	0.669
1996	0.16	0.161	0.051	0.111	0.426	0.745
1997	0.158	0.16	0.051	0.111	0.481	0.679
