A	B	C	E	D
H	4piM	B	BH	B||
14.56	11.02	25.58	-372.28	25.58
14.48	11.02	25.5	-369.39	25.5
14.39	11.02	25.41	-365.58	25.41
14.27	11.02	25.29	-360.96	25.29
14.14	11.02	25.16	-355.65	25.16
13.98	11.02	25	-349.65	25
13.82	11.02	24.84	-343.44	24.84
13.64	11.02	24.66	-336.41	24.66
13.45	11.01	24.47	-329.15	24.47
13.27	11.01	24.28	-322.21	24.28
13.07	11.01	24.08	-314.57	24.08
12.87	11	23.88	-307.34	23.88
12.68	11	23.68	-300.36	23.68
12.49	11	23.49	-293.46	23.49
12.29	11	23.29	-286.31	23.29
12.09	11	23.09	-279.25	23.09
11.91	10.99	22.9	-272.82	22.9
11.72	10.99	22.71	-266.12	22.71
11.53	10.99	22.52	-259.67	22.52
11.34	10.98	22.32	-253.05	22.32
11.16	10.97	22.13	-246.9	22.13
10.97	10.97	21.94	-240.74	21.94
10.78	10.97	21.75	-234.58	21.75
10.6	10.97	21.57	-228.73	21.57
10.43	10.96	21.39	-223.07	21.39
10.22	10.96	21.18	-216.54	21.18
10.03	10.95	20.99	-210.62	20.99
9.85	10.95	20.8	-204.81	20.8
9.66	10.95	20.61	-199.08	20.61
9.47	10.94	20.41	-193.4	20.41
9.29	10.94	20.23	-187.89	20.23
9.1	10.93	20.03	-182.36	20.03
8.93	10.93	19.86	-177.39	19.86
8.76	10.93	19.69	-172.44	19.69
8.57	10.92	19.49	-167.1	19.49
8.39	10.92	19.31	-161.92	19.31
8.21	10.92	19.14	-157.2	19.14
8.04	10.91	18.95	-152.26	18.95
7.87	10.91	18.78	-147.72	18.78
7.69	10.91	18.6	-143.06	18.6
7.51	10.9	18.41	-138.32	18.41
7.35	10.89	18.24	-133.97	18.24
7.16	10.89	18.04	-129.15	18.04
6.96	10.88	17.84	-124.21	17.84
6.8	10.88	17.67	-120.12	17.67
6.63	10.87	17.5	-116.04	17.5
6.45	10.87	17.33	-111.84	17.33
6.27	10.86	17.13	-107.42	17.13
6.07	10.86	16.93	-102.75	16.93
