Transition	Deposition	Differential	Annealing	Error
90.66407	0.01383	--	--	--
90.72645	0.02863	--	--	--
90.53931	0.05142	--	--	--
90.76283	0.09162	--	--	--
90.60169	0.00552	--	--	--
90.60169	0.18093	--	--	--
90.66407	0.30742	--	--	--
89.86181	--	3.89812	780.38832	2
89.16699	--	2.91689	772.65416	2.5
88.37167	--	2.78284	767.61394	1.5
87.60754	--	2.5	770.90259	2
86.78103	--	2.05898	771.97498	2.5
85.82391	--	1.23861	776.58624	2.5
84.90448	--	1.04021	781.41197	1.5
83.88169	--	0.84718	783.9901	2.2
90.4	6			
90.23	10			
90.53931	20			
90.55	30			
90.3	40			
90.60169	50			
90.33	70			
