Sample ID	Ca	Mg	Na+K	Cl	SO\-(4)	CO\-(3)+HCO\-(3)	Total Dissolved Solids (TDS)	Sampling Location
							Parts Per Million	
A1	32.0500841442632	32.9240759335087	35.0258399222281	67.8260767116028	20.5548869159358	11.6190363724614	705.4	Bantam Lake (1)
A2	37.4506726262966	28.9668288905926	33.5824984831108	13.5011087209821	10.9925339220319	75.506357356986	781.3	Bantam Lake(2)
B	21.5881209638285	24.5587742854327	53.8531047507387	7.52702951255631	8.33332905122178	84.1396414362219	418.8	Bevin Pond
C1	25.4393292228616	54.5554622908031	20.0052084863353	15.7278848496504	12.2120820498012	72.0600331005485	456.4	Candlewood Lake (1)
C2	38.1590847414818	8.31395265147544	53.5269626070427	40.1434309202991	30.530571455353	29.325997624348	1296.1	Candlewood Lake (2)
C3	11.9368584568083	34.2489192364583	53.8142223067334	81.2572811958324	3.54191268576121	15.2008061184064	945	Candlewood Lake (3)
C4	48.8306805143938	26.3751690948513	24.7941503907548	58.4922745996534	3.81888236953963	37.688843030807	709.8	Candlewood Lake (4)
D1	16.5060969446126	15.9770590263258	67.5168440290616	54.8641562125546	10.0882303242786	35.0476134631667	849.7	Lake Forest (1)
D2	17.7554499659799	21.5369215395066	60.7076284945135	62.8247322389857	0.164140535901938	37.0111272251124	587.2	Lake Forest (2)
D3	22.9020431582949	57.3987497058823	19.6992071358228	14.9512851142108	1.45991634185819	83.588798543931	648.8	Lake Forest (3)
E1	77.5320320981757	13.4139853513549	9.05398255046941	10.1966604085653	11.8265004798193	77.9768391116154	347.9	Pinewood Lake (1)
E2	81.8097661381893	7.28679745832214	10.9034364034886	6.17638678116732	21.0400145478673	72.7835986709653	557	Pinewood Lake (2)
E3	29.7635174912378	14.8982883928737	55.3381941158885	16.151867876595	45.9533404189345	37.8947917044706	671	Pinewood Lake (3)
E4	16.7895985207749	48.5053826016847	34.7050188775404	7.52707502037425	68.590123032558	23.8828019470678	774.4	Pinewood Lake (4)
E5	64.461087624504	21.154237210865	14.384675164631	5.20612200106197	54.3932379694547	40.4006400294833	933.2	Pinewood Lake (5)
F	11.9717531540716	52.5863230239409	35.4419238219874	7.42697568329482	6.34456589565938	86.2284584210458	565.9	Squantz Pond
