Angle	Efficiency	Error
(deg.)		
0	0.9	0.86528
4	1.06148	0.39649
8	1.15511	0.44901
11	1.22058	0.77041
15	1.32526	0.43139
19	1.37313	0.11343
23	1.34012	0.12061
26	1.24385	0.0038749
30	1.13628	0.21913
34	1.05609	0.66058
38	1.04073	0.31848
41	1.14213	0.0059461
45	1.30542	0.80696
49	1.54472	0.48388
53	1.86936	0.74349
56	2.28058	0.022256
60	2.74588	0.59422
64	3.25245	0.37465
68	3.68277	0.38224
71	3.94869	0.12831
75	4.00992	0.012723
79	3.88876	0.86464
83	3.64923	0.42911
86	3.44357	0.48951
90	3.38001	0.96697
94	3.48566	0.62581
98	3.62715	0.65671
101	3.79914	0.032531
105	3.8625	0.7749
109	3.73672	0.99037
113	3.38358	0.1638
116	2.96335	0.44968
120	2.50671	0.87167
124	2.23058	0.66712
128	2.13318	0.8677
131	2.16917	0.24795
135	2.30433	0.26741
139	2.53209	0.33618
143	2.55094	0.51313
146	2.43562	0.34292
150	2.30887	0.35445
154	2.17258	0.15694
158	1.91013	0.51422
161	1.73113	0.87666
165	1.58991	0.3459
169	1.44194	0.71896
173	1.24881	0.43328
176	1.13163	0.76378
180	1.03861	0.42619
184	1.01237	0.88064
188	1.08655	0.9931
191	1.25809	0.55338
195	1.47481	0.21309
199	1.69952	0.74246
203	1.87183	0.33791
206	1.90228	0.085778
210	1.82894	0.52487
214	1.67488	0.43694
218	1.50332	0.6661
221	1.35623	0.11727
225	1.27752	0.40405
229	1.25513	0.037032
233	1.28685	0.82496
236	1.38125	0.3849
240	1.48594	0.29909
244	1.62051	0.2865
248	1.76225	0.23733
251	1.92072	0.27017
255	1.98398	0.59356
259	1.993	0.79517
263	1.91143	0.46044
266	1.79143	0.62249
270	1.61454	0.63896
274	1.44507	0.85607
278	1.2896	0.48609
281	1.1811	0.75937
285	1.1104	0.90884
289	1.08435	0.44613
293	1.12721	0.98352
296	1.2647	0.26523
300	1.43962	0.97923
304	1.57803	0.20117
308	1.64478	0.61415
311	1.63779	0.83904
315	1.48042	0.6775
319	1.28812	0.45669
323	1.11846	0.83471
326	1.01447	0.46597
330	0.9765	0.46342
334	1.02115	0.127
338	1.05634	0.18748
341	1.1117	0.82362
345	1.1129	0.4896
349	1.05781	0.18586
353	0.99499	0.32191
356	0.97171	0.34567
360	0.9	0.6377
