Time	SVep	SVpr
0	72.606	0
0.01	72.355	0
0.02	71.917	-0.08764
0.03	71.855	0.03528
0.04	71.855	-0.15764
0.05	72.293	-0.07
0.06	72.293	0.01764
0.07	72.105	0.01764
0.08	72.042	-0.07
0.09	71.855	-0.14
0.1	71.667	-0.07
0.11	71.417	-0.14
0.12	71.229	-0.17528
0.13	70.978	-0.14
0.14	70.728	-0.26264
0.15	70.665	-0.14
0.16	70.415	-0.24528
0.17	70.165	-0.28028
0.18	69.914	-0.26264
0.19	69.789	-0.38556
0.2	69.727	-0.38556
0.21	69.414	-0.31528
0.22	69.163	-0.47292
0.23	69.163	-0.38556
0.24	68.975	-0.47292
0.25	68.913	-0.47292
0.26	68.788	-0.49056
0.27	68.662	-0.5432
0.28	68.662	-0.6132
0.29	68.537	-0.66584
0.3	68.537	-0.56056
0.31	68.412	-0.6132
0.32	68.412	-0.6132
0.33	68.412	-0.6132
0.34	68.35	-0.73584
0.35	68.6	-0.56056
0.36	68.6	-0.70084
0.37	68.662	-0.6832
0.38	68.788	-0.6482
0.39	68.913	-0.6482
0.4	69.101	-0.59584
0.41	69.288	-0.5782
0.42	69.476	-0.5782
0.43	69.727	-0.59584
0.44	70.102	-0.49056
0.45	70.415	-0.47292
0.46	70.791	-0.38556
0.47	71.417	-0.42056
0.48	72.042	-0.35028
0.49	72.418	-0.33292
0.5	73.294	-0.15764
0.51	73.92	-0.21028
0.52	74.859	-0.12264
0.53	75.61	-0.08764
0.54	76.236	-0.035
0.55	77.3	0.12264
0.56	78.051	0.21028
0.57	78.74	0.21028
0.58	79.553	0.31556
0.59	80.179	0.29792
0.6	80.868	0.52584
0.61	81.243	0.63084
0.62	81.807	0.59584
0.63	82.495	0.75348
0.64	82.933	0.78876
0.65	83.372	0.8764
0.66	83.81	0.9814
0.67	84.248	1.0164
0.68	84.686	1.08668
0.69	85.124	1.20932
0.7	85.437	1.29696
0.71	85.75	1.33196
0.72	86.063	1.4196
0.73	86.251	1.4196
0.74	86.438	1.38432
0.75	86.626	1.62988
0.76	86.814	1.57724
0.77	87.002	1.62988
0.78	87.064	1.61224
0.79	87.19	1.61224
0.8	87.252	1.68224
0.81	87.377	1.73488
0.82	87.377	1.64724
0.83	87.44	1.71752
0.84	87.503	1.5246
0.85	87.503	1.71752
0.86	87.44	1.64724
0.87	87.44	1.5946
0.88	87.377	1.50724
0.89	87.252	1.5246
0.9	87.19	1.43696
0.91	86.877	1.36696
0.92	86.501	1.24432
0.93	85.938	1.31432
0.94	85.061	0.96376
0.95	84.185	1.0514
0.96	82.871	0.9814
0.97	81.556	0.78876
0.98	80.242	0.68348
0.99	78.615	0.5432
1	77.112	0.4382
1.01	75.61	0.33292
