A	B	C
Medium	Fine	Coarse
0	0.1	0.9
0.07	0.07	0.86
0.11	0.06	0.83
0.19	0.06	0.75
0.23271	0.07315	0.69413
0.24	0.08	0.68
0.25	0.09	0.66
0.26	0.09	0.65
0.27	0.1	0.63
0.28	0.11	0.61
0.28	0.12	0.6
0.29	0.13	0.58
0.29	0.14	0.57
0.29	0.15	0.56
0.29	0.16	0.55
0.28	0.18	0.54
0.27	0.2	0.53
0.26	0.21	0.53
0.24	0.23	0.53
0.23	0.24	0.53
0.2	0.27	0.53
0.19	0.28	0.53
0.18	0.29	0.53
0.17	0.3	0.53
0.16	0.31	0.53
0.13	0.33	0.54
0.12	0.34	0.54
0.1	0.35	0.55
0.09	0.36	0.55
0.07	0.37	0.56
0.05	0.38	0.57
0.02	0.4	0.58
0	0.42	0.58
