City	Longitude	Latitude	January	February	March	April	May	June	July	August	September	October	November	December	Annual
EUREKA, CA.	-124.1	40.8	47.9	48.9	49.2	50.7	53.6	56.3	58.1	58.7	57.4	54.5	51	47.9	52.9
ASTORIA, OR	-123.8	46.2	42.4	44.2	46	48.5	52.7	56.7	60.1	60.8	58.5	52.6	46.6	42.8	51
EUGENE, OR	-123.1	44.1	39.8	42.8	46.3	49.8	54.8	60.2	66.2	66.4	61.7	52.6	44.7	39.5	52.1
SALEM, OR	-123	44.9	40.3	43	46.5	50	55.6	61.2	66.8	67	62.2	52.9	45.2	40.2	52.6
OLYMPIA, WA	-122.9	47	38.1	40.5	43.6	47.4	53.3	58.2	62.8	63.3	58.3	49.7	42.4	38	49.7
MEDFORD, OR	-122.9	42.3	39.1	43.5	47.1	51.6	58.1	65.6	72.7	72.5	65.9	55.1	43.9	38.1	54.5
PORTLAND, OR	-122.7	45.5	39.9	43.1	47.2	51.2	57.1	62.7	68.1	68.5	63.6	54.3	45.8	40.2	53.5
REDDING, CA	-122.4	40.6	45.5	49.1	52.5	57.8	66.2	75.2	81.3	78.9	73.4	63.2	51.1	45.3	61.6
SAN FRANCISCO AP, CA	-122.4	37.8	49.4	52.4	54	56.2	58.7	61.4	62.8	63.6	63.9	61	54.7	49.5	57.3
SEATTLE C.O., WA	-122.3	47.6	41.5	43.8	46.9	50.9	56.6	61.1	65.5	66	61.3	53.4	46	41.3	52.9
MOUNT SHASTA, CA	-122.3	41.4	35.3	38.2	41.2	46.3	53.2	60.2	66.1	65.1	59.5	50.5	39.9	34.8	49.2
SACRAMENTO, CA	-121.5	38.6	46.3	51.2	54.5	58.9	65.5	71.5	75.4	74.8	71.7	64.4	53.3	45.8	61.1
STOCKTON, CA	-121.2	37.9	46	51.1	54.9	60	66.7	73.2	77.3	76.5	72.8	64.6	53.1	45.3	61.8
YAKIMA, WA	-120.5	46.6	29.1	35.2	42.5	48.7	56.2	62.9	69.1	68.3	60	48.6	37	28.8	48.9
SANTA MARIA, CA	-120.4	34.9	51.6	53.1	53.8	55.5	57.8	60.9	63.5	64.2	63.9	61.1	55.5	51.6	57.7
RENO, NV	-119.8	39.5	33.6	38.5	43.3	48.6	56.4	64.7	71.3	69.9	62.4	52	40.9	33.6	51.3
FRESNO, CA	-119.8	36.8	46	51.4	55.5	61.2	68.8	76.1	81.4	79.9	74.6	65	52.7	45.2	63.2
SANTA BARBARA, CA	-119.7	34.4	53.1	55.2	56.7	58.9	60.9	64.2	67	68.6	67.4	63.5	57.5	53.2	60.5
BAKERSFIELD, CA	-119	35.4	47.8	53.3	57.3	62.7	70.3	77.7	83.1	81.9	76.7	67.2	54.8	47.2	65
BURNS,OR	-118.9	42.3	24.4	30	37	43	50.9	58.1	65.9	64.2	55	44.4	32.7	24.9	44.2
PENDLETON, OR	-118.8	45.7	33.8	38.7	45.1	51	58.1	65.4	72.6	72	63.4	52.3	41.2	33.9	52.3
BISHOP, CA	-118.7	37.8	38	42.4	47.7	54.1	62.5	71.1	76.8	74.8	67.3	56.6	44.8	38	56.2
WALLA WALLA WASHINGTON	-118.3	46.1	34.7	39.7	46.5	52.7	59.8	67.3	75.3	75.2	66.1	54.7	43.1	35.1	54.2
LONG BEACH, CA	-118.3	33.8	57	58.3	59.7	63	65.9	69.8	73.8	75.1	73.4	68.6	61.8	57.1	65.3
LOS ANGELES AP, CA	-118.2	34	57.1	58	58.3	60.8	63.1	66.4	69.3	70.7	70.1	66.9	61.6	57.6	63.3
WINNEMUCCA, NV	-117.7	41	30.1	36.1	41.1	46.7	55.2	64.3	72	69.9	60.3	48.8	37.4	29.6	49.3
SPOKANE, WA	-117.4	47.7	27.3	32.5	39.5	46.5	54.4	61.6	68.6	68.6	59.2	47.2	34.9	27.2	47.3
SAN DIEGO, CA	-117.2	32.7	57.8	58.9	60	62.6	64.6	67.4	70.9	72.5	71.6	67.6	61.8	57.6	64.4
LEWISTON, ID	-117	46.4	33.7	38.4	44.7	51.1	58.5	65.8	73.5	73.4	63.8	51.6	40.4	33.9	52.4
BOISE, ID	-116.3	43.6	30.2	36.7	43.8	50.6	58.6	67.2	74.7	73.9	64.2	52.8	39.9	30.6	52
ELKO, NV	-115.7	40.8	25.6	31.3	38.6	44.6	52.7	61.7	69.1	67.6	58.2	46.7	34.5	26	46.4
LAS VEGAS, NV	-115.1	36.2	47	52.2	58.3	66	75.4	85.6	91.2	89.3	81.3	68.7	55	47	68.1
ELY, NV	-114.9	39.3	25.2	29.8	35.9	42.2	50.4	59.9	67.4	65.8	56.7	45.4	33.5	25.8	44.8
YUMA, AZ	-114.6	32.7	58.1	62	66.5	72.7	79.9	88.8	94.1	93.5	88.2	77.2	64.8	57.4	75.3
KALISPELL, MT	-114.3	48.2	21.4	26.8	34.9	43.4	51.3	57.7	63.5	63.2	53.1	41.9	30.9	23.1	42.6
MISSOULA, MT	-114	46.9	23.5	29	37.6	45.2	52.7	60.2	66.9	66.3	56.1	44.4	32	23.4	44.8
MILFORD, UT	-113	38.4	28.1	33.7	41.6	48.3	56.6	66.7	74.2	72.6	63.1	50.6	37.6	28.6	50.1
POCATELLO, ID	-112.4	42.9	24.4	30	37.9	45.6	53.5	62	69.2	68.4	58.8	47.7	34.7	25.3	46.5
PHOENIX, AZ	-112.1	33.4	54.2	58.2	62.7	70.2	79.1	88.6	92.8	91.4	86	74.6	61.6	54.3	72.9
HELENA, MT	-112	46.6	20.2	26.4	35.1	44.1	52.9	61.2	67.8	66.7	56.1	44.8	30.9	21.4	44
SALT LAKE CITY, UT	-111.9	40.8	29.2	34.5	43.1	50	58.8	69	77	75.6	65	52.5	39.6	30.2	52
FLAGSTAFF, AZ	-111.7	35.2	29.7	32.2	36.6	42.9	50.8	60.1	66.1	64.4	57.8	47.1	36.5	30.2	46.2
GREAT FALLS, MT	-111.3	47.5	21.7	26.4	33.4	42.6	51.5	60	66.2	65.6	55.4	45.5	32.3	24.3	43.8
TUCSON, AZ	-111	32.2	51.7	55	59.2	66	74.5	84.1	86.5	84.9	80.9	70.5	58.7	51.9	68.7
WINSLOW, AZ	-110.3	35.2	34.2	40	46.3	53.4	62.2	72.1	77.5	75.6	68.2	55.9	43.2	34.1	55.2
LANDER, WY	-108.7	42.8	20.3	25.6	35.5	43.9	53.4	63.7	70.9	69.4	58.7	46.4	30.3	21.3	45
BILLINGS, MT	-108.5	45.8	24	29.8	37	46.1	55.7	65.2	72	70.9	59.5	48.1	34.1	26.1	47.4
