Year	All Persons	All Males	All Females	Black Males	White Males	Black Females	White Females
1965	42.3	51.6	34	59.2	50.8	32.1	34.3
1974	37.2	42.9	32.5	54	41.7	35.9	32.3
1979	33.5	37.2	30.3	44.1	36.5	30.8	30.6
1983	32.2	34.7	29.9	41.3	34.1	31.8	30.1
1985	30	32.1	28.2	39.9	31.3	30.7	28.3
1987	28.7	31	26.7	39	30.4	27.2	27.2
1990	25.4	28	23.1	32.2	27.6	20.4	23.9
1991	25.4	27.5	23.6	34.7	27	23.1	24.2
1992	26.4	28.2	24.8	32	28	23.9	25.7
1993	25	27.5	22.7	33.2	27	19.8	23.7
1994	25.5	27.8	23.3	33.5	27.5	21.1	24.3
