<Begin>
Recipe:,"49pt polar10mm-1"
LotID:, 
WaferID:,T86746-1J 01
Slot:,3
Probe:,1.6 mil Tip - Type F
Operator:, 
Shift:, 
Equipment:, 
Process:, 
Comment:, 
Processed:,"December 28, 2005 02:15:32"
Collected:,"December 28, 2005 02:17:13"
Test Pattern:,"Contour Map, 49-Site"
Units:,Å/min
Initial Temperature:,22.81
Final Temperature:,22.91
TCR Name:,<none>
TCR Value:,0.000000
Correlation:,Y=S1/S2 * A + BX' + CX'^2 + DX'^3
S1:,1.000000
S2:,1.000000
A:,246.910004
B:,173.182007
C:,0.000000
D:,0.000000
X':,1/X
Y':,Y
Current used:, 200000.000000
Data Points:, 49
Good Data Points:, 49
Mean:, 9142.678018
Stdv:, 179.992079
Min:, 8540.538168
Max:, 9366.591487
Range:, 826.053320
Site,Processed,Radius,Theta,X,Y,Raw Rs,Status
Site 1:,9125.579998,0.000000,180.000000,0.000000,0.000000,0.019505,Valid Measurement
Site 2:,9208.639925,29.999970,180.000000,0.000000,29.999970,0.019325,Valid Measurement
Site 3:,9207.640988,29.999970,225.000000,-21.213182,21.213182,0.019327,Valid Measurement
Site 4:,9182.210279,29.999970,270.000000,-29.999970,0.000000,0.019382,Valid Measurement
Site 5:,9148.754366,29.999970,315.000000,-21.213182,-21.213182,0.019455,Valid Measurement
Site 6:,9098.140649,29.999970,0.000000,0.000000,-29.999970,0.019566,Valid Measurement
Site 7:,9122.508827,29.999970,45.000000,21.213182,-21.213182,0.019512,Valid Measurement
Site 8:,9205.319127,29.999970,90.000000,29.999970,0.000000,0.019332,Valid Measurement
Site 9:,9204.972990,29.999970,135.000000,21.213182,21.213182,0.019333,Valid Measurement
Site 10:,9217.513978,60.000030,180.000000,0.000000,60.000030,0.019306,Valid Measurement
Site 11:,9241.195354,60.000030,202.500000,-22.961017,55.432800,0.019255,Valid Measurement
Site 12:,9282.579394,60.000030,225.000000,-42.426428,42.426428,0.019166,Valid Measurement
Site 13:,9307.031391,60.000030,247.500000,-55.432800,22.961017,0.019115,Valid Measurement
Site 14:,9294.158801,60.000030,270.000000,-60.000030,0.000000,0.019142,Valid Measurement
Site 15:,9259.446042,60.000030,292.500000,-55.432800,-22.961017,0.019216,Valid Measurement
Site 16:,9179.638060,60.000030,315.000000,-42.426428,-42.426428,0.019387,Valid Measurement
Site 17:,9061.718536,60.000030,337.500000,-22.961017,-55.432800,0.019647,Valid Measurement
Site 18:,9033.904984,60.000030,0.000000,0.000000,-60.000030,0.019709,Valid Measurement
Site 19:,9053.396314,60.000030,22.500000,22.961017,-55.432800,0.019665,Valid Measurement
Site 20:,9112.388624,60.000030,45.000000,42.426428,-42.426428,0.019534,Valid Measurement
Site 21:,9186.972483,60.000030,67.500000,55.432800,-22.961017,0.019371,Valid Measurement
Site 22:,9314.482799,60.000030,90.000000,60.000030,0.000000,0.019099,Valid Measurement
Site 23:,9309.075902,60.000030,112.500000,55.432800,22.961017,0.019110,Valid Measurement
Site 24:,9291.763856,60.000030,135.000000,42.426428,42.426428,0.019147,Valid Measurement
Site 25:,9248.971590,60.000030,157.500000,22.961017,55.432800,0.019238,Valid Measurement
Site 26:,8954.144307,90.000000,180.000000,0.000000,90.000000,0.019889,Valid Measurement
Site 27:,8901.470329,90.000000,195.000000,-23.293714,86.933324,0.020010,Valid Measurement
Site 28:,9215.775319,90.000000,210.000000,-45.000000,77.942286,0.019309,Valid Measurement
Site 29:,9239.974289,90.000000,225.000000,-63.639610,63.639610,0.019257,Valid Measurement
Site 30:,9306.552910,90.000000,240.000000,-77.942286,45.000000,0.019116,Valid Measurement
Site 31:,9366.591487,90.000000,255.000000,-86.933324,23.293714,0.018990,Valid Measurement
Site 32:,9285.846133,90.000000,270.000000,-90.000000,0.000000,0.019160,Valid Measurement
Site 33:,9070.640541,90.000000,285.000000,-86.933324,-23.293714,0.019627,Valid Measurement
Site 34:,9266.414239,90.000000,300.000000,-77.942286,-45.000000,0.019201,Valid Measurement
Site 35:,9245.425309,90.000000,315.000000,-63.639610,-63.639610,0.019246,Valid Measurement
Site 36:,9044.809284,90.000000,330.000000,-45.000000,-77.942286,0.019684,Valid Measurement
Site 37:,8863.687055,90.000000,345.000000,-23.293714,-86.933324,0.020098,Valid Measurement
Site 38:,8632.902717,90.000000,0.000000,0.000000,-90.000000,0.020651,Valid Measurement
Site 39:,8540.538168,90.000000,15.000000,23.293714,-86.933324,0.020881,Valid Measurement
Site 40:,8797.026633,90.000000,30.000000,45.000000,-77.942286,0.020255,Valid Measurement
Site 41:,8852.219143,90.000000,45.000000,63.639610,-63.639610,0.020125,Valid Measurement
Site 42:,8890.821692,90.000000,60.000000,77.942286,-45.000000,0.020035,Valid Measurement
Site 43:,9200.277796,90.000000,75.000000,86.933324,-23.293714,0.019343,Valid Measurement
Site 44:,9346.834867,90.000000,90.000000,90.000000,0.000000,0.019031,Valid Measurement
Site 45:,9320.342839,90.000000,105.000000,86.933324,23.293714,0.019087,Valid Measurement
Site 46:,9182.361975,90.000000,120.000000,77.942286,45.000000,0.019381,Valid Measurement
Site 47:,9234.636448,90.000000,135.000000,63.639610,63.639610,0.019269,Valid Measurement
Site 48:,9246.380904,90.000000,150.000000,45.000000,77.942286,0.019244,Valid Measurement
Site 49:,9087.543248,90.000000,165.000000,23.293714,86.933324,0.019589,Valid Measurement

