DATE	Personal Saving	DATE	Unit Labor Cost	DATE	Output Per Hour of All Persons	DATE	Durable Consumer Goods	Recession period	Recession period
	Billions of Dollars		Index 1992=100		Index 1992=100		Index 2002=100		
1/1/1947	10.3	1/1/1947	21.175	1/1/1947	32.11	1/1/1947	11.8583	11/1/1948	1
4/1/1947	4.3	4/1/1947	21.547	4/1/1947	32.304	2/1/1947	12.222	10/1/1949	1
7/1/1947	8.4	7/1/1947	21.874	7/1/1947	32.069	3/1/1947	12.4888	--	1
10/1/1947	6.5	10/1/1947	22.444	10/1/1947	32.446	4/1/1947	12.5858	7/1/1953	1
1/1/1948	8.4	1/1/1948	22.278	1/1/1948	33.174	5/1/1947	12.4645	5/1/1954	1
4/1/1948	12.8	4/1/1948	22.058	4/1/1948	33.906	6/1/1947	12.5615	--	1
7/1/1948	16.6	7/1/1948	22.781	7/1/1948	33.769	7/1/1947	12.319	8/1/1957	1
10/1/1948	15.6	10/1/1948	23.141	10/1/1948	34.039	8/1/1947	12.1978	4/1/1958	1
1/1/1949	11.3	1/1/1949	22.765	1/1/1949	33.872	9/1/1947	12.61	--	1
4/1/1949	9	4/1/1949	22.345	4/1/1949	34.021	10/1/1947	12.7798	4/1/1960	1
7/1/1949	9.6	7/1/1949	22.041	7/1/1949	35.038	11/1/1947	13.1678	2/1/1961	1
10/1/1949	8.2	10/1/1949	22.281	10/1/1949	35.067	12/1/1947	13.3375	--	1
1/1/1950	19.3	1/1/1950	22.046	1/1/1950	36.678	1/1/1948	13.192	12/1/1969	1
4/1/1950	15.1	4/1/1950	22.027	4/1/1950	37.04	2/1/1948	13.0223	11/1/1970	1
7/1/1950	8.8	7/1/1950	22.028	7/1/1950	37.678	3/1/1948	13.1193	--	1
10/1/1950	17.1	10/1/1950	22.387	10/1/1950	37.86	4/1/1948	12.998	11/1/1973	1
1/1/1951	12.8	1/1/1951	23.176	1/1/1951	37.847	5/1/1948	12.7555	3/1/1975	1
4/1/1951	22.5	4/1/1951	23.667	4/1/1951	38.046	6/1/1948	13.289	--	1
7/1/1951	21.6	7/1/1951	23.404	7/1/1951	39.161	7/1/1948	13.6285	1/1/1980	1
10/1/1951	21.1	10/1/1951	23.698	10/1/1951	38.995	8/1/1948	13.4103	7/1/1980	1
1/1/1952	20.4	1/1/1952	23.864	1/1/1952	39.135	9/1/1948	13.0223	--	1
4/1/1952	19.1	4/1/1952	24.122	4/1/1952	39.494	10/1/1948	13.4345	7/1/1981	1
7/1/1952	22.8	7/1/1952	24.379	7/1/1952	39.606	11/1/1948	12.9253	11/1/1982	1
10/1/1952	19.7	10/1/1952	24.603	10/1/1952	40.162	12/1/1948	12.4403	--	1
1/1/1953	20.3	1/1/1953	24.676	1/1/1953	40.758	1/1/1949	12.0523	7/1/1990	1
4/1/1953	22.2	4/1/1953	24.722	4/1/1953	41.13	2/1/1949	11.8825	3/1/1991	1
7/1/1953	21.8	7/1/1953	25.089	7/1/1953	41.14	3/1/1949	11.8583	--	1
10/1/1953	21.7	10/1/1953	25.124	10/1/1953	41.022	4/1/1949	11.8825	3/1/2001	1
1/1/1954	22.5	1/1/1954	25.307	1/1/1954	40.992	5/1/1949	11.8098	11/1/2001	1
4/1/1954	19.5	4/1/1954	25.334	4/1/1954	41.554	6/1/1949	12.1008	--	1
7/1/1954	18.8	7/1/1954	25.01	7/1/1954	42.191	7/1/1949	12.4888	12/1/2007	1
10/1/1954	19.1	10/1/1954	25.008	10/1/1954	42.801	8/1/1949	12.6828	3/9/2009	1
1/1/1955	17.5	1/1/1955	24.514	1/1/1955	43.475	9/1/1949	13.1435		
4/1/1955	19.1	4/1/1955	24.672	4/1/1955	43.814	10/1/1949	13.3375		
7/1/1955	21.1	7/1/1955	24.719	7/1/1955	43.749	11/1/1949	12.61		
10/1/1955	21	10/1/1955	25.189	10/1/1955	43.439	12/1/1949	12.4645		
1/1/1956	23.4	1/1/1956	25.944	1/1/1956	43.274	1/1/1950	13.9195		
4/1/1956	25.5	4/1/1956	26.337	4/1/1956	43.487	2/1/1950	13.8953		
7/1/1956	26.5	7/1/1956	26.62	7/1/1956	43.471	3/1/1950	14.4773		
10/1/1956	27.7	10/1/1956	26.672	10/1/1956	44.363	4/1/1950	15.52		
1/1/1957	26.5	1/1/1957	27.042	1/1/1957	44.644	5/1/1950	16.3203		
4/1/1957	28.2	4/1/1957	27.287	4/1/1957	44.677	6/1/1950	17.6783		
7/1/1957	27.7	7/1/1957	27.236	7/1/1957	45.163	7/1/1950	18.4058		
10/1/1957	25.8	10/1/1957	27.432	10/1/1957	45.632	8/1/1950	18.9635		
1/1/1958	27.3	1/1/1958	27.952	1/1/1958	45.231	9/1/1950	18.1148		
4/1/1958	27.2	4/1/1958	27.642	4/1/1958	45.858	10/1/1950	17.7268		
7/1/1958	29.2	7/1/1958	27.628	7/1/1958	46.718	11/1/1950	17.363		
10/1/1958	29.5	10/1/1958	27.557	10/1/1958	47.249	12/1/1950	17.1933		
1/1/1959	27.1	1/1/1959	27.702	1/1/1959	47.62	1/1/1951	16.878		
4/1/1959	28.4	4/1/1959	27.555	4/1/1959	47.927	2/1/1951	16.9508		
7/1/1959	24.4	7/1/1959	27.768	7/1/1959	48.216	3/1/1951	16.8295		
10/1/1959	26.7	10/1/1959	28.066	10/1/1959	48.341	4/1/1951	16.0535		
1/1/1960	27.8	1/1/1960	28.039	1/1/1960	49.657	5/1/1951	15.229		
4/1/1960	25.5	4/1/1960	28.478	4/1/1960	48.661	6/1/1951	14.5258		
7/1/1960	27	7/1/1960	28.384	7/1/1960	48.759	7/1/1951	12.9738		
10/1/1960	26.3	10/1/1960	28.876	10/1/1960	48.385	8/1/1951	12.125		
1/1/1961	29.8	1/1/1961	28.847	1/1/1961	48.897	9/1/1951	12.6343		
4/1/1961	30.4	4/1/1961	28.501	4/1/1961	50.591	10/1/1951	12.5373		
7/1/1961	33.9	7/1/1961	28.413	7/1/1961	51.11	11/1/1951	12.7798		
10/1/1961	34.5	10/1/1961	28.425	10/1/1961	51.669	12/1/1951	12.9253		
1/1/1962	34.7	1/1/1962	28.427	1/1/1962	52.18	1/1/1952	12.8768		
4/1/1962	34.7	4/1/1962	28.602	4/1/1962	52.477	2/1/1952	12.8525		
7/1/1962	33.9	7/1/1962	28.431	7/1/1962	53.217	3/1/1952	13.1193		
10/1/1962	31.9	10/1/1962	28.545	10/1/1962	53.659	4/1/1952	12.998		
1/1/1963	32.6	1/1/1963	28.489	1/1/1963	54.054	5/1/1952	13.386		
4/1/1963	32.7	4/1/1963	28.426	4/1/1963	54.433	6/1/1952	13.5315		
7/1/1963	32.1	7/1/1963	28.251	7/1/1963	55.582	7/1/1952	12.222		
10/1/1963	35.8	10/1/1963	28.462	10/1/1963	55.722	8/1/1952	13.4345		
1/1/1964	37	1/1/1964	28.263	1/1/1964	56.497	9/1/1952	14.8168		
4/1/1964	41.9	4/1/1964	28.408	4/1/1964	56.642	10/1/1952	15.3018		
7/1/1964	40.1	7/1/1964	28.482	7/1/1964	57.202	11/1/1952	16.296		
10/1/1964	44.4	10/1/1964	28.896	10/1/1964	56.889	12/1/1952	16.3445		
1/1/1965	40.4	1/1/1965	28.672	1/1/1965	57.836	1/1/1953	16.975		
4/1/1965	40.7	4/1/1965	28.784	4/1/1965	57.903	2/1/1953	17.1448		
7/1/1965	46.6	7/1/1965	28.473	7/1/1965	59.269	3/1/1953	17.3145		
10/1/1965	44.3	10/1/1965	28.349	10/1/1965	60.239	4/1/1953	17.1448		
1/1/1966	42.5	1/1/1966	28.528	1/1/1966	61.29	5/1/1953	17.2418		
4/1/1966	42.6	4/1/1966	29.189	4/1/1966	60.95	6/1/1953	16.587		
7/1/1966	44.1	7/1/1966	29.621	7/1/1966	61.034	7/1/1953	16.49		
10/1/1966	48.5	10/1/1966	29.858	10/1/1966	61.544	8/1/1953	16.3445		
1/1/1967	53.9	1/1/1967	29.825	1/1/1967	62.113	9/1/1953	15.6898		
4/1/1967	51.6	4/1/1967	30.138	4/1/1967	62.612	10/1/1953	15.5443		
7/1/1967	55.3	7/1/1967	30.472	7/1/1967	62.64	11/1/1953	14.9865		
10/1/1967	57	10/1/1967	30.768	10/1/1967	62.809	12/1/1953	14.453		
1/1/1968	55.3	1/1/1968	31.028	1/1/1968	64.204	1/1/1954	14.2348		
4/1/1968	57.4	4/1/1968	31.266	4/1/1968	64.859	2/1/1954	14.5743		
7/1/1968	48.3	7/1/1968	31.849	7/1/1968	64.873	3/1/1954	14.5743		
10/1/1968	50.2	10/1/1968	32.534	10/1/1968	64.77	4/1/1954	14.744		
1/1/1969	44.7	1/1/1969	32.558	1/1/1969	65.005	5/1/1954	15.035		
4/1/1969	47.5	4/1/1969	33.423	4/1/1969	64.94	6/1/1954	15.132		
7/1/1969	58.7	7/1/1969	34.056	7/1/1969	65.102	7/1/1954	14.9623		
10/1/1969	59.2	10/1/1969	34.87	10/1/1969	64.929	8/1/1954	15.0835		
1/1/1970	59.4	1/1/1970	35.398	1/1/1970	65.207	9/1/1954	15.1805		
4/1/1970	69.6	4/1/1970	35.428	4/1/1970	66.013	10/1/1954	15.3988		
7/1/1970	74.4	7/1/1970	35.458	7/1/1970	67.171	11/1/1954	15.8353		
10/1/1970	74.5	10/1/1970	36.138	10/1/1970	66.772	12/1/1954	16.4415		
1/1/1971	78.2	1/1/1971	35.779	1/1/1971	68.704	1/1/1955	17.6055		
4/1/1971	83.7	4/1/1971	36.172	4/1/1971	68.772	2/1/1955	17.7995		
7/1/1971	81.9	7/1/1971	36.397	7/1/1971	69.571	3/1/1955	18.2845		
