Time	Test1	Error1	Test2	Error2	Test3	Error3
min	mV	+-mV	mV	+-mV	mV	+-mV
0.021	4.309E-4	2.154E-5	5.176E-4	2.588E-5	2.971E-4	1.485E-5
0.038	4.393E-4	2.196E-5	5.065E-4	2.533E-5	3.042E-4	1.521E-5
0.054	4.309E-4	2.155E-5	5.355E-4	2.678E-5	2.999E-4	1.5E-5
0.071	4.362E-4	2.181E-5	5.106E-4	2.553E-5	3.073E-4	1.536E-5
0.088	4.34E-4	2.17E-5	5.002E-4	2.501E-5	2.797E-4	1.399E-5
0.104	4.517E-4	2.258E-5	4.946E-4	2.473E-5	2.894E-4	1.447E-5
0.121	4.467E-4	2.234E-5	5.01E-4	2.505E-5	2.992E-4	1.496E-5
0.138	4.428E-4	2.214E-5	5.039E-4	2.519E-5	3.017E-4	1.509E-5
0.154	4.413E-4	2.207E-5	4.96E-4	2.48E-5	2.923E-4	1.461E-5
0.171	4.404E-4	2.202E-5	5E-4	2.5E-5	3.089E-4	1.544E-5
0.188	4.332E-4	2.166E-5	5.112E-4	2.556E-5	2.822E-4	1.411E-5
0.204	4.194E-4	2.097E-5	5.001E-4	2.5E-5	2.753E-4	1.377E-5
0.221	4.291E-4	2.145E-5	4.855E-4	2.427E-5	2.723E-4	1.361E-5
0.238	4.334E-4	2.167E-5	4.934E-4	2.467E-5	2.762E-4	1.381E-5
0.254	4.154E-4	2.077E-5	5.028E-4	2.514E-5	2.696E-4	1.348E-5
0.271	4.244E-4	2.122E-5	5.017E-4	2.508E-5	2.638E-4	1.319E-5
0.288	4.227E-4	2.113E-5	4.964E-4	2.482E-5	2.65E-4	1.325E-5
0.304	4.254E-4	2.127E-5	4.958E-4	2.479E-5	2.662E-4	1.331E-5
0.321	4.198E-4	2.099E-5	4.893E-4	2.446E-5	2.623E-4	1.312E-5
0.338	4.218E-4	2.109E-5	4.844E-4	2.422E-5	2.656E-4	1.328E-5
0.354	4.149E-4	2.075E-5	4.759E-4	2.379E-5	2.639E-4	1.32E-5
0.371	3.892E-4	1.946E-5	4.73E-4	2.365E-5	2.512E-4	1.256E-5
0.388	3.804E-4	1.902E-5	4.658E-4	2.329E-5	2.333E-4	1.167E-5
0.404	3.666E-4	1.833E-5	4.533E-4	2.266E-5	2.292E-4	1.146E-5
0.421	3.519E-4	1.759E-5	4.489E-4	2.244E-5	2.096E-4	1.048E-5
0.438	3.524E-4	1.762E-5	4.291E-4	2.145E-5	1.906E-4	9.529E-6
0.454	3.305E-4	1.653E-5	4.234E-4	2.117E-5	1.761E-4	8.806E-6
0.471	3.24E-4	1.62E-5	4.162E-4	2.081E-5	1.87E-4	9.35E-6
0.488	3.338E-4	1.669E-5	4.164E-4	2.082E-5	1.751E-4	8.754E-6
0.504	3.181E-4	1.59E-5	4.057E-4	2.028E-5	1.913E-4	9.566E-6
0.521	3.158E-4	1.579E-5	4.087E-4	2.044E-5	1.581E-4	7.906E-6
0.538	3.164E-4	1.582E-5	4.127E-4	2.064E-5	1.613E-4	8.067E-6
0.554	3.343E-4	1.672E-5	4.186E-4	2.093E-5	1.758E-4	8.788E-6
0.571	3.391E-4	1.695E-5	4.049E-4	2.025E-5	1.712E-4	8.561E-6
0.588	3.598E-4	1.799E-5	3.782E-4	1.891E-5	1.643E-4	8.214E-6
0.604	3.97E-4	1.985E-5	3.019E-4	1.509E-5	1.531E-4	7.653E-6
0.621	4.506E-4	2.253E-5	2.146E-4	1.073E-5	1.381E-4	6.907E-6
0.638	4.873E-4	2.436E-5	1.275E-4	6.375E-6	1.328E-4	6.641E-6
0.654	4.986E-4	2.493E-5	2.235E-4	1.118E-5	1.535E-4	7.674E-6
0.671	5.132E-4	2.566E-5	4.38E-4	2.19E-5	1.974E-4	9.871E-6
0.688	5.489E-4	2.744E-5	4.929E-4	2.465E-5	2.502E-4	1.251E-5
