Version: 8.0
Operator: Larry
Experiment Data: 09/01/07
Temperature: 37.5

Time Sample Error
sec
0 0.30553 0.00257
26 0.30376 0.00299
52 0.3084 0.00345
78 0.30792 0.00332
105 0.30818 0.00309
130 0.31471 0.00429
157 0.34998 0.00525
183 0.39414 0.00747
209 0.45347 0.01223
236 0.52537 0.01875
262 0.61483 0.0287
288 0.72926 0.03936
314 0.86774 0.0556
341 1.04748 0.07051
367 1.19848 0.08131
393 1.37816 0.09395
419 1.50307 0.09695
446 1.63985 0.09899
472 1.80057 0.10205
498 1.87546 0.09479
525 1.99251 0.09046
551 2.0822 0.08402
577 2.13423 0.07726
603 2.2171 0.07037
630 2.23311 0.06545
656 2.26148 0.06066
682 2.30566 0.05801
708 2.3273 0.05595
735 2.33076 0.05152
761 2.36447 0.05025
787 2.39066 0.0476
813 2.38569 0.04836
840 2.39173 0.04661
866 2.40878 0.04723
892 2.43555 0.04477
918 2.42888 0.04575
945 2.43556 0.04506
971 2.44202 0.04369
997 2.44309 0.04336
1024 2.46299 0.04275
1050 2.46817 0.04382
1076 2.46672 0.04323
1102 2.4631 0.04193
1129 2.48608 0.04003
1155 2.46414 0.04149
1181 2.48875 0.04162
1207 2.47575 0.03954
1234 2.49504 0.03931
1260 2.50911 0.04318
1286 2.48034 0.03958
1312 2.51698 0.04025
1339 2.51056 0.03983
1365 2.53148 0.04111
1391 2.51837 0.04118
1418 2.49007 0.03982
1444 2.53963 0.04089
1470 2.53033 0.0404
1496 2.53923 0.03965
1523 2.50906 0.03955
1549 2.51429 0.03998
1575 2.51249 0.04086
1601 2.55017 0.04092
1628 2.52248 0.03943
1654 2.52504 0.03983
1680 2.53861 0.04172
1706 2.5281 0.04105
1733 2.53414 0.04009
1759 2.52979 0.03825
1785 2.56605 0.04059
1811 2.57152 0.0399
1838 2.56004 0.03884
1864 2.524 0.03753
1890 2.53977 0.03878
1916 2.58225 0.03924
1943 2.54423 0.03642
1969 2.53714 0.03786
1995 2.52504 0.03962
2021 2.56481 0.03934
2048 2.5324 0.03921
2074 2.54226 0.0391
2100 2.54707 0.0385
2127 2.53799 0.03717
2153 2.5265 0.03521
2179 2.5423 0.03876
2205 2.53067 0.03811
2232 2.54758 0.03945
2258 2.56355 0.03884
2284 2.56269 0.03846
2310 2.54751 0.0395
2337 2.57969 0.03627
2363 2.5252 0.03869
2389 2.55437 0.03766
2416 2.54333 0.03743
2442 2.5881 0.03717
2468 2.56446 0.03838
2494 2.56205 0.03714
2521 2.51431 0.03735
2547 2.55497 0.03805
2573 2.53535 0.03584
2599 2.54183 0.03797
2626 2.53802 0.03642
2652 2.56653 0.03829
2678 2.55793 0.0377
2704 2.53209 0.03627
2731 2.54377 0.03605
2757 2.55866 0.03566
2783 2.54416 0.03625
2810 2.54296 0.0369
2836 2.53926 0.03583
2862 2.53756 0.03756
2888 2.52907 0.03762
2915 2.60268 0.03699
2941 2.56283 0.03723
2967 2.54913 0.03888
2993 2.55343 0.03541
3020 2.55134 0.03684
3046 2.56023 0.03763
3072 2.5692 0.03664
3098 2.57638 0.03793
3125 2.56467 0.03574
3151 2.57044 0.03643
3177 2.54336 0.03655
3204 2.53627 0.03449
3230 2.54213 0.03842
3256 2.56412 0.03524
3282 2.5513 0.03581
3309 2.55135 0.03772
3335 2.55889 0.03572
3361 2.56878 0.03453
3387 2.54775 0.0365
3414 2.53882 0.03734
3440 2.5539 0.0351
3466 2.55871 0.03647
3492 2.54012 0.03485
3519 2.5385 0.03501
3545 2.53401 0.03696
3571 2.56138 0.03497
3598 2.54831 0.03435
3624 2.54619 0.03477
3650 2.53146 0.03434
