Version: 	2.1
No. of points:	1000
Sample:		YBCO milled
Measured on:	12/01/2004
Time:		03:20:39 AM
Run Type:	Trial Run 1

Time	Delta Temperature	Magnetic Field	Position
(sec)	(K)	(Oe)	(mm)
0.01	40.00	60.60	101.70
0.02	40.50	61.30	100.90
0.03	40.20	61.90	100.30
0.04	40.10	62.50	100.80
0.05	40.20	63.10	100.80
0.06	39.60	63.70	101.70
0.07	39.70	64.30	100.80
0.08	39.90	64.80	102.00
0.09	39.90	65.40	101.30
0.10	39.40	65.90	101.10
0.11	39.30	66.50	101.20
0.12	39.80	67.00	100.20
0.13	39.80	67.60	101.20
0.14	39.10	68.10	101.60
0.15	39.00	68.60	100.40
0.16	38.90	69.10	101.80
0.17	39.10	69.60	100.20
0.18	39.00	70.10	101.60
0.19	38.50	70.50	100.70
0.20	39.20	71.00	101.60
0.21	38.70	71.50	101.10
0.22	39.00	71.90	101.80
0.23	38.30	72.40	101.30
0.24	38.30	72.80	101.60
0.25	38.60	73.30	100.60
0.26	38.70	73.70	101.80
0.27	38.20	74.10	100.20
0.28	38.50	74.50	100.10
0.29	38.10	74.90	101.70
0.30	37.70	75.30	101.70
0.31	37.60	75.70	100.40
0.32	38.30	76.10	101.70
0.33	37.90	76.50	100.10
0.34	37.60	76.90	101.90
0.35	37.60	77.20	101.90
0.36	37.50	77.60	101.20
0.37	37.60	77.90	101.40
0.38	37.60	78.30	101.50
0.39	37.40	78.60	102.00
0.40	37.50	79.00	101.10
0.41	37.30	79.30	100.80
0.42	37.10	79.70	100.90
0.43	36.90	80.00	101.20
0.44	36.80	80.30	101.70
0.45	37.00	80.60	100.30
0.46	37.00	80.90	100.00
0.47	37.10	81.20	101.90
0.48	36.50	81.50	100.70
0.49	36.70	81.80	101.40
0.50	36.50	82.10	100.20
0.51	36.70	82.40	101.70
0.52	36.10	82.70	100.20
0.53	36.10	83.00	101.50
0.54	36.10	83.20	100.80
0.55	36.10	83.50	101.70
0.56	36.40	83.80	101.70
0.57	35.90	84.00	101.50
0.58	36.10	84.30	100.00
0.59	36.20	84.50	100.40
0.60	36.10	84.80	101.20
0.61	35.40	85.00	100.10
0.62	35.50	85.30	100.50
0.63	35.90	85.50	101.90
0.64	35.40	85.70	100.70
0.65	35.80	85.90	101.10
0.66	35.10	86.20	100.30
0.67	35.60	86.40	100.50
0.68	35.20	86.60	101.30
0.69	35.20	86.80	101.10
0.70	35.10	87.00	100.50
0.71	34.70	87.20	100.80
0.72	34.90	87.40	100.40
0.73	35.10	87.60	101.10
0.74	34.50	87.80	102.00
0.75	35.20	88.00	100.40
0.76	35.00	88.20	101.80
0.77	34.40	88.40	101.30
0.78	35.00	88.60	100.30
0.79	34.50	88.80	100.60
0.80	34.60	89.00	100.50
0.81	34.40	89.10	101.20
0.82	34.30	89.30	100.20
0.83	34.50	89.50	101.90
0.84	34.20	89.70	100.20
0.85	34.10	89.80	100.20
0.86	33.80	90.00	100.60
0.87	33.60	90.10	101.60
0.88	33.80	90.30	101.40
0.89	33.80	90.50	100.40
0.90	33.90	90.60	101.00
0.91	33.90	90.80	100.40
0.92	33.50	90.90	100.70
0.93	33.80	91.00	101.00
0.94	33.40	91.20	101.40
0.95	33.70	91.30	100.10
0.96	33.70	91.50	101.50
0.97	33.10	91.60	100.80
0.98	33.70	91.70	100.30
0.99	33.50	91.90	101.00
1.00	33.10	92.00	101.00
1.01	33.10	92.10	101.60
1.02	32.90	92.30	102.00
1.03	32.70	92.40	100.20
1.04	33.10	92.50	100.00
1.05	33.00	92.60	101.20
1.06	32.80	92.70	100.40
1.07	32.50	92.90	100.20
1.08	32.30	93.00	101.00
1.09	32.90	93.10	101.20
1.10	32.90	93.20	101.60
1.11	32.60	93.30	100.60
1.12	32.50	93.40	100.80
1.13	32.20	93.50	101.40
1.14	32.50	93.60	101.90
1.15	32.40	93.70	101.20
1.16	31.90	93.80	100.30
1.17	32.40	93.90	100.50
1.18	31.80	94.00	100.50
1.19	31.60	94.10	100.90
1.20	31.50	94.20	101.70
1.21	32.00	94.30	100.40
1.22	32.00	94.40	100.20
1.23	31.90	94.50	101.80
1.24	32.00	94.60	101.40
1.25	31.50	94.70	101.90
1.26	31.30	94.70	100.50
1.27	31.70	94.80	101.10
1.28	31.30	94.90	102.00
1.29	31.70	95.00	100.20
1.30	31.00	95.10	100.60
1.31	31.10	95.10	101.10
1.32	31.00	95.20	101.60
1.33	31.10	95.30	101.00
1.34	30.90	95.40	101.20
1.35	30.80	95.40	100.70
1.36	31.00	95.50	100.90
1.37	30.90	95.60	101.50
1.38	30.80	95.70	101.80
1.39	30.50	95.70	101.50
1.40	30.80	95.80	100.40
1.41	30.60	95.90	100.30
1.42	30.20	95.90	102.00
1.43	30.60	96.00	100.50
1.44	30.80	96.10	100.30
1.45	30.40	96.10	102.10
1.46	30.00	96.20	100.20
1.47	30.00	96.20	100.20
1.48	29.80	96.30	100.30
1.49	30.30	96.40	101.30
1.50	29.80	96.40	101.60
1.51	29.60	96.50	101.00
1.52	29.50	96.50	100.40
1.53	29.90	96.60	101.60
1.54	30.00	96.60	101.20
1.55	29.90	96.70	102.10
1.56	29.70	96.80	101.90
1.57	29.70	96.80	101.00
1.58	29.30	96.90	100.90
1.59	29.30	96.90	101.40
1.60	29.20	97.00	101.90
1.61	29.30	97.00	100.70
1.62	29.60	97.10	101.10
1.63	29.40	97.10	100.60
1.64	29.50	97.10	102.10
1.65	28.80	97.20	100.40
1.66	29.00	97.20	102.00
1.67	29.00	97.30	102.10
1.68	29.30	97.30	101.00
1.69	29.00	97.40	102.20
1.70	29.20	97.40	101.00
1.71	28.40	97.40	101.70
1.72	29.00	97.50	101.60
1.73	28.70	97.50	100.80
1.74	28.40	97.60	101.80
1.75	28.20	97.60	102.20
1.76	28.40	97.60	102.00
1.77	28.70	97.70	100.80
1.78	28.40	97.70	101.60
1.79	28.10	97.80	101.50
1.80	28.50	97.80	101.40
1.81	28.20	97.80	102.20
1.82	28.40	97.90	102.00
1.83	28.50	97.90	101.40
1.84	28.00	97.90	102.00
1.85	27.90	98.00	101.40
1.86	28.00	98.00	101.40
1.87	27.60	98.00	102.00
1.88	28.20	98.10	103.00
1.89	27.90	98.10	101.60
1.90	27.80	98.10	101.60
1.91	27.60	98.20	102.90
1.92	27.50	98.20	101.50
1.93	27.70	98.20	102.50
1.94	27.80	98.20	102.20
1.95	27.60	98.30	101.80
1.96	27.00	98.30	101.70
1.97	27.20	98.30	101.50
1.98	27.30	98.30	101.70
1.99	27.20	98.40	103.30
2.00	27.00	98.40	102.60
2.01	27.00	98.40	102.60
2.02	27.30	98.50	102.40
2.03	26.70	98.50	102.70
2.04	27.30	98.50	102.30
2.05	27.00	98.50	103.90
2.06	26.90	98.50	103.90
2.07	26.80	98.60	103.10
2.08	27.00	98.60	103.90
2.09	26.50	98.60	104.20
2.10	27.10	98.60	102.50
2.11	26.50	98.70	102.70
2.12	26.30	98.70	102.70
2.13	26.50	98.70	104.50
2.14	26.40	98.70	103.80
2.15	26.70	98.70	104.40
2.16	26.50	98.80	105.00
2.17	26.40	98.80	104.90
2.18	26.00	98.80	105.20
2.19	26.50	98.80	105.30
2.20	26.30	98.80	104.30
2.21	26.30	98.90	105.60
2.22	26.30	98.90	105.40
2.23	26.00	98.90	105.30
2.24	26.00	98.90	105.30
2.25	26.20	98.90	106.30
2.26	25.50	98.90	106.20
2.27	25.60	99.00	105.00
