Version: 	2.1
No. of points:	700
Sample:		YBCO milled
Measured on:	12/15/2004
Time:		03:00:39 PM
Run Type:	Trial Run 2

Time	Delta Temperature	Magnetic Field	Position
(sec)	(K)	(Oe)	(mm)
0.01	40.00	110.30	100.20
0.02	40.00	110.60	100.50
0.03	39.90	110.80	100.40
0.04	40.10	111.10	100.40
0.05	39.70	111.40	100.80
0.06	39.60	111.60	100.80
0.07	39.60	111.90	100.20
0.08	39.40	112.20	100.40
0.09	39.50	112.40	100.70
0.10	39.40	112.70	100.50
0.11	39.40	112.90	100.70
0.12	39.50	113.20	100.30
0.13	39.20	113.40	100.60
0.14	39.30	113.70	100.70
0.15	39.00	113.90	100.80
0.16	39.20	114.20	100.90
0.17	38.90	114.40	100.10
0.18	39.00	114.70	100.60
0.19	38.90	114.90	100.00
0.20	38.60	115.20	100.70
0.21	38.90	115.40	100.10
0.22	38.80	115.70	100.70
0.23	38.50	115.90	100.60
0.24	38.30	116.10	100.10
0.25	38.20	116.40	100.80
0.26	38.40	116.60	100.30
0.27	38.10	116.80	100.90
0.28	38.30	117.10	100.60
0.29	38.10	117.30	100.50
0.30	38.20	117.50	100.20
0.31	38.10	117.70	100.40
0.32	37.80	118.00	100.40
0.33	38.00	118.20	100.50
0.34	38.00	118.40	100.20
0.35	37.70	118.60	100.50
0.36	37.70	118.80	100.70
0.37	37.50	119.00	100.90
0.38	37.40	119.30	100.70
0.39	37.50	119.50	100.20
0.40	37.60	119.70	100.20
0.41	37.20	119.90	100.50
0.42	37.20	120.10	100.90
0.43	37.20	120.30	100.70
0.44	37.10	120.50	100.30
0.45	37.20	120.70	100.10
0.46	37.00	120.90	100.60
0.47	36.80	121.10	100.40
0.48	37.00	121.30	100.50
0.49	36.80	121.50	100.80
0.50	36.90	121.70	100.60
0.51	36.80	121.90	100.20
0.52	36.50	122.10	100.00
0.53	36.60	122.30	100.70
0.54	36.30	122.50	100.30
0.55	36.50	122.70	100.80
0.56	36.20	122.90	100.70
0.57	36.20	123.10	100.90
0.58	36.00	123.20	100.40
0.59	36.30	123.40	100.80
0.60	36.20	123.60	100.70
0.61	36.10	123.80	100.60
0.62	35.90	124.00	100.70
0.63	35.70	124.20	100.20
0.64	35.70	124.30	101.00
0.65	35.90	124.50	100.80
0.66	35.50	124.70	100.30
0.67	35.60	124.90	100.40
0.68	35.50	125.00	100.20
0.69	35.60	125.20	100.30
0.70	35.40	125.40	100.90
0.71	35.30	125.50	100.30
0.72	35.10	125.70	100.10
0.73	35.20	125.90	100.50
0.74	35.00	126.10	100.60
0.75	35.10	126.20	100.40
0.76	35.10	126.40	100.70
0.77	34.80	126.50	100.60
0.78	34.90	126.70	100.60
0.79	34.80	126.90	100.50
0.80	34.70	127.00	100.90
0.81	34.50	127.20	100.10
0.82	34.60	127.30	100.60
0.83	34.50	127.50	100.20
0.84	34.60	127.70	100.10
0.85	34.60	127.80	100.60
0.86	34.60	128.00	100.20
0.87	34.40	128.10	100.40
0.88	34.40	128.30	100.80
0.89	34.20	128.40	100.40
0.90	34.30	128.60	100.90
0.91	34.00	128.70	101.00
0.92	34.20	128.90	100.60
0.93	33.80	129.00	100.30
0.94	34.10	129.20	100.60
0.95	33.70	129.30	100.70
0.96	33.90	129.40	100.10
0.97	33.70	129.60	100.80
0.98	33.70	129.70	100.10
0.99	33.80	129.90	100.40
1.00	33.40	130.00	100.40
1.01	33.30	130.10	100.10
1.02	33.60	130.30	100.70
1.03	33.40	130.40	100.20
1.04	33.10	130.50	100.40
1.05	33.30	130.70	100.90
1.06	33.30	130.80	100.20
1.07	33.00	130.90	100.70
1.08	33.20	131.10	100.70
1.09	33.00	131.20	100.40
1.10	33.00	131.30	100.80
1.11	32.70	131.50	100.10
1.12	32.70	131.60	100.50
1.13	32.90	131.70	100.70
1.14	32.60	131.80	100.00
1.15	32.80	132.00	100.90
1.16	32.70	132.10	100.80
1.17	32.70	132.20	100.80
1.18	32.30	132.30	100.90
1.19	32.30	132.50	100.80
1.20	32.60	132.60	100.60
1.21	32.10	132.70	100.60
1.22	32.10	132.80	100.70
1.23	32.20	132.90	100.90
1.24	32.20	133.10	100.40
1.25	31.90	133.20	100.60
1.26	31.90	133.30	100.00
1.27	32.00	133.40	100.70
1.28	31.90	133.50	100.00
1.29	31.70	133.60	100.80
1.30	31.90	133.80	100.40
1.31	31.80	133.90	100.50
1.32	31.60	134.00	100.90
1.33	31.50	134.10	101.00
1.34	31.60	134.20	100.60
1.35	31.40	134.30	100.90
1.36	31.50	134.40	100.40
1.37	31.40	134.50	100.40
1.38	31.50	134.60	100.90
1.39	31.20	134.70	100.70
1.40	31.20	134.80	100.70
1.41	31.20	134.90	100.10
1.42	30.90	135.10	100.10
1.43	30.90	135.20	100.60
1.44	31.20	135.30	100.40
1.45	30.70	135.40	100.20
1.46	30.70	135.50	100.40
1.47	30.80	135.60	100.60
1.48	30.80	135.70	100.20
1.49	30.90	135.80	100.90
1.50	30.50	135.90	100.30
1.51	30.50	136.00	100.60
1.52	30.50	136.10	101.00
1.53	30.30	136.10	100.70
1.54	30.20	136.20	100.10
1.55	30.20	136.30	100.50
1.56	30.40	136.40	100.60
1.57	30.20	136.50	100.70
1.58	30.00	136.60	100.70
1.59	30.10	136.70	100.20
1.60	30.30	136.80	100.50
1.61	29.90	136.90	100.60
1.62	29.90	137.00	100.30
1.63	29.80	137.10	100.20
1.64	29.80	137.20	100.50
1.65	29.70	137.30	100.40
1.66	29.70	137.30	100.00
1.67	29.60	137.40	100.30
1.68	29.80	137.50	100.50
1.69	29.70	137.60	100.20
1.70	29.70	137.70	101.00
1.71	29.60	137.80	100.90
1.72	29.60	137.90	101.00
1.73	29.50	137.90	100.90
1.74	29.30	138.00	100.80
1.75	29.10	138.10	100.40
1.76	29.10	138.20	100.10
1.77	29.10	138.30	100.20
1.78	29.30	138.40	100.40
1.79	28.90	138.40	100.80
1.80	29.00	138.50	100.90
1.81	29.00	138.60	100.10
1.82	29.10	138.70	101.00
1.83	28.70	138.70	100.30
1.84	28.80	138.80	100.30
1.85	28.60	138.90	100.40
1.86	28.80	139.00	100.40
1.87	28.70	139.10	100.50
1.88	28.50	139.10	100.50
1.89	28.70	139.20	101.00
1.90	28.60	139.30	100.90
1.91	28.60	139.40	101.00
1.92	28.50	139.40	100.20
1.93	28.50	139.50	100.20
1.94	28.30	139.60	100.60
1.95	28.20	139.60	100.40
1.96	28.00	139.70	100.90
1.97	28.20	139.80	101.10
1.98	28.00	139.90	101.10
1.99	28.10	139.90	100.50
2.00	28.20	140.00	101.10
2.01	27.90	140.10	100.60
2.02	28.10	140.10	100.70
2.03	28.00	140.20	101.00
2.04	28.00	140.30	101.00
