Version: 	3.5
No. of points:	850
Sample:		YBCO milled-square
Measured on:	12/03/2004
Time:		04:20:04 AM
Run Type:	Trial Run 3

Time	Delta Temperature	Magnetic Field	Position
(sec)	(K)	(Oe)	(mm)
0.01	40.30	110.60	100.30
0.02	40.10	111.30	100.70
0.03	40.80	111.90	100.10
0.04	39.60	112.50	100.60
0.05	40.50	113.10	101.70
0.06	39.70	113.70	101.30
0.07	39.50	114.30	100.40
0.08	39.10	114.80	101.10
0.09	39.30	115.40	101.00
0.10	39.90	115.90	101.60
0.11	38.90	116.50	100.60
0.12	39.70	117.00	101.20
0.13	39.70	117.60	101.20
0.14	38.60	118.10	100.20
0.15	39.00	118.60	101.10
0.16	39.40	119.10	100.40
0.17	39.20	119.60	101.90
0.18	38.10	120.10	101.60
0.19	38.20	120.50	100.60
0.20	38.70	121.00	102.00
0.21	38.00	121.50	100.60
0.22	37.80	121.90	101.80
0.23	37.70	122.40	101.60
0.24	38.00	122.80	100.40
0.25	38.40	123.30	101.30
0.26	37.80	123.70	101.00
0.27	37.80	124.10	101.80
0.28	37.60	124.50	101.20
0.29	38.00	124.90	100.30
0.30	37.10	125.30	100.60
0.31	36.70	125.70	101.40
0.32	37.50	126.10	100.40
0.33	36.90	126.50	101.00
0.34	37.40	126.90	101.70
0.35	37.20	127.20	101.70
0.36	37.30	127.60	101.80
0.37	36.10	127.90	100.80
0.38	36.20	128.30	100.40
0.39	36.10	128.60	101.60
0.40	36.10	129.00	101.50
0.41	35.70	129.30	100.20
0.42	35.80	129.70	101.80
0.43	36.30	130.00	100.40
0.44	35.50	130.30	100.00
0.45	35.30	130.60	101.10
0.46	35.80	130.90	101.50
0.47	35.90	131.20	100.30
0.48	35.40	131.50	101.20
0.49	36.00	131.80	100.90
0.50	34.70	132.10	101.80
0.51	35.40	132.40	101.10
0.52	35.50	132.70	101.00
0.53	35.50	133.00	100.10
0.54	34.70	133.20	101.50
0.55	34.80	133.50	101.20
0.56	34.90	133.80	101.70
0.57	35.10	134.00	101.50
0.58	34.40	134.30	101.30
0.59	34.30	134.50	100.80
0.60	34.40	134.80	100.80
0.61	34.10	135.00	100.60
0.62	33.70	135.30	100.00
0.63	34.40	135.50	101.70
0.64	34.10	135.70	101.40
0.65	33.60	135.90	100.60
0.66	33.90	136.20	100.80
0.67	33.40	136.40	100.30
0.68	33.80	136.60	101.30
0.69	33.30	136.80	101.00
0.70	33.90	137.00	101.10
0.71	33.40	137.20	101.00
0.72	32.70	137.40	100.10
0.73	32.70	137.60	100.30
0.74	33.00	137.80	101.00
0.75	33.30	138.00	101.90
0.76	33.40	138.20	100.70
0.77	33.00	138.40	102.00
0.78	33.20	138.60	101.80
0.79	32.20	138.80	101.80
0.80	32.10	139.00	100.00
0.81	32.00	139.10	100.80
0.82	31.70	139.30	101.20
0.83	32.30	139.50	101.60
0.84	31.60	139.70	100.50
0.85	31.60	139.80	100.90
0.86	31.50	140.00	100.50
0.87	32.20	140.10	101.30
0.88	31.90	140.30	100.70
