X	Y	Z	F
9.9	9.14	2.29	19.41
9.97	5.35	8.16	32.58
0.64	2.65	0.24	0.05
4.11	4.4	0.6	1.55
0.94	8.43	0.75	0.01
5.3	8.09	8.88	7.84
6.82	0.28	9.85	6.5
9.27	0.01	6.2	15.79
3.59	2.2	3.88	2.21
9.54	6.54	1.31	17.78
5.49	9.72	2.57	3.19
0.99	0.74	0.15	0.05
4.69	3.52	1.7	2.33
8.81	4.32	7.32	24.05
9.68	2.46	9.76	27.51
1.58	1.45	9.31	3.05
5.38	2.95	6.38	8.14
0.62	2.89	6.43	5.44
6.47	1.09	1.75	5.13
8.71	0.16	4.89	13.44
9.04	6.44	0.9	14.43
9.32	1.32	1.43	16.42
7.6	1.48	9.5	12.57
3.45	9.92	9.82	0.75
8.28	7.13	1.29	11.66
2.33	1.1	2.92	0.37
6.18	5.99	1.49	5.14
6.31	0.09	9.32	5.05
1.49	8.4	8.58	3.15
2.47	6.23	0.76	0.24
0.92	9.44	5.34	0.15
2.83	3.8	9.4	15.71
5.67	2.62	4.01	5.02
6.86	9.32	0.4	6.14
5.3	1.75	2.04	3.35
3.3	2.94	2.1	1.16
9.53	2.84	2.93	18.16
4.43	7.19	4.49	4.23
6.48	0.71	0.62	5.29
9.68	5.5	6.06	25.42
9.05	8.87	9.39	16.22
7.14	7.55	3.21	8.61
7.2	3.71	0.1	7.44
8.74	2.98	4.88	16.17
6.6	9.61	6.63	5.94
4	6.83	7.19	8.36
0.1	4.04	4.28	3.38
7.67	6.42	9.99	24.93
1.02	1.22	6.86	1.21
2.25	4.42	3.28	2.18
5.35	4.69	6.58	11.52
8.35	1.13	0.43	11.78
8.47	5.08	5.05	17.45
9.39	9.25	4.94	16.51
9.33	4.64	2.81	18.12
2.16	0.35	2.88	0.22
5.62	3.8	1.75	4.11
8.59	8.67	3.59	13.31
8.27	9.42	9.31	11.64
8.06	3.84	6.39	17.68
1.11	1.99	7.34	3.65
5.24	8.66	7.48	4.73
3.08	1.01	0.53	0.56
3.88	6.2	9.16	15.76
2.5	6.51	6.85	7.93
9.57	8.03	4.01	18.63
5.23	1.28	0.8	3
1.09	5.83	8.23	12.56
8.88	1.45	5.87	15.53
4.58	9.73	3.82	1.96
9.04	9.3	4.51	14.97
6.49	3.15	7.96	14.27
5.83	7.65	9.84	13.09
0.95	2.94	9.18	10.64
2.65	1.45	9.8	4.02
7.74	6.73	0.57	9.3
0.91	3.64	6.85	7.69
6.56	9.64	0.35	5.5
9.65	7.31	9.7	28.98
9.53	5.86	2	18.36
8.22	6.24	7.17	19.88
2.03	7.06	4.22	2.05
9.2	0.45	4.47	15.57
2.66	2.23	6.87	4.43
7.84	6.03	7.98	20.92
8.8	0.04	7.08	13.37
7.19	2.85	9.33	17.88
1.34	2.84	5	3.3
2.17	5.89	6.01	6.71
3.63	2.84	1.88	1.4
7.09	8.84	9.74	9.83
4.98	3.81	4.16	5.41
9.48	6.69	8.66	28.8
0.74	9.17	0.68	0.01
6	0.41	6.3	4.5
0.76	0.1	3.65	0.13
1.69	0.94	0.72	0.05
7.78	1.4	4.69	10.11
0.15	6.7	0.61	0.19
5.38	0.74	6.02	3.46
