Time	Amplitude
(sec)	(a.u.)
0.01	6.1359E-5
0.02	2.4544E-4
0.03	5.5223E-4
0.04	9.8175E-4
0.05	1.5340E-3
0.06	2.2089E-3
0.07	3.0066E-3
0.08	3.9270E-3
0.09	4.9701E-3
0.10	6.1359E-3
0.11	7.4244E-3
0.12	8.8356E-3
0.13	1.0370E-2
0.14	1.2026E-2
0.15	1.3805E-2
0.16	1.5707E-2
0.17	1.7732E-2
0.18	1.9879E-2
0.19	2.2149E-2
0.20	2.4541E-2
0.21	2.7056E-2
0.22	2.9694E-2
0.23	3.2453E-2
0.24	3.5336E-2
0.25	3.8340E-2
0.26	4.1467E-2
0.27	4.4716E-2
0.28	4.8087E-2
0.29	5.1580E-2
0.30	5.5195E-2
0.31	5.8932E-2
0.32	6.2791E-2
0.33	6.6770E-2
0.34	7.0872E-2
0.35	7.5094E-2
0.36	7.9438E-2
0.37	8.3902E-2
0.38	8.8487E-2
0.39	9.3192E-2
0.40	9.8017E-2
0.41	1.0296E-1
0.42	1.0803E-1
0.43	1.1321E-1
0.44	1.1851E-1
0.45	1.2393E-1
0.46	1.2947E-1
0.47	1.3513E-1
0.48	1.4090E-1
0.49	1.4679E-1
0.50	1.5280E-1
0.51	1.5892E-1
0.52	1.6516E-1
0.53	1.7151E-1
0.54	1.7797E-1
0.55	1.8455E-1
0.56	1.9124E-1
0.57	1.9804E-1
0.58	2.0495E-1
0.59	2.1197E-1
0.60	2.1910E-1
0.61	2.2634E-1
0.62	2.3368E-1
0.63	2.4113E-1
0.64	2.4869E-1
0.65	2.5635E-1
0.66	2.6411E-1
0.67	2.7197E-1
0.68	2.7993E-1
0.69	2.8799E-1
0.70	2.9615E-1
0.71	3.0440E-1
0.72	3.1275E-1
0.73	3.2119E-1
0.74	3.2972E-1
0.75	3.3833E-1
0.76	3.4704E-1
0.77	3.5583E-1
0.78	3.6470E-1
0.79	3.7365E-1
0.80	3.8268E-1
0.81	3.9179E-1
0.82	4.0097E-1
0.83	4.1023E-1
0.84	4.1955E-1
0.85	4.2894E-1
0.86	4.3840E-1
0.87	4.4791E-1
0.88	4.5749E-1
0.89	4.6712E-1
0.90	4.7680E-1
0.91	4.8653E-1
0.92	4.9631E-1
0.93	5.0613E-1
0.94	5.1600E-1
0.95	5.2590E-1
0.96	5.3583E-1
0.97	5.4579E-1
0.98	5.5577E-1
0.99	5.6578E-1
1.00	5.7581E-1
1.01	5.8585E-1
1.02	5.9590E-1
1.03	6.0595E-1
1.04	6.1601E-1
1.05	6.2606E-1
1.06	6.3610E-1
1.07	6.4613E-1
1.08	6.5614E-1
1.09	6.6613E-1
1.10	6.7609E-1
1.11	6.8602E-1
1.12	6.9591E-1
1.13	7.0576E-1
1.14	7.1556E-1
1.15	7.2530E-1
1.16	7.3499E-1
1.17	7.4461E-1
1.18	7.5415E-1
1.19	7.6362E-1
1.20	7.7301E-1
1.21	7.8231E-1
1.22	7.9151E-1
1.23	8.0060E-1
1.24	8.0959E-1
1.25	8.1847E-1
1.26	8.2722E-1
1.27	8.3584E-1
1.28	8.4433E-1
1.29	8.5267E-1
1.30	8.6087E-1
1.31	8.6890E-1
1.32	8.7678E-1
1.33	8.8448E-1
1.34	8.9201E-1
1.35	8.9935E-1
1.36	9.0649E-1
1.37	9.1344E-1
1.38	9.2017E-1
1.39	9.2670E-1
1.40	9.3299E-1
1.41	9.3906E-1
1.42	9.4489E-1
1.43	9.5047E-1
1.44	9.5579E-1
1.45	9.6086E-1
1.46	9.6565E-1
1.47	9.7017E-1
1.48	9.7439E-1
1.49	9.7833E-1
1.50	9.8196E-1
1.51	9.8529E-1
1.52	9.8830E-1
1.53	9.9098E-1
1.54	9.9333E-1
1.55	9.9533E-1
1.56	9.9699E-1
1.57	9.9830E-1
1.58	9.9924E-1
1.59	9.9981E-1
1.60	1.0000E0
1.61	9.9981E-1
1.62	9.9922E-1
1.63	9.9823E-1
1.64	9.9684E-1
1.65	9.9503E-1
1.66	9.9281E-1
1.67	9.9015E-1
1.68	9.8707E-1
1.69	9.8354E-1
1.70	9.7957E-1
1.71	9.7515E-1
1.72	9.7027E-1
1.73	9.6493E-1
1.74	9.5912E-1
1.75	9.5284E-1
1.76	9.4609E-1
