Time	Signal	Time	Delay Signal
(sec)		(sec)	
0	0.04741	0.8	0.04553
0.1	0.04937	0.9	0.04331
0.2	0.06207	1	0.04681
0.3	0.05031	1.1	0.07804
0.4	0.05843	1.2	0.05503
0.5	0.0776	1.3	0.03724
0.6	0.07985	1.4	0.08017
0.7	0.05932	1.5	0.07655
0.8	0.09618	1.6	0.08136
0.9	0.1281	1.7	0.1415
1	0.131	1.8	0.125
1.1	0.1637	1.9	0.1555
1.2	0.1807	2	0.1649
1.3	0.2141	2.1	0.2233
1.4	0.2658	2.2	0.2582
1.5	0.2737	2.3	0.2884
1.6	0.3408	2.4	0.3451
1.7	0.3927	2.5	0.3603
1.8	0.4073	2.6	0.4108
1.9	0.4454	2.7	0.4763
2	0.4905	2.8	0.503
2.1	0.5895	2.9	0.5832
2.2	0.5857	3	0.6173
2.3	0.6638	3.1	0.6399
2.4	0.7182	3.2	0.6745
2.5	0.761	3.3	0.7167
2.6	0.7377	3.4	0.7622
2.7	0.7696	3.5	0.7649
2.8	0.7991	3.6	0.8191
2.9	0.8328	3.7	0.8268
3	0.8297	3.8	0.8081
3.1	0.8207	3.9	0.8435
3.2	0.8368	4	0.8058
3.3	0.8204	4.1	0.7926
3.4	0.7909	4.2	0.7785
3.5	0.7102	4.3	0.7072
3.6	0.6898	4.4	0.7201
3.7	0.6363	4.5	0.6759
3.8	0.633	4.6	0.6225
3.9	0.5817	4.7	0.5593
4	0.5325	4.8	0.5044
4.1	0.4567	4.9	0.4395
4.2	0.4365	5	0.4063
4.3	0.3527	5.1	0.3692
4.4	0.3553	5.2	0.3011
4.5	0.2841	5.3	0.3081
4.6	0.2531	5.4	0.268
4.7	0.2255	5.5	0.2123
4.8	0.184	5.6	0.1727
4.9	0.1504	5.7	0.1725
5	0.1152	5.8	0.1655
5.1	0.1279	5.9	0.09123
5.2	0.08742	6	0.07159
5.3	0.1021	6.1	0.1041
5.4	0.09584	6.2	0.09466
5.5	0.09403	6.3	0.04984
5.6	0.08681	6.4	0.08031
5.7	0.06475	6.5	0.0245
5.8	0.0736	6.6	0.04203
5.9	0.06772	6.7	0.0325
6	0.01364	6.8	0.05209
6.1	0.04882	6.9	0.05795
6.2	0.0154	7	0.05857
6.3	0.02553	7.1	0.06137
6.4	0.03703	7.2	0.0382
6.5	0.05597	7.3	0.01306
6.6	0.04627	7.4	0.03319
6.7	0.03015	7.5	0.04424
6.8	0.05248	7.6	0.05528
6.9	0.02231	7.7	0.02651
7	0.02804	7.8	0.0312
7.1	0.01074	7.9	0.01676
7.2	0.03057	8	0.04037
7.3	0.05154	8.1	0.01369
