The data in this file is a subset of EMG recording of lower limb muscles during VO2max test.
Courtesy of INSEP Research Department (http://www.insep.fr)

Time	Vastus Lateralis
s	mV
	17 km/h running
4	-34.3323
4.0005	-28.2898
4.001	-27.3743
4.0015	-32.7759
4.002	-25.8179
4.0025	-31.2195
4.003	-24.9023
4.0035	-30.6702
4.004	-30.8533
4.0045	-34.1492
4.005	-32.4097
4.0055	-28.656
4.006	-27.7405
4.0065	-32.135
4.007	-37.8113
4.0075	-26.4587
4.008	-39.6423
4.0085	-35.9802
4.009	-28.1067
4.0095	-25.7263
4.01	-26.7334
4.0105	-31.4026
4.011	-27.0081
4.0115	-32.135
4.012	-28.2898
4.0125	-31.311
4.013	-32.6843
4.0135	-30.7617
4.014	-36.1633
4.0145	-31.9519
4.015	-32.5012
4.0155	-32.135
4.016	-25.7263
4.0165	-30.4871
4.017	-38.9099
4.0175	-31.311
4.018	-37.8113
4.0185	-34.1492
4.019	-32.3181
4.0195	-38.3606
4.02	-30.8533
4.0205	-32.5012
4.021	-28.656
4.0215	-30.2124
4.022	-27.832
4.0225	-26.1841
4.023	-29.5715
4.0235	-26.001
4.024	-30.2124
4.0245	-26.0925
4.025	-33.6914
4.0255	-33.783
4.026	-31.9519
4.0265	-33.1421
4.027	-30.7617
4.0275	-41.8396
4.028	-45.1355
4.0285	-28.2898
4.029	-28.1067
4.0295	-32.4097
4.03	-33.5083
4.0305	-36.9873
4.031	-32.4097
4.0315	-35.3394
4.032	-35.7056
4.0325	-32.3181
4.033	-37.8113
4.0335	-42.3889
4.034	-36.0718
4.0345	-38.8184
4.035	-35.9802
4.0355	-35.9802
4.036	-40.1917
4.0365	-43.6707
4.037	-45.1355
4.0375	-41.4734
4.038	-40.9241
4.0385	-40.9241
4.039	-35.5225
4.0395	-31.9519
4.04	-38.4521
4.0405	-38.9099
4.041	-39.093
4.0415	-40.8325
4.042	-37.7197
4.0425	-38.7268
4.043	-43.2129
4.0435	-37.5366
4.044	-39.3677
4.0445	-41.1072
4.045	-39.5508
4.0455	-51.3611
4.046	-39.2761
4.0465	-44.3115
4.047	-39.917
4.0475	-44.1284
4.048	-40.5579
4.0485	-47.9736
4.049	-42.7551
4.0495	-51.8188
4.05	-47.0581
4.0505	-46.4172
4.051	-42.7551
4.0515	-43.5791
4.052	-41.1987
4.0525	-43.4875
4.053	-41.2903
4.0535	-35.7056
4.054	-38.3606
4.0545	-36.5295
4.055	-34.0576
4.0555	-40.5579
4.056	-42.3889
4.0565	-33.783
4.057	-32.135
4.0575	-34.3323
4.058	-31.9519
4.0585	-32.135
4.059	-25.177
4.0595	-22.4304
4.06	-24.9939
4.0605	-26.3672
4.061	-28.0151
4.0615	-23.9868
4.062	-22.2473
4.0625	-24.0784
4.063	-24.9939
4.0635	-27.5574
4.064	-23.2544
4.0645	-27.5574
4.065	-30.4871
4.0655	-25.5432
4.066	-25.7263
4.0665	-26.5503
4.067	-23.7122
4.0675	-25.9094
4.068	-29.9377
4.0685	-20.5994
4.069	-30.5786
4.0695	-20.9656
4.07	-21.0571
4.0705	-26.7334
4.071	-24.6277
4.0715	-29.0222
4.072	-26.825
4.0725	-21.5149
4.073	-31.311
4.0735	-32.5012
4.074	-23.4375
4.0745	-18.3105
4.075	-18.9514
4.0755	-18.5852
4.076	-21.1487
4.0765	-26.1841
4.077	-18.0359
4.0775	-16.571
4.078	-29.0222
4.0785	-24.8108
4.079	-26.4587
4.0795	-19.1345
4.08	-25.177
4.0805	-20.9656
4.081	-13.916
4.0815	-7.9651
4.082	-23.1628
4.0825	-13.6414
4.083	-15.3809
4.0835	-11.4441
4.084	-18.3105
4.0845	-15.9302
4.085	-6.958
4.0855	-9.613
4.086	-8.4229
4.0865	-10.8032
4.087	-16.3879
4.0875	-8.8806
4.088	-6.5918
4.0885	-7.782
4.089	0.2747
4.0895	-14.8315
4.09	-10.7117
4.0905	-11.4441
4.091	-17.6697
4.0915	-9.2468
4.092	-7.782
4.0925	-12.1765
4.093	-7.782
4.0935	-12.8174
4.094	-1.2817
4.0945	-1.8311
4.095	1.5564
4.0955	3.9368
4.096	3.9368
4.0965	0.1831
4.097	-9.2468
4.0975	-0.1831
4.098	-0.7324
4.0985	-4.303
4.099	-7.0496
4.0995	-3.7537
4.1	-2.8381
4.1005	-1.5564
4.101	4.8523
4.1015	-4.3945
4.102	-1.7395
4.1025	-3.9368
4.103	-3.9368
4.1035	-4.4861
4.104	-7.2327
4.1045	-8.1482
4.105	-7.1411
4.1055	3.479
4.106	-1.9226
4.1065	-3.0212
4.107	4.8523
4.1075	-6.5002
4.108	-6.0425
4.1085	3.5706
4.109	2.2888
4.1095	1.6479
4.11	6.0425
4.1105	-4.6692
4.111	-1.4648
4.1115	-8.4229
4.112	0.6409
4.1125	-7.9651
4.113	-4.6692
4.1135	0.0916
4.114	2.4719
4.1145	3.7537
4.115	-0.5493
4.1155	2.5635
4.116	2.0142
4.1165	-1.3733
4.117	4.7607
4.1175	-0.4578
4.118	7.0496
4.1185	-1.5564
4.119	-2.8381
4.1195	-3.3875
4.12	8.2397
4.1205	12.8174
4.121	10.3455
4.1215	8.9722
4.122	6.8665
4.1225	9.3384
4.123	-3.3875
4.1235	2.8381
4.124	4.303
4.1245	10.9863
4.125	9.2468
4.1255	8.1482
4.126	13.4583
4.1265	15.7471
4.127	10.5286
4.1275	13.1836
4.128	12.5427
4.1285	15.4724
4.129	16.3879
4.1295	14.0076
4.13	11.7188
4.1305	11.6272
4.131	15.564
4.1315	11.261
4.132	15.8386
4.1325	10.1624
4.133	14.8315
4.1335	16.2048
4.134	14.74
4.1345	13.2751
4.135	18.9514
4.1355	13.092
4.136	15.3809
4.1365	7.8735
4.137	16.2048
4.1375	15.1978
4.138	11.0779
4.1385	2.8381
4.139	7.3242
4.1395	17.8528
4.14	14.9231
4.1405	10.1624
4.141	8.606
4.1415	9.2468
4.142	14.4653
4.1425	10.8032
4.143	6.7749
4.1435	2.8381
4.144	8.8806
4.1445	0.5493
4.145	3.5706
4.1455	1.3733
4.146	10.3455
4.1465	8.6975
4.147	10.3455
4.1475	9.7961
4.148	8.1482
4.1485	8.2397
4.149	3.3875
4.1495	5.2185
4.15	16.2048
4.1505	15.1062
4.151	17.7612
4.1515	12.9089
4.152	10.0708
4.1525	13.7329
4.153	18.4021
4.1535	18.7683
4.154	17.0288
4.1545	14.5569
4.155	25.7263
4.1555	16.0217
4.156	13.7329
4.1565	11.4441
4.157	7.5989
4.1575	0.824
4.158	7.2327
4.1585	11.1694
4.159	14.9231
4.1595	10.8948
4.16	17.3035
4.1605	12.6343
4.161	14.2822
4.1615	4.0283
4.162	7.1411
4.1625	10.3455
4.163	13.4583
4.1635	18.5852
4.164	12.5427
4.1645	15.2893
4.165	10.9863
4.1655	20.05
4.166	8.1482
4.1665	21.3318
4.167	14.0991
4.1675	15.0146
4.168	11.9934
4.1685	12.3596
4.169	19.5007
4.1695	12.5427
4.17	9.9792
4.1705	12.6343
4.171	13.4583
4.1715	13.4583
4.172	16.0217
4.1725	25.5432
4.173	23.5291
4.1735	27.6489
4.174	16.3879
4.1745	15.6555
4.175	14.1907
4.1755	19.6838
4.176	11.6272
4.1765	22.522
4.177	23.5291
4.1775	20.3247
4.178	25.177
4.1785	25.9094
4.179	22.4304
4.1795	28.1982
4.18	26.9165
4.1805	28.2898
4.181	21.5149
4.1815	28.5645
4.182	24.4446
4.1825	20.1416
4.183	20.05
4.1835	16.571
4.184	20.5994
4.1845	24.353
4.185	17.4866
4.1855	25.2686
4.186	20.05
4.1865	13.916
4.187	21.698
4.1875	22.4304
4.188	21.8811
4.1885	18.219
4.189	20.9656
4.1895	19.7754
4.19	20.3247
4.1905	22.0642
4.191	26.5503
4.1915	28.5645
4.192	28.2898
4.1925	23.1628
4.193	23.4375
4.1935	22.9797
4.194	18.4937
4.1945	23.1628
4.195	22.2473
4.1955	22.522
4.196	21.8811
4.1965	18.6768
4.197	18.5852
4.1975	15.4724
4.198	31.4941
4.1985	29.2969
4.199	27.3743
4.1995	37.262
4.2	25.8179
4.2005	26.2756
4.201	31.311
4.2015	25.177
4.202	28.1067
4.2025	22.9797
4.203	24.0784
4.2035	19.6838
4.204	25.7263
4.2045	26.0925
4.205	21.698
4.2055	23.8953
4.206	22.0642
4.2065	23.5291
4.207	18.0359
4.2075	18.9514
4.208	14.9231
4.2085	13.4583
4.209	24.2615
4.2095	27.3743
4.21	18.3105
4.2105	22.3389
4.211	28.1982
4.2115	25.7263
4.212	15.564
4.2125	18.5852
4.213	19.043
4.2135	18.5852
4.214	21.5149
4.2145	13.4583
4.215	17.3035
4.2155	20.2332
4.216	15.6555
4.2165	14.74
4.217	18.9514
4.2175	10.1624
4.218	19.3176
4.2185	23.4375
4.219	12.5427
4.2195	22.6135
4.22	14.1907
4.2205	19.3176
4.221	15.7471
4.2215	15.7471
4.222	11.5356
4.2225	19.6838
4.223	21.9727
4.2235	17.7612
4.224	20.5078
4.2245	18.1274
4.225	22.1558
4.2255	21.4233
4.226	16.7542
4.2265	16.9373
4.227	18.9514
4.2275	14.4653
4.228	15.6555
4.2285	15.4724
4.229	13.8245
4.2295	20.2332
4.23	19.1345
4.2305	19.7754
4.231	19.9585
4.2315	13.4583
4.232	15.0146
4.2325	14.8315
4.233	9.4299
4.2335	9.1553
4.234	12.3596
4.2345	7.2327
4.235	8.8806
4.2355	9.3384
4.236	6.7749
4.2365	8.606
4.237	14.9231
4.2375	15.2893
4.238	17.5781
4.2385	15.6555
4.239	28.4729
4.2395	28.3813
4.24	25.0854
4.2405	36.8042
4.241	31.0364
4.2415	26.4587
4.242	33.1421
4.2425	36.7126
4.243	32.5012
4.2435	32.5928
4.244	31.4026
4.2445	30.7617
4.245	23.9868
4.2455	25.5432
4.246	21.6064
4.2465	23.3459
4.247	17.4866
4.2475	9.0637
4.248	7.1411
4.2485	11.1694
4.249	2.8381
4.2495	5.127
4.25	14.4653
4.2505	1.9226
4.251	-2.2888
4.2515	-0.6409
4.252	-0.7324
4.2525	7.9651
4.253	7.4158
4.2535	7.8735
4.254	1.9226
4.2545	7.6904
4.255	14.0076
4.2555	10.0708
4.256	8.0566
4.2565	15.1062
4.257	22.2473
4.2575	13.6414
4.258	6.7749
4.2585	10.1624
4.259	7.5989
4.2595	22.6135
4.26	23.0713
4.2605	30.3955
4.261	23.8953
4.2615	25.4517
4.262	20.05
4.2625	14.1907
4.263	17.1204
4.2635	6.8665
4.264	5.6763
4.2645	1.7395
4.265	-2.655
4.2655	1.7395
4.266	-4.8523
4.2665	-10.0708
4.267	-17.6697
4.2675	-0.2747
4.268	-2.0142
4.2685	2.1057
4.269	11.4441
4.2695	15.1062
4.27	18.0359
4.2705	12.6343
4.271	26.001
4.2715	26.5503
4.272	32.7759
4.2725	14.9231
4.273	0.824
4.2735	-5.9509
4.274	-6.5002
4.2745	1.6479
4.275	-1.1902
4.2755	4.6692
4.276	20.9656
4.2765	32.8674
4.277	47.2412
4.2775	48.5229
4.278	51.5442
4.2785	41.6565
4.279	36.8042
4.2795	33.8745
4.28	19.9585
4.2805	13.5498
4.281	0.4578
4.2815	-1.3733
4.282	-14.2822
4.2825	-23.2544
4.283	-19.8669
4.2835	-14.3738
4.284	-12.8174
4.2845	-0.5493
4.285	-2.655
4.2855	11.3525
4.286	24.2615
4.2865	18.1274
4.287	37.6282
4.2875	27.0081
4.288	20.2332
4.2885	15.8386
4.289	-2.3804
4.2895	-8.3313
4.29	-1.6479
4.2905	4.4861
4.291	1.9226
