Magnetic Field (Tesla)	ODEPR Signal
9000	-0.0012052094
9010	-0.0011844424
9020	-0.001192161
9030	-0.0012095636
9040	-0.0012184836
9050	-0.0012003503
9060	-0.0012036566
9070	-0.0012143503
9080	-0.0012177964
9090	-0.0012125972
9100	-0.0011998357
9110	-0.0011925303
9120	-0.0011943541
9130	-0.0011990318
9140	-0.0012089726
9150	-0.001199493
9160	-0.0012009063
9170	-0.0012170643
9180	-0.0012164262
9190	-0.0012121739
9200	-0.0012066098
9210	-0.0012134802
9220	-0.0012011285
9230	-0.0011885454
9240	-0.0011863149
9250	-0.0011867898
9260	-0.0012097815
9270	-0.0012006762
9280	-0.0012046084
9290	-0.0012048601
9300	-0.0012028362
9310	-0.0012135238
9320	-0.0012123393
9330	-0.0012040649
9340	-0.0011926491
9350	-0.0012458545
9360	-0.001196292
9370	-0.0011987615
9380	-0.0011883
9390	-0.001205277
9400	-0.0012110244
9410	-0.0011899212
9420	-0.0011901983
9430	-0.0011854315
9440	-0.0012060375
9450	-0.0012189573
9460	-0.001213206
9470	-0.0012182507
9480	-0.0012097349
9490	-0.0012075399
9500	-0.0011927115
9510	-0.0012035183
9520	-0.0011939964
9530	-0.0011931283
9540	-0.0012032541
9550	-0.0012130609
9560	-0.0012232575
9570	-0.001212607
9580	-0.001211111
9590	-0.0012219217
9600	-0.0012227073
9610	-0.0012160812
9620	-0.0012026524
9630	-0.0012077864
9640	-0.0012060692
9650	-0.0012035255
9660	-0.0012032166
9670	-0.0012116856
9680	-0.0012084052
9690	-0.0012112833
9700	-0.0012055672
9710	-0.0012022183
9720	-0.0012043953
9730	-0.0011929919
9740	-0.0012029942
9750	-0.0011972571
9760	-0.0012103197
9770	-0.0012099731
9780	-0.0011997841
9790	-0.0012104178
9800	-0.0012213986
9810	-0.0012095428
9820	-0.0011924039
9830	-0.001193184
9840	-0.0011907254
9850	-0.0011883131
9860	-0.0011771805
9870	-0.0011957798
9880	-0.0011993198
9890	-0.0011883144
9900	-0.0011989252
