Channel	Sawtooth Signal	Response
1	0	0.01111
2	0	0.02857
3	0	0.06573
4	0	0.13534
5	0	0.24935
6	0	0.41111
7	0	0.60653
8	0	0.80074
9	0	0.94596
10	0	1
11	0	0.98985
12	0	0.96001
13	0	0.91225
14	0	0.84937
15	0	0.77484
16	0	0.69257
17	0	0.60653
18	0	0.52045
19	0	0.43756
20	0	0.36045
21	0	0.29092
22	0	0.23007
23	0	0.17826
24	0	0.13534
25	0	0.10067
26	0	0.07337
27	0	0.05239
28	0	0.03666
29	0	0.02513
30	0	0.01688
31	3.86667	0.01111
32	3.73333	0.00716
33	3.6	0.00453
34	3.46667	0.0028
35	3.33333	0.0017
36	3.2	0.00101
37	3.06667	5.88005E-4
38	2.93333	3.35463E-4
39	2.8	1.87519E-4
40	2.66667	1.02703E-4
41	2.53333	5.51131E-5
42	2.4	2.89778E-5
43	2.26667	1.49284E-5
44	2.13333	7.53525E-6
45	2	3.72665E-6
46	1.86667	1.80583E-6
47	1.73333	8.57377E-7
48	1.6	3.98845E-7
49	1.46667	1.81791E-7
50	1.33333	8.11859E-8
51	1.2	3.55239E-8
52	1.06667	1.52303E-8
53	0.93333	6.39817E-9
54	0.8	2.63321E-9
55	0.66667	1.06184E-9
56	0.53333	4.19551E-10
57	0.4	1.62423E-10
58	0.26667	6.16096E-11
59	0.13333	2.28973E-11
60	0	8.33795E-12
61	0	2.97488E-12
62	0	1.03996E-12
63	0	3.56207E-13
64	0	1.19543E-13
65	0	3.93081E-14
66	0	1.26642E-14
67	0	3.99768E-15
68	0	1.23645E-15
69	0	3.74699E-16
70	0	1.11256E-16
71	0	3.23671E-17
72	0	9.22615E-18
73	0	2.57676E-18
74	0	7.0512E-19
75	0	1.89056E-19
76	0	4.96653E-20
77	0	1.27836E-20
78	0	3.22397E-21
79	0	7.96645E-22
80	0	1.92875E-22
81	0	4.57534E-23
82	0	1.06343E-23
83	0	2.42175E-24
84	0	5.40366E-25
85	0	1.18136E-25
86	0	2.53055E-26
87	0	5.31109E-27
88	0	1.09217E-27
89	0	2.20055E-28
90	3	4.34422E-29
91	2.85	8.40287E-30
92	2.7	1.5925E-30
93	2.55	2.95713E-31
94	2.4	5.38019E-32
95	2.25	9.59093E-33
96	2.1	1.67518E-33
97	1.95	2.86681E-34
98	1.8	4.80699E-35
99	1.65	7.89739E-36
100	1.5	1.27125E-36
101	1.35	2.00501E-37
102	1.2	3.0984E-38
103	1.05	4.69133E-39
104	0.9	6.95971E-40
105	0.75	1.01163E-40
106	0.6	1.44076E-41
107	0.45	2.01047E-42
108	0.3	2.74879E-43
109	0.15	3.68231E-44
110	0	4.83322E-45
111	0	6.21569E-46
112	0	7.83213E-47
113	0	9.66956E-48
114	0	1.16969E-48
115	0	1.38634E-49
116	0	1.60993E-50
117	0	1.83182E-51
118	0	2.04218E-52
119	0	2.2307E-53
120	0	2.38741E-54
121	0	2.5035E-55
122	0	2.57221E-56
123	0	2.58941E-57
124	0	2.55408E-58
125	0	2.46833E-59
126	0	2.33727E-60
127	0	2.16846E-61
128	0	1.9712E-62
129	0	1.75569E-63
130	0	1.53215E-64
131	0	1.31006E-65
132	0	1.09753E-66
133	0	9.0091E-68
134	0	7.24573E-69
135	0	5.70978E-70
136	0	4.40853E-71
137	0	3.33507E-72
138	0	2.47203E-73
139	0	1.7953E-74
140	0	1.2775E-75
141	0	8.90673E-77
142	0	6.08434E-78
143	0	4.07236E-79
144	0	2.67064E-80
145	0	1.71602E-81
146	0	1.08035E-82
147	0	6.66413E-84
148	0	4.02773E-85
149	0	2.38514E-86
150	2	1.3839E-87
151	1.8	7.86739E-89
152	1.6	4.38222E-90
153	1.4	2.39164E-91
154	1.2	1.27889E-92
155	1	6.7005E-94
156	0.8	3.43968E-95
157	0.6	1.73008E-96
158	0.4	8.52613E-98
159	0.2	4.11693E-99
160	0	1.94775E-100
161	0	9.02875E-102
162	0	4.10072E-103
163	0	1.82486E-104
164	0	7.95674E-106
165	0	3.39921E-107
166	0	1.42285E-108
167	0	5.83545E-110
168	0	2.34492E-111
169	0	9.23248E-113
170	0	3.5616E-114
171	0	1.3462E-115
172	0	4.98552E-117
173	0	1.80904E-118
174	0	6.43165E-120
175	0	2.24044E-121
176	0	7.64684E-123
177	0	2.55722E-124
178	0	8.37894E-126
179	0	2.68997E-127
180	0	8.46143E-129
181	0	2.60781E-130
182	0	7.87491E-132
183	0	2.32998E-133
184	0	6.75452E-135
185	0	1.91856E-136
186	0	5.33938E-138
187	0	1.45594E-139
188	0	3.88987E-141
189	0	1.01827E-142
190	0	2.61172E-144
191	0	6.56338E-146
192	0	1.61609E-147
193	0	3.89888E-149
194	0	9.21619E-151
195	0	2.13452E-152
196	0	4.84378E-154
197	0	1.07698E-155
198	0	2.3462E-157
199	0	5.00797E-159
200	0	1.04736E-160
201	0	--
202	0	--
203	0	--
204	0	--
205	0	--
206	0	--
207	0	--
208	0	--
209	0	--
210	0	--
211	0	--
212	0	--
213	0	--
214	0	--
215	0	--
216	0	--
217	0	--
218	0	--
219	0	--
220	0	--
221	0	--
222	0	--
223	0	--
224	0	--
225	0	--
226	0	--
227	0	--
228	0	--
229	0	--
230	0	--
231	0	--
232	0	--
233	0	--
234	0	--
235	0	--
236	0	--
237	0	--
238	0	--
239	0	--
