Time	Amplitude
(sec)	(a.u.)
0.010	1.011
0.011	1.035
0.012	1.059
0.013	1.082
0.014	1.106
0.015	1.130
0.016	1.154
0.017	1.178
0.018	1.204
0.019	1.230
0.020	1.256
0.021	1.282
0.022	1.308
0.023	1.334
0.024	1.360
0.025	1.388
0.026	1.416
0.027	1.444
0.028	1.472
0.029	1.499
0.030	1.527
0.031	1.555
0.032	1.585
0.033	2.300
0.034	2.200
0.035	1.672
0.036	1.701
0.037	1.730
0.038	1.760
0.039	1.790
0.040	1.820
0.041	1.850
0.042	1.880
0.043	1.910
0.044	1.940
0.045	1.971
0.046	2.001
0.047	2.032
0.048	2.063
0.049	2.093
0.050	2.124
0.051	2.154
0.052	2.185
0.053	2.216
0.054	2.246
0.055	2.277
0.056	2.307
0.057	2.338
0.058	2.369
0.059	2.399
0.060	2.429
0.061	2.459
0.062	2.489
0.063	2.520
0.064	2.550
0.065	2.580
0.066	2.609
0.067	2.639
0.068	2.668
0.069	2.698
0.070	2.727
0.071	2.756
0.072	2.786
0.073	2.814
0.074	2.842
0.075	2.870
0.076	2.898
0.077	2.927
0.078	2.955
0.079	2.982
0.080	3.009
0.081	3.036
0.082	3.063
0.083	3.089
0.084	3.116
0.085	3.143
0.086	3.169
0.087	3.194
0.088	3.219
0.089	3.244
0.090	3.268
0.091	3.293
0.092	3.318
0.093	3.342
0.094	3.365
0.095	3.388
0.096	3.411
0.097	3.434
0.098	3.457
0.099	3.480
0.100	3.502
0.101	3.523
0.102	3.544
0.103	3.565
0.104	3.586
0.105	3.607
0.106	3.628
0.107	3.647
0.108	3.666
0.109	3.685
0.110	3.703
0.111	3.722
0.112	3.741
0.113	3.760
0.114	3.777
0.115	3.793
0.116	3.810
0.117	3.827
0.118	3.844
0.119	3.861
0.120	3.877
0.121	3.892
0.122	3.907
0.123	3.921
0.124	3.936
0.125	3.951
0.126	3.966
0.127	3.980
0.128	3.993
0.129	4.005
0.130	4.018
0.131	4.031
0.132	4.044
0.133	4.057
0.134	4.069
0.135	4.080
0.136	4.091
0.137	4.102
0.138	4.114
0.139	4.125
