Time	Amplitude
1	0.24471
2	0.43074
3	0.51375
4	0.47465
5	0.32423
6	0.10056
7	-0.1404
8	-0.33841
9	-0.44378
10	-0.42948
11	-0.2978
12	-0.07974
13	0.17251
14	0.39844
15	0.54393
16	0.57459
17	0.48414
18	0.29594
19	0.05728
20	-0.17218
21	-0.33504
22	-0.39022
23	-0.32298
24	-0.14857
25	0.09151
26	0.33972
27	0.53648
28	0.63485
29	0.61194
30	0.47458
31	0.25761
32	0.01537
33	-0.19164
34	-0.31152
35	-0.3137
36	-0.19646
37	0.01271
38	0.2638
39	0.49654
40	0.65514
41	0.70198
42	0.62679
43	0.44917
44	0.2138
45	-0.02048
46	-0.19513
47	-0.2662
48	-0.21509
49	-0.05312
50	0.18123
51	0.43177
52	0.63836
53	0.75159
54	0.74492
55	0.62117
56	0.41181
57	0.16928
58	-0.04586
59	-0.17978
60	-0.1985
61	-0.09627
62	0.10304
63	0.3518
64	0.59028
65	0.76124
66	0.824
67	0.76434
68	0.59803
69	0.36694
70	0.12881
71	-0.05692
72	-0.14362
73	-0.10891
74	0.03985
75	0.26737
76	0.5191
77	0.73455
78	0.86209
79	0.87163
80	0.76197
81	0.56109
82	0.3193
83	0.09691
84	-0.0505
85	-0.08572
86	9.83431E-4
87	0.1895
88	0.43479
89	0.6779
90	0.86042
91	0.93876
92	0.89484
93	0.74052
94	0.51467
95	0.27369
96	0.07765
97	-0.02435
98	-0.00625
99	0.12859
100	0.34824
101	0.59999
102	0.82329
103	0.96453
104	0.99019
105	0.89507
106	0.7035
107	0.46345
108	0.23474
109	0.07443
110	0.02281
111	0.09356
112	0.27041
113	0.51109
114	0.75771
115	0.95093
116	1.04446
117	1.01643
118	0.87473
119	0.65507
120	0.41224
121	0.20671
122	0.08981
123	0.09116
124	0.21144
125	0.4222
126	0.67282
127	0.90294
128	1.05721
129	1.09883
130	1.0186
131	0.83714
132	0.59984
133	0.36578
134	0.19323
135	0.12539
136	0.17983
137	0.34418
138	0.57914
139	0.82815
140	1.03116
141	1.13943
142	1.12736
143	0.99886
144	0.7863
145	0.54265
146	0.32848
147	0.19715
148	0.18171
149	0.28686
150	0.48775
151	0.73609
152	0.97198
153	1.13854
154	1.1959
155	1.13087
156	0.96027
157	0.72673
158	0.4883
159	0.30422
160	0.22041
161	0.25826
162	0.40934
163	0.63752
164	0.88776
165	1.09964
166	1.22211
167	1.22602
168	1.11124
169	0.90668
170	0.66324
171	0.44134
172	0.29611
173	0.26391
174	0.35342
175	0.54351
176	0.78844
177	1.02901
178	1.20711
179	1.2799
180	1.23033
181	1.07129
182	0.8425
183	0.60071
184	0.40587
185	0.30643
186	0.32748
187	0.46459
188	0.68493
189	0.93527
190	1.15505
191	1.29115
192	1.31099
193	1.21039
194	1.01469
195	0.7725
196	0.54381
197	0.38528
198	0.33642
199	0.40986
200	0.58829
201	0.82868
202	1.07284
203	1.26165
204	1.34952
205	1.31559
206	1.16879
207	0.94571
208	0.70159
209	0.49682
210	0.38216
211	0.38628
212	0.50878
213	0.72028
214	0.96959
215	1.19626
216	1.34537
217	1.381
218	1.295
219	1.10899
220	0.86909
221	0.63457
222	0.46342
223	0.39809
224	0.4551
225	0.62105
226	0.85582
227	1.10247
228	1.30112
229	1.40366
230	1.38548
231	1.25154
232	1.03513
233	0.78973
234	0.5759
235	0.44648
236	0.43363
237	0.54096
238	0.74267
239	0.98981
240	1.22234
241	1.38378
242	1.43502
243	1.36398
244	1.18846
245	0.95186
246	0.71254
247	0.52949
248	0.44794
249	0.48826
250	0.64096
251	0.86906
252	1.11709
253	1.32469
254	1.44142
255	1.43905
256	1.31853
257	1.10973
258	0.8641
259	0.64213
260	0.49851
261	0.46872
262	0.56038
263	0.75138
264	0.99526
265	1.23261
266	1.40563
267	1.47225
268	1.41645
269	1.25217
270	1.01991
271	0.77681
272	0.58265
273	0.48523
274	0.50865
275	0.64743
276	0.86783
277	1.11612
278	1.33174
279	1.46213
280	1.47557
281	1.36899
282	1.16869
283	0.9239
284	0.69475
285	0.53754
286	0.49093
287	0.56651
288	0.74595
289	0.98547
290	1.22659
291	1.41042
292	1.4921
293	1.45178
294	1.29945
295	1.07253
296	0.82671
297	0.62229
298	0.50941
299	0.51583
300	0.64006
301	0.85177
302	1.09923
303	1.32191
304	1.46537
305	1.49455
306	1.40237
307	1.21144
308	0.96857
309	0.73324
310	0.56313
311	0.49989
312	0.55905
313	0.72612
314	0.96023
315	1.20404
316	1.39787
317	1.49425
318	1.46958
319	1.32986
320	1.10929
321	0.86183
322	0.64803
323	0.52019
324	0.50956
325	0.61869
326	0.82079
327	1.06632
328	1.29507
329	1.45097
330	1.49576
331	1.41838
332	1.23767
333	0.99777
334	0.75731
335	0.57504
336	0.49546
337	0.53792
338	0.6919
339	0.91955
340	1.16499
341	1.36796
342	1.47862
343	1.4697
344	1.34322
345	1.12996
346	0.88195
347	0.65972
348	0.51749
349	0.48987
350	0.58342
351	0.77502
352	1.01753
353	1.25136
354	1.41902
355	1.47922
356	1.41698
357	1.24729
358	1.01143
359	0.76689
360	0.57327
361	0.4777
362	0.5033
363	0.64351
364	0.86372
365	1.1097
366	1.32093
367	1.44539
368	1.45228
369	1.33959
370	1.13459
371	0.88713
372	0.65746
373	0.50147
374	0.45699
375	0.53455
376	0.71481
377	0.95326
378	1.19114
379	1.36984
380	1.4452
381	1.39839
382	1.24047
383	1.00971
384	0.76218
385	0.55807
386	0.44695
387	0.45558
388	0.58142
389	0.79322
390	1.03869
391	1.25726
392	1.39498
393	1.41765
394	1.31927
395	1.12345
396	0.87765
397	0.64157
398	0.47251
399	0.41139
400	0.47265
401	0.6408
402	0.87415
403	1.11505
404	1.304
405	1.39421
406	1.36306
407	1.21763
408	0.99299
409	0.74358
410	0.52991
411	0.40374
412	0.39539
413	0.50632
414	0.70881
415	0.95269
416	1.17767
417	1.32806
418	1.36645
419	1.28283
420	1.09707
421	0.85403
422	0.61259
423	0.43125
424	0.35377
425	0.39848
426	0.55379
427	0.78104
428	1.02393
429	1.22234
430	1.32702
431	1.31169
432	1.17941
433	0.96191
434	0.71174
435	0.48948
436	0.34884
437	0.32356
438	0.41913
439	0.61144
440	0.8527
441	1.08311
442	1.24554
443	1.2995
444	1.23104
445	1.05619
446	0.81701
447	0.57131
448	0.37851
449	0.28504
450	0.31303
451	0.45486
452	0.67503
453	0.91887
454	1.12588
455	1.24461
456	1.24519
457	1.12669
458	0.91731
459	0.66752
460	0.43767
461	0.28322
462	0.24116
463	0.32098
464	0.50229
465	0.73989
466	0.97475
467	1.14855
468	1.21787
469	1.16491
470	1.00177
471	0.76753
472	0.51869
473	0.31531
474	0.2063
475	0.21748
476	0.34524
477	0.5574
478	0.80115
479	1.0159
480	1.14819
481	1.16471
482	1.06054
483	0.86025
484	0.61198
485	0.37559
486	0.20804
487	0.14942
488	0.21317
489	0.38273
490	0.61566
491	0.85398
492	1.03841
493	1.12284
494	1.08564
495	0.93497
496	0.70675
497	0.4559
498	0.24287
499	0.11884
500	0.11321
501	0.22637
502	0.42963
503	0.67225
504	0.89384
505	1.03914
506	1.07158
507	0.98223
508	0.79196
509	0.54633
510	0.30449
511	0.12462
512	0.04975
513	0.09719
514	0.25429
515	0.48157
516	0.72235
517	0.91664
518	1.01584
519	0.99462
520	0.85712
521	0.63597
522	0.38427
523	0.16257
524	0.02412
525	0.00173
526	0.09984
527	0.29336
528	0.53383
529	0.76131
530	0.91904
531	0.9673
532	0.89322
533	0.71384
534	0.47199
535	0.2258
536	0.03446
537	-0.05629
538	-0.02532
539	0.11868
540	0.33936
541	0.58158
542	0.78492
543	0.8985
544	0.89339
545	0.76973
546	0.55667
547	0.30526
548	0.07593
549	-0.0763
550	-0.11528
551	-0.03261
552	0.15036
553	0.38767
554	0.6201
555	0.7896
556	0.85352
557	0.79508
558	0.62743
559	0.39048
560	0.14108
561	-0.06085
562	-0.16703
563	-0.15261
564	-0.0223
565	0.19086
566	0.4335
567	0.64506
568	0.77257
569	0.78365
570	0.67441
571	0.47043
572	0.22048
573	-0.01543
574	-0.1807
575	-0.23606
576	-0.16913
577	0.00252
578	0.23569
579	0.47209
580	0.65267
581	0.73203
582	0.68954
583	0.53441
584	0.30345
585	0.05199
586	-0.15958
587	-0.28067
588	-0.28283
589	-0.16671
590	0.03803
591	0.28008
592	0.49898
593	0.63991
594	0.66719
595	0.57291
596	0.37896
597	0.13161
598	-0.10978
599	-0.28732
600	-0.35876
601	-0.30781
602	-0.14817
603	0.07987
604	0.31927
605	0.51019
606	0.60468
607	0.57838
608	0.43652
609	0.21261
610	-0.03974
611	-0.25997
612	-0.39538
613	-0.41403
614	-0.31259
615	-0.1171
616	0.12336
617	0.34867
618	0.50247
619	0.54587
620	0.46702
621	0.28401
622	0.04042
623	-0.20533
624	-0.3943
625	-0.48145
626	-0.44666
627	-0.29968
628	-0.0777
629	0.16368
630	0.36416
631	0.47342
632	0.46349
633	0.33557
634	0.11977
635	-0.13232
636	-0.36018
637	-0.50926
638	-0.54428
639	-0.45788
640	-0.27245
641	-0.03461
642	0.1962
643	0.36224
644	0.42163
645	0.35862
646	0.18741
647	-0.0513
648	-0.30028
649	-0.4998
650	-0.60221
651	-0.58368
652	-0.44994
653	-0.23496
654	0.00741
655	0.21662
656	0.34023
657	0.34676
658	0.23341
659	0.02671
660	-0.22394
661	-0.45837
662	-0.62041
663	-0.67158
664	-0.60056
665	-0.42595
666	-0.19171
667	0.04363
668	0.22123
669	0.29641
670	0.24956
671	0.09097
672	-0.14175
673	-0.39281
674	-0.60193
675	-0.71911
676	-0.71685
677	-0.59689
678	-0.3898
679	-0.14746
680	0.06961
681	0.20708
682	0.23011
683	0.13187
684	-0.06475
685	-0.3128
686	-0.55272
687	-0.72695
688	-0.79399
689	-0.73861
690	-0.57554
691	-0.34586
692	-0.10698
693	0.08145
694	0.17215
695	0.14173
696	-0.0035
697	-0.22915
698	-0.48112
699	-0.69888
700	-0.83025
701	-0.84422
702	-0.73852
703	-0.54017
704	-0.29887
705	-0.07483
706	0.07594
707	0.11541
708	0.03278
709	-0.15285
710	-0.39716
711	-0.64146
712	-0.82705
713	-0.90962
714	-0.87007
715	-0.71919
716	-0.49504
717	-0.25361
718	-0.05512
719	0.05074
720	0.03694
721	-0.09424
722	-0.31177
723	-0.5635
724	-0.78887
725	-0.9338
726	-0.9639
727	-0.87286
728	-0.68407
729	-0.44482
730	-0.21476
731	-0.05129
732	0.0045
733	-0.06212
734	-0.23588
735	-0.47532
736	-0.72287
737	-0.91896
738	-1.01663
739	-0.99303
740	-0.85497
741	-0.63729
742	-0.39432
743	-0.18659
744	-0.06599
745	-0.06306
746	-0.17955
747	-0.38796
748	-0.63828
749	-0.87023
750	-1.02804
751	-1.07407
752	-0.99806
753	-0.81961
754	-0.58342
755	-0.34829
756	-0.1728
757	-0.10088
758	-0.15113
759	-0.31223
760	-0.5457
761	-0.79535
762	-1.00103
763	-1.11333
764	-1.10574
765	-0.98105
766	-0.77075
767	-0.52727
768	-0.31117
769	-0.1763
770	-0.15661
