Time	
m	
0	1.00659
0.3	1.07789
0.6	1.08462
0.9	1.0921
1.2	1.08685
1.5	0.96549
1.8	1.05783
2.1	1.01263
2.4	1.07163
2.7	1.04738
3	0.99481
3.3	0.96609
3.6	0.88679
3.9	0.98754
4.2	1.13752
4.5	1.13027
4.8	1.23069
5.1	1.36872
5.4	1.80103
5.7	2.32539
6	2.98544
6.3	4.0925
6.6	5.55315
6.9	7.20071
7.2	8.82645
7.5	10.07475
7.8	11.3709
8.1	12.15096
8.4	12.24601
8.7	11.68935
9	10.76298
9.3	9.26297
9.6	7.48899
9.9	5.96916
10.2	4.47932
10.5	3.55191
10.8	2.63586
11.1	2.18874
11.4	1.89206
11.7	1.97334
12	2.18139
12.3	2.76876
12.6	3.53491
12.9	4.80286
13.2	6.19285
13.5	8.05384
13.8	10.16024
14.1	12.44761
14.4	14.13025
14.7	15.86222
15	17.15103
15.3	18.18724
15.6	18.88642
15.9	18.89327
16.2	18.64264
16.5	18.32363
16.8	17.70355
17.1	17.27598
17.4	16.73484
17.7	16.74165
18	16.83247
18.3	17.35535
18.6	18.05649
18.9	18.7526
19.2	19.33642
19.5	19.49044
19.8	19.26619
20.1	19.14087
20.4	18.49113
20.7	17.68591
21	17.02749
21.3	16.25258
21.6	15.72964
21.9	15.25099
22.2	14.57823
22.5	13.89663
22.8	12.83251
23.1	11.72535
23.4	10.21592
23.7	8.53135
24	6.87327
24.3	5.27331
24.6	4.05382
24.9	2.98565
25.2	2.25901
25.5	1.72948
25.8	1.42043
26.1	1.25095
26.4	1.19361
26.7	1.09859
27	0.97997
27.3	0.93228
27.6	1.005
27.9	1.02354
28.2	0.91521
28.5	1.03965
28.8	0.84422
29.1	0.91466
29.4	1.01821
29.7	0.876
30	1.04236
