Time	Normalized Value
m	
0	1.2838
0.0167	1.2839
0.0333	1.2891
0.05	1.2943
0.0667	1.3023
0.0833	1.311
0.1	1.317
0.1167	1.318
0.1333	1.318
0.15	1.3242
0.1667	1.3324
0.1833	1.3328
0.2	1.333
0.2167	1.3443
0.2333	1.3556
0.25	1.3585
0.2667	1.3576
0.2833	1.3529
0.3	1.3422
0.3167	1.3284
0.3333	1.3155
0.35	1.3108
0.3667	1.3149
0.3833	1.3169
0.4	1.3168
0.4167	1.3171
0.4333	1.3176
0.45	1.316
0.4667	1.3114
0.4833	1.3097
0.5	1.3092
0.5167	1.307
0.5333	1.3052
0.55	1.3062
0.5667	1.307
0.5833	1.3057
0.6	1.3101
0.6167	1.3206
0.6333	1.3208
0.65	1.3125
0.6667	1.3088
0.6833	1.3088
0.7	1.3079
0.7167	1.3059
0.7333	1.3049
0.75	1.3094
0.7667	1.3149
0.7833	1.3159
0.8	1.3171
0.8167	1.3207
0.8333	1.3221
0.85	1.3206
0.8667	1.3214
0.8833	1.3228
0.9	1.3209
0.9167	1.3185
0.9333	1.3182
0.95	1.3231
0.9667	1.3303
0.9833	1.3327
1	1.3315
1.0167	1.3252
1.0333	1.3152
1.05	1.3089
1.0667	1.3068
1.0833	1.3049
1.1	1.3
1.1167	1.2924
1.1333	1.2846
1.15	1.2792
1.1667	1.2757
1.1833	1.2729
1.2	1.2729
1.2167	1.2753
1.2333	1.2767
1.25	1.278
1.2667	1.283
1.2833	1.2922
1.3	1.3022
1.3167	1.307
1.3333	1.3027
1.35	1.2979
1.3667	1.2999
1.3833	1.306
1.4	1.3088
1.4167	1.307
1.4333	1.3077
1.45	1.3144
1.4667	1.321
1.4833	1.3235
1.5	1.3188
1.5167	1.3084
1.5333	1.3001
1.55	1.2979
1.5667	1.3005
1.5833	1.3014
1.6	1.3042
1.6167	1.3129
1.6333	1.3203
1.65	1.3239
1.6667	1.3277
1.6833	1.3324
1.7	1.3308
1.7167	1.3236
1.7333	1.3232
1.75	1.3289
1.7667	1.3298
1.7833	1.3298
1.8	1.3306
1.8167	1.3267
1.8333	1.3232
1.85	1.3229
1.8667	1.3196
1.8833	1.3168
1.9	1.3236
1.9167	1.3331
1.9333	1.3356
1.95	1.3384
1.9667	1.3422
1.9833	1.3413
2	1.3394
2.0167	1.3367
2.0333	1.3333
2.05	1.3319
2.0667	1.3263
2.0833	1.3166
2.1	1.3101
2.1167	1.3072
2.1333	1.305
2.15	1.3017
2.1667	1.2941
2.1833	1.2904
2.2	1.2972
2.2167	1.302
2.2333	1.3027
2.25	1.3028
2.2667	1.3083
2.2833	1.3205
2.3	1.328
2.3167	1.3293
2.3333	1.328
2.35	1.3247
2.3667	1.3231
2.3833	1.3271
2.4	1.333
2.4167	1.3377
2.4333	1.3411
2.45	1.3387
2.4667	1.3325
2.4833	1.3307
2.5	1.3316
2.5167	1.3287
2.5333	1.3206
2.55	1.3093
2.5667	1.3
2.5833	1.2934
2.6	1.2877
2.6167	1.2839
2.6333	1.2801
2.65	1.2736
2.6667	1.2716
2.6833	1.2735
2.7	1.2729
2.7167	1.2758
2.7333	1.2842
2.75	1.2922
2.7667	1.2949
2.7833	1.2938
2.8	1.288
2.8167	1.2787
2.8333	1.2725
2.85	1.2747
2.8667	1.2847
2.8833	1.2953
2.9	1.2987
2.9167	1.2983
2.9333	1.2995
2.95	1.304
2.9667	1.3117
2.9833	1.3193
3	1.321
3.0167	1.3153
3.0333	1.3124
3.05	1.3123
3.0667	1.3091
3.0833	1.308
3.1	1.3111
3.1167	1.3145
3.1333	1.318
3.15	1.3201
3.1667	1.3195
3.1833	1.3126
3.2	1.3093
3.2167	1.317
3.2333	1.3236
3.25	1.3234
3.2667	1.3247
3.2833	1.3287
3.3	1.3296
3.3167	1.3274
3.3333	1.327
3.35	1.3254
3.3667	1.3221
3.3833	1.3215
3.4	1.3208
3.4167	1.3222
3.4333	1.328
3.45	1.3371
3.4667	1.3421
3.4833	1.3387
3.5	1.3297
3.5167	1.3162
3.5333	1.3042
3.55	1.301
3.5667	1.3038
3.5833	1.307
3.6	1.31
3.6167	1.3101
3.6333	1.3098
3.65	1.3114
3.6667	1.3119
3.6833	1.3136
3.7	1.317
3.7167	1.3196
3.7333	1.321
3.75	1.3158
3.7667	1.3065
3.7833	1.3058
3.8	1.3078
3.8167	1.3066
3.8333	1.309
3.85	1.3162
3.8667	1.3251
3.8833	1.328
3.9	1.3266
3.9167	1.328
3.9333	1.3257
3.95	1.3194
3.9667	1.3149
3.9833	1.3121
4	1.3112
4.0167	1.3092
4.0333	1.3056
4.05	1.3018
4.0667	1.2961
4.0833	1.2927
4.1	1.2984
4.1167	1.3124
4.1333	1.3197
4.15	1.3135
4.1667	1.3088
4.1833	1.3118
4.2	1.3162
4.2167	1.3154
4.2333	1.3058
4.25	1.2965
4.2667	1.2969
4.2833	1.303
4.3	1.3062
4.3167	1.3104
4.3333	1.3215
4.35	1.3321
4.3667	1.3307
4.3833	1.3183
4.4	1.3094
4.4167	1.3127
4.4333	1.3215
4.45	1.3236
4.4667	1.3215
4.4833	1.3245
4.5	1.3276
4.5167	1.3223
4.5333	1.3166
4.55	1.314
4.5667	1.3149
4.5833	1.3152
4.6	1.3114
4.6167	1.3101
4.6333	1.3133
4.65	1.3155
4.6667	1.3125
4.6833	1.3092
4.7	1.3118
4.7167	1.3171
4.7333	1.3181
4.75	1.3204
4.7667	1.3259
