Magnetic Field	ODEPR Signal
Tesla	
9000	-0.00120520938009738
9010	-0.00118444238385752
9020	-0.00119216101220639
9030	-0.00120956362733178
9040	-0.00121848357138556
9050	-0.00120035027629886
9060	-0.00120365662268362
9070	-0.00121435032638255
9080	-0.00121779636891241
9090	-0.00121259717863105
9100	-0.0011998356654679
9110	-0.0011925302518922
9120	-0.00119435412396735
9130	-0.0011990318213048
9140	-0.00120897255208872
9150	-0.0011994930312604
9160	-0.00120090625923702
9170	-0.00121706427580002
9180	-0.00121642618999296
9190	-0.0012121739415563
9200	-0.00120660975751764
9210	-0.00121348022656099
9220	-0.00120112847988564
9230	-0.00118854535587482
9240	-0.00118631488659549
9250	-0.00118678977766428
9260	-0.00120978145099108
9270	-0.00120067624162288
9280	-0.00120460838376603
9290	-0.00120486011126979
9300	-0.00120283621264044
9310	-0.00121352378349483
9320	-0.00121233933157552
9330	-0.00120406485111498
9340	-0.00119264914169177
9350	-0.0012458545273334
9360	-0.00119629201588459
9370	-0.00119876152280389
9380	-0.00118830003983272
9390	-0.00120527695594968
9400	-0.00121102435169302
9410	-0.00118992119971605
9420	-0.00119019832244089
9430	-0.0011854314705321
9440	-0.0012060375281211
9450	-0.00121895725789405
9460	-0.00121320601306699
9470	-0.00121825071424932
9480	-0.00120973485438205
9490	-0.00120753988618655
9500	-0.00119271148959774
9510	-0.00120351833584934
9520	-0.00119399644236307
9530	-0.0011931282699456
9540	-0.00120325410781411
9550	-0.00121306086722009
9560	-0.00122325749963172
9570	-0.00121260695476571
9580	-0.00121111098002023
9590	-0.00122192171627053
9600	-0.00122270728122004
9610	-0.0012160812098107
9620	-0.0012026524471037
9630	-0.00120778638654588
9640	-0.0012060691533609
9650	-0.00120352553823156
9660	-0.0012032166451486
9670	-0.00121168564992777
9680	-0.00120840519603094
9690	-0.00121128326467281
9700	-0.00120556719937159
9710	-0.0012022182856584
9720	-0.00120439532992837
9730	-0.00119299188068734
9740	-0.00120299421886206
9750	-0.0011972571349136
9760	-0.00121031965405738
9770	-0.00120997312093262
9780	-0.00119978408790937
9790	-0.00121041779855709
9800	-0.00122139858744775
9810	-0.00120954276601934
9820	-0.00119240394464298
9830	-0.00119318395860799
9840	-0.00119072541906353
9850	-0.00118831313878704
9860	-0.00117718050206172
9870	-0.00119577976378406
9880	-0.00119931978499133
9890	-0.00118831435796676
9900	-0.00119892515349182
9910	-0.00120723722310135
9920	-0.0011933244456171
9930	-0.00119809168397188
9940	-0.00120747330566909
9950	-0.00120380101543168
9960	-0.00119816146539518
9970	-0.00119394122351149
9980	-0.00118307023344092
9990	-0.0011862120309252
10000	-0.00119225132642498
10010	-0.00118401479339189
10020	-0.00122148612744109
10030	-0.00120776319127315
10040	-0.00119351654203124
10050	-0.00120256969018173
10060	-0.00118123430797111
10070	-0.00119935476844632
10080	-0.00119971790992714
10090	-0.0012068240932452
10100	-0.00119554390055909
10110	-0.00119481928335461
10120	-0.00118750276876492
10130	-0.0011654332485198
10140	-0.00115978702916966
10150	-0.00116321221665755
10160	-0.00116898192578958
10170	-0.00116724069520289
10180	-0.0011725751540243
10190	-0.00118318452888254
10200	-0.00117920721692199
10210	-0.00118003014957443
10220	-0.00117399500276348
10230	-0.0011696502665562
10240	-0.00116341751718616
10250	-0.00117750003239714
10260	-0.00116363559713215
10270	-0.00117522396154173
10280	-0.00117366408523801
