Wavenumbers	Absorbance/g
cm\+(-1)	
1303.18	232.85714
1305.11	230.3
1307.03	227.02857
1308.96	224.42857
1310.88	221.62857
1312.81	219
1314.73	215.92857
1316.66	213.55714
1318.58	211.11429
1320.51	208.71429
1322.43	206.28571
1324.36	204.22857
1326.28	202.14286
1328.21	199.9
1330.13	197.9
1332.06	195.98571
1333.98	194.11429
1335.91	192.45714
1337.83	190.65714
1339.76	189.02857
1341.68	187.6
1343.61	186.2
1345.53	184.77143
1347.46	183.61429
1349.38	182.35714
1351.31	181.2
1353.23	180.18571
1355.16	179.18571
1357.08	178.14286
1359.01	177.27143
1360.93	176.34286
1362.86	175.61429
1364.78	175
1366.7	174.24286
1368.63	173.57143
1370.55	172.92857
1372.48	172.24286
1374.4	171.7
1376.33	171.28571
1378.25	170.71429
1380.18	170.25714
1382.1	169.67143
1384.03	169.4
1385.95	168.97143
1387.88	168.51429
1389.8	168.38571
1391.73	167.9
1393.65	167.38571
1395.58	167.21429
1397.5	166.97143
1399.43	166.9
1401.35	166.58571
1403.28	166.21429
1405.2	166.07143
1407.13	165.82857
1409.05	165.62857
1410.98	165.31429
1412.9	164.95714
1414.83	164.72857
1416.75	164.32857
1418.68	164.35714
1420.6	164.15714
1422.53	163.87143
1424.45	163.6
1426.38	163.4
1428.3	163.31429
1430.23	162.9
1432.15	162.67143
1434.08	162.27143
1436	162.24286
1437.93	161.91429
1439.85	161.88571
1441.78	161.52857
1443.7	161.45714
1445.63	161.21429
1447.55	161.15714
1449.48	160.85714
1451.4	160.71429
1453.33	160.54286
1455.25	160.41429
1457.18	160.41429
1459.1	160.34286
1461.03	160.05714
1462.95	159.84286
1464.88	159.75714
1466.8	159.65714
1468.73	159.28571
1470.65	159.24286
1472.58	158.9
1474.5	158.77143
1476.43	158.6
1478.35	158.38571
1480.28	158.24286
1482.2	157.84286
1484.13	157.7
1486.05	157.57143
1487.98	157.25714
1489.9	157.07143
1491.83	156.8
1493.75	156.5
1495.68	156.44286
1497.6	156.21429
1499.53	156.01429
1501.45	155.68571
1503.38	155.38571
1505.3	155.17143
1507.23	155.22857
1509.15	155.21429
1511.08	155
1513	154.92857
1514.93	154.74286
1516.85	154.82857
1518.77	154.8
1520.7	155.02857
1522.62	155.08571
1524.55	155.05714
1526.47	155.11429
1528.4	155
1530.32	155.08571
1532.25	155.04286
1534.17	154.97143
1536.1	154.82857
1538.02	154.74286
1539.95	154.6
1541.87	154.62857
1543.8	154.51429
1545.72	154.45714
1547.65	154.27143
1549.57	154.14286
1551.5	153.85714
1553.42	153.75714
1555.35	153.61429
1557.27	153.6
1559.2	153.7
1561.12	153.62857
1563.05	153.6
1564.97	153.51429
1566.9	153.51429
1568.82	153.62857
1570.75	153.71429
1572.67	153.65714
1574.6	153.74286
1576.52	153.85714
1578.45	154.07143
1580.37	154.28571
1582.3	154.35714
1584.22	154.57143
1586.15	154.88571
1588.07	155.2
1590	155.32857
1591.92	155.6
1593.85	155.9
1595.77	156.34286
1597.7	156.64286
1599.62	156.97143
1601.55	157.35714
1603.47	157.65714
1605.4	158
1607.32	158.42857
1609.25	158.75714
1611.17	159.12857
1613.1	159.47143
1615.02	159.91429
1616.95	160.25714
1618.87	160.6
1620.8	160.77143
1622.72	161.14286
1624.65	161.35714
1626.57	161.57143
1628.5	161.82857
1630.42	161.9
1632.35	161.95714
1634.27	162.18571
1636.2	162.42857
1638.12	162.58571
1640.05	162.55714
1641.97	162.61429
1643.9	162.58571
1645.82	162.65714
1647.75	162.57143
1649.67	162.32857
1651.6	162.45714
1653.52	162.52857
1655.45	162.3
1657.37	162.1
1659.3	161.94286
1661.22	161.78571
1663.15	161.58571
1665.07	161.14286
1667	160.98571
1668.92	160.62857
1670.84	160.41429
1672.77	159.98571
1674.69	159.88571
1676.62	159.42857
1678.54	159
1680.47	158.6
1682.39	158.21429
1684.32	157.95714
1686.24	157.54286
1688.17	157.14286
1690.09	156.6
1692.02	156.14286
1693.94	155.67143
1695.87	155.34286
1697.79	154.85714
1699.72	154.71429
1701.64	154.37143
1703.57	154.1
1705.49	153.88571
1707.42	153.71429
1709.34	153.57143
1711.27	153.27143
1713.19	153.18571
1715.12	153
1717.04	153.07143
1718.97	152.98571
1720.89	152.91429
1722.82	152.72857
1724.74	152.57143
1726.67	152.27143
1728.59	151.97143
1730.52	151.65714
1732.44	151.37143
1734.37	151.05714
1736.29	150.68571
1738.22	150.4
1740.14	150.07143
1742.07	149.78571
1743.99	149.57143
1745.92	149.38571
1747.84	149.18571
1749.77	149.2
1751.69	149.15714
1753.62	149.01429
1755.54	149.04286
1757.47	149.12857
1759.39	149.21429
1761.32	149.37143
1763.24	149.52857
1765.17	149.57143
1767.09	149.72857
1769.02	149.91429
1770.94	150.15714
1772.87	150.37143
1774.79	150.58571
1776.72	150.75714
1778.64	150.94286
1780.57	151.17143
1782.49	151.32857
1784.42	151.5
1786.34	151.68571
1788.27	151.91429
1790.19	152.08571
1792.12	152.31429
1794.04	152.52857
1795.97	152.71429
