Nitrite measurement using Nitric Oxide Analyzer
Peaks are formed when tested solutions are injected into the purge vessel
This data corresponds to peaks from standard test solutions

Time	Voltage
0.335932	0.80
0.335935	1.00
0.335938	0.80
0.335941	0.50
0.335944	0.80
0.335947	0.80
0.335950	1.00
0.335952	0.80
0.335955	0.90
0.335958	0.70
0.335961	1.70
0.335964	0.80
0.335967	0.60
0.335970	0.80
0.335973	0.90
0.335976	1.00
0.335978	1.10
0.335981	1.10
0.335984	0.70
0.335987	0.70
0.335990	1.10
0.335993	0.50
0.335996	0.90
0.335999	0.70
0.336002	0.90
0.336005	1.40
0.336007	0.80
0.336010	0.60
0.336013	1.00
0.336016	0.70
0.336019	0.80
0.336022	1.10
0.336025	0.60
0.336028	0.80
0.336031	0.80
0.336033	0.40
0.336036	0.70
0.336039	1.00
0.336042	1.10
0.336045	0.70
0.336048	0.80
0.336051	1.50
0.336054	1.00
0.336057	1.00
0.336059	0.70
0.336062	1.00
0.336065	0.90
0.336068	1.10
0.336071	0.80
0.336074	0.90
0.336077	1.00
0.336080	0.60
0.336083	0.90
0.336086	0.70
0.336088	0.70
0.336091	0.50
0.336094	1.00
0.336097	0.70
0.336100	1.10
0.336103	1.20
0.336106	0.90
0.336109	1.00
0.336112	0.90
0.336114	1.10
0.336117	0.80
0.336120	1.00
0.336123	0.90
0.336126	0.50
0.336129	0.80
0.336132	0.50
0.336135	0.60
0.336138	1.00
0.336141	0.60
0.336143	0.90
0.336146	1.00
0.336149	0.90
0.336152	1.30
0.336155	0.90
0.336158	0.90
0.336161	1.30
0.336164	1.00
0.336167	1.10
0.336169	0.90
0.336172	0.70
0.336175	1.20
0.336178	0.60
0.336181	1.00
0.336184	0.80
0.336187	0.50
0.336190	0.90
0.336193	0.80
0.336195	0.50
0.336198	0.90
0.336201	0.60
0.336204	0.70
0.336207	0.70
0.336210	0.80
0.336213	0.50
0.336216	0.60
0.336219	0.80
0.336222	1.10
0.336224	0.30
0.336227	0.60
0.336230	0.90
0.336233	1.10
0.336236	0.80
0.336239	0.70
0.336242	0.70
0.336245	1.20
0.336248	0.70
0.336250	0.80
0.336253	1.10
0.336256	0.80
0.336259	0.60
0.336262	1.20
0.336265	1.10
0.336268	0.50
0.336271	0.60
0.336274	0.60
0.336277	0.90
0.336279	1.10
0.336282	0.70
0.336285	0.80
0.336288	0.80
0.336291	0.80
0.336294	0.70
0.336297	0.70
0.336300	0.50
0.336303	0.80
0.336305	0.90
0.336308	1.50
0.336311	0.70
0.336314	1.10
0.336317	0.60
0.336320	1.20
0.336323	1.00
0.336326	0.90
0.336329	0.80
0.336331	0.80
0.336334	1.30
0.336337	0.90
0.336340	1.30
0.336343	1.10
0.336346	0.70
0.336349	1.00
0.336352	1.30
0.336355	1.00
0.336358	0.80
0.336360	1.40
0.336363	1.10
0.336366	1.20
0.336369	1.10
0.336372	1.00
0.336375	1.10
0.336378	0.80
0.336381	0.90
0.336384	1.00
0.336386	1.10
0.336389	1.00
0.336392	0.50
