Channel	Amplitude
10	4.24
11	4.16
12	4.09
13	4.02
14	3.95
15	3.89
16	3.81
17	3.74
18	3.66
19	3.59
20	3.52
21	3.45
22	3.38
23	3.31
24	3.24
25	3.18
26	3.11
27	3.05
28	2.99
29	2.93
30	2.87
31	2.81
32	2.75
33	2.70
34	2.64
35	2.59
36	2.54
37	2.49
38	2.44
39	2.39
40	2.34
41	2.29
42	2.25
43	2.20
44	2.16
45	2.11
46	2.07
47	2.03
48	1.99
49	1.95
50	1.92
51	1.88
52	1.84
53	1.81
54	1.77
55	1.74
56	1.70
57	1.67
58	1.64
59	1.61
60	1.58
61	1.55
62	1.52
63	1.49
64	1.47
65	1.44
66	1.42
67	1.39
68	1.37
69	1.35
70	1.32
71	1.30
72	1.28
73	1.26
74	1.24
75	1.22
76	1.21
77	1.19
78	1.17
79	1.16
80	1.15
81	1.14
82	1.13
83	1.11
84	1.10
85	1.10
86	1.10
87	1.10
88	1.11
89	1.12
90	1.15
91	1.19
92	1.25
93	1.32
94	1.43
95	1.64
96	1.78
97	1.98
98	2.15
99	2.32
100	2.44
101	2.61
102	2.66
103	2.67
104	2.62
105	2.54
106	2.31
107	2.16
108	1.94
109	1.74
110	1.53
111	1.36
112	1.12
113	0.98
114	0.88
115	0.80
116	0.75
117	0.71
118	0.67
119	0.65
120	0.63
121	0.61
122	0.59
123	0.59
124	0.58
125	0.58
126	0.58
127	0.58
128	0.58
129	0.58
130	0.58
131	0.58
132	0.58
133	0.58
134	0.57
135	0.57
136	0.56
137	0.55
138	0.54
139	0.53
140	0.51
141	0.50
142	0.49
143	0.48
144	0.47
145	0.46
146	0.44
147	0.43
148	0.42
149	0.41
150	0.40
151	0.39
152	0.38
153	0.37
154	0.36
155	0.36
156	0.35
157	0.35
158	0.34
159	0.34
160	0.34
161	0.33
162	0.33
163	0.33
164	0.32
165	0.31
166	0.31
167	0.30
168	0.29
169	0.28
170	0.27
171	0.27
172	0.26
173	0.26
174	0.25
175	0.25
176	0.25
177	0.25
178	0.25
179	0.25
180	0.24
181	0.23
182	0.22
183	0.21
184	0.20
185	0.22
186	0.21
187	0.20
188	0.20
189	0.19
190	0.17
191	0.17
192	0.17
193	0.16
194	0.16
195	0.15
196	0.15
197	0.14
198	0.14
199	0.13
200	0.13
201	0.12
202	0.12
203	0.11
204	0.11
205	0.10
206	0.10
207	0.10
208	0.09
209	0.07
210	0.07
211	0.07
212	0.07
213	0.07
214	0.07
215	0.07
216	0.07
217	0.07
218	0.07
219	0.07
220	0.07
221	0.06
222	0.06
223	0.06
224	0.06
225	0.06
226	0.06
227	0.06
228	0.06
229	0.06
230	0.05
231	0.05
232	0.05
233	0.05
234	0.04
235	0.04
236	0.04
237	0.04
238	0.03
239	0.03
240	0.02
241	0.02
242	0.02
243	0.01
244	0.01
245	0.01
246	0.00
247	-0.00
248	-0.01
249	-0.02
250	-0.02
251	-0.03
252	-0.04
253	-0.05
254	-0.06
255	-0.07
256	-0.09
257	-0.10
258	-0.12
259	-0.13
260	-0.15
261	-0.17
262	-0.20
263	-0.23
264	-0.28
265	-0.34
266	-0.41
267	-0.50
268	-0.63
269	-0.85
270	-1.01
271	-1.23
272	-1.41
273	-1.60
274	-1.73
275	-1.91
276	-1.98
277	-2.01
278	-1.97
279	-1.90
280	-1.69
281	-1.55
282	-1.33
283	-1.15
284	-0.95
285	-0.79
286	-0.57
287	-0.44
288	-0.35
289	-0.28
290	-0.24
291	-0.21
292	-0.19
293	-0.17
294	-0.16
295	-0.16
296	-0.16
297	-0.16
298	-0.16
299	-0.17
300	-0.18
301	-0.19
302	-0.20
303	-0.22
304	-0.23
305	-0.24
306	-0.25
307	-0.26
308	-0.26
309	-0.26
310	-0.26
311	-0.26
312	-0.26
313	-0.26
314	-0.25
315	-0.25
316	-0.25
317	-0.24
318	-0.24
319	-0.24
320	-0.23
321	-0.23
322	-0.23
323	-0.22
324	-0.21
325	-0.21
326	-0.20
327	-0.19
328	-0.19
329	-0.19
330	-0.18
331	-0.18
332	-0.18
333	-0.18
334	-0.18
335	-0.18
336	-0.18
337	-0.18
338	-0.18
339	-0.17
340	-0.17
341	-0.16
342	-0.16
343	-0.15
344	-0.15
345	-0.14
346	-0.14
347	-0.14
348	-0.13
349	-0.14
350	-0.14
351	-0.13
352	-0.13
353	-0.14
354	-0.15
355	-0.15
