Time	Amp	Base
10	0.15005	0.18868
11	0.15005	0.18582
12	0.15676	0.18296
13	0.16741	0.18011
14	0.17594	0.17725
15	0.18433	0.17439
16	0.17937	0.17153
17	0.1766	0.16868
18	0.17494	0.16582
19	0.16954	0.16296
20	0.16536	0.1601
21	0.16204	0.15724
22	0.15716	0.15439
23	0.15436	0.15153
24	0.15012	0.14867
25	0.14542	0.14581
26	0.142	0.14296
27	0.13693	0.1401
28	0.13215	0.13724
29	0.12863	0.13438
30	0.12519	0.13153
31	0.12128	0.12867
32	0.11804	0.12581
33	0.11492	0.12295
34	0.11178	0.1201
35	0.10719	0.11772
36	0.10522	0.11591
37	0.10138	0.1141
38	0.10003	0.1123
39	0.09466	0.11049
40	0.09244	0.10868
41	0.08973	0.10688
42	0.0875	0.10507
43	0.08714	0.10326
44	0.08337	0.10146
45	0.08138	0.09965
46	0.08174	0.09784
47	0.07969	0.09604
48	0.0783	0.09423
49	0.0776	0.09242
50	0.0761	0.09062
51	0.07544	0.08881
52	0.0756	0.087
53	0.07528	0.0852
54	0.0742	0.08339
55	0.07235	0.08159
56	0.07271	0.07978
57	0.07241	0.07797
58	0.07284	0.07617
59	0.07287	0.07436
60	0.07429	0.07562
61	0.07694	0.07718
62	0.07717	0.07874
63	0.0761	0.08031
64	0.07769	0.08187
65	0.08016	0.08344
66	0.08378	0.085
67	0.08316	0.08657
68	0.08458	0.08813
69	0.08762	0.08969
70	0.08795	0.09126
71	0.09094	0.09282
72	0.09273	0.09439
73	0.0976	0.09595
74	0.09944	0.09751
75	0.1059	0.09908
76	0.11158	0.10064
77	0.11623	0.10221
78	0.12416	0.10377
79	0.13157	0.10533
80	0.14186	0.1069
81	0.15102	0.10846
82	0.15611	0.11003
83	0.16372	0.11159
84	0.17222	0.11345
85	0.18518	0.11581
86	0.2003	0.11818
87	0.22074	0.12055
88	0.24762	0.12291
89	0.28154	0.12528
90	0.32554	0.12765
91	0.38145	0.13001
92	0.45238	0.13238
93	0.54596	0.13475
94	0.66612	0.13711
95	0.89334	0.13948
96	1.04963	0.14185
97	1.26477	0.14421
98	1.44701	0.14658
99	1.63098	0.14895
100	1.7616	0.15131
101	1.94486	0.15368
102	2.01383	0.15605
103	2.03747	0.15841
104	2.00032	0.16078
105	1.92362	0.16315
106	1.71398	0.16551
107	1.57197	0.16788
108	1.36014	0.17025
109	1.17336	0.17101
110	0.97645	0.17142
111	0.81417	0.17183
112	0.59196	0.17223
113	0.46322	0.17264
114	0.36884	0.17305
115	0.30154	0.17346
116	0.2558	0.17387
117	0.22458	0.17427
118	0.20116	0.17468
119	0.18422	0.17509
120	0.172	0.1755
121	0.16428	0.17591
122	0.15858	0.17632
123	0.16077	0.17672
124	0.16252	0.17713
125	0.16784	0.17754
126	0.17479	0.17795
127	0.1834	0.17836
128	0.19204	0.17876
129	0.20127	0.17917
130	0.21107	0.17958
131	0.21858	0.17999
132	0.22459	0.1804
133	0.22935	0.1802
134	0.23121	0.17841
135	0.23198	0.17661
136	0.22962	0.17481
137	0.2283	0.17302
138	0.22454	0.17122
139	0.21721	0.16942
140	0.20969	0.16763
141	0.2046	0.16583
142	0.19864	0.16403
143	0.19167	0.16224
144	0.18621	0.16044
145	0.1813	0.15864
146	0.17485	0.15685
147	0.17042	0.15505
148	0.16534	0.15325
149	0.15959	0.15145
150	0.15428	0.14966
151	0.14767	0.14786
152	0.14213	0.14606
153	0.13735	0.14427
154	0.13373	0.14247
155	0.13141	0.14067
156	0.12952	0.13888
157	0.12869	0.13708
158	0.12917	0.13507
159	0.13039	0.13298
160	0.13192	0.13089
161	0.13414	0.1288
162	0.13538	0.12671
163	0.13525	0.12462
164	0.13272	0.12252
165	0.12928	0.12043
166	0.12527	0.11834
167	0.12202	0.11625
168	0.11638	0.11416
169	0.11146	0.11207
170	0.1066	0.10998
171	0.10339	0.10789
172	0.10193	0.1058
173	0.10062	0.10371
174	0.09948	0.10162
175	0.10141	0.09953
176	0.10256	0.09743
177	0.10299	0.09534
178	0.10408	0.09325
179	0.10664	0.09116
180	0.10292	0.08907
181	0.09796	0.08698
182	0.09268	0.08481
183	0.08601	0.08227
184	0.07779	0.07973
185	0.0966	0.07718
186	0.08976	0.07464
187	0.08572	0.0721
188	0.08014	0.06956
189	0.07175	0.06702
190	0.06298	0.06448
191	0.06129	0.06194
192	0.06074	0.0594
193	0.0563	0.05686
194	0.05315	0.05432
195	0.0509	0.05178
196	0.04701	0.04923
197	0.0453	0.04669
198	0.04208	0.04415
199	0.03836	0.04161
200	0.036	0.03907
201	0.03195	0.03653
202	0.02817	0.03399
203	0.02573	0.03145
204	0.02333	0.02891
205	0.02045	0.02637
206	0.01819	0.02383
207	0.01614	0.0224
208	0.01401	0.02162
209	-0.01043	0.02083
210	-0.00952	0.02004
211	-0.00668	0.01926
212	-0.0064	0.01847
213	-0.00197	0.01768
214	-7.83966E-4	0.0169
215	9.08933E-4	0.01611
216	0.00213	0.01533
217	0.00134	0.01454
218	0.00418	0.01375
219	0.00518	0.01297
220	0.00375	0.01218
221	0.00478	0.0114
222	0.00517	0.01061
223	0.00483	0.00982
224	0.00535	0.00904
225	0.005	0.00825
226	0.0038	0.00746
227	0.00309	0.00668
228	0.00317	0.00589
229	0.00403	0.00511
230	0.00264	0.00432
231	0.0019	0.00342
232	4.35838E-4	0.00139
233	-5.70304E-4	-6.41955E-4
234	-0.00303	-0.00267
235	-0.00675	-0.0047
236	-0.00798	-0.00674
237	-0.00788	-0.00877
238	-0.01048	-0.0108
239	-0.014	-0.01283
240	-0.01868	-0.01486
241	-0.019	-0.01689
242	-0.02141	-0.01893
243	-0.02553	-0.02096
244	-0.02687	-0.02299
245	-0.03089	-0.02502
246	-0.03367	-0.02705
247	-0.0396	-0.02908
248	-0.04234	-0.03111
249	-0.04988	-0.03315
250	-0.05659	-0.03518
251	-0.06222	-0.03721
252	-0.07119	-0.03924
253	-0.07962	-0.04127
254	-0.09096	-0.0433
255	-0.10208	-0.04533
256	-0.11586	-0.0482
257	-0.13188	-0.05177
258	-0.14553	-0.05534
259	-0.1595	-0.05891
260	-0.1756	-0.06248
261	-0.19698	-0.06605
262	-0.22487	-0.06962
263	-0.25977	-0.07319
264	-0.30475	-0.07676
265	-0.36168	-0.08033
266	-0.43349	-0.0839
267	-0.52811	-0.08747
268	-0.64927	-0.09104
269	-0.87746	-0.09461
270	-1.03476	-0.09817
271	-1.25084	-0.10174
272	-1.43404	-0.10531
273	-1.61905	-0.10888
274	-1.75007	-0.11245
275	-1.93393	-0.11602
276	-2.00309	-0.11959
277	-2.02746	-0.12316
278	-1.99036	-0.12673
279	-1.91447	-0.1303
280	-1.70498	-0.13387
281	-1.56365	-0.13664
282	-1.35257	-0.13941
283	-1.16657	-0.14218
284	-0.97042	-0.14495
285	-0.80891	-0.14773
286	-0.58756	-0.1505
287	-0.45959	-0.15327
288	-0.36599	-0.15604
289	-0.29947	-0.15881
290	-0.25452	-0.16158
291	-0.22411	-0.16435
292	-0.20146	-0.16713
293	-0.18536	-0.1699
294	-0.17393	-0.17267
295	-0.1694	-0.17544
296	-0.16913	-0.17821
297	-0.17382	-0.18098
298	-0.17777	-0.18376
299	-0.18554	-0.18653
300	-0.19485	-0.1893
301	-0.20601	-0.19207
302	-0.21689	-0.19484
303	-0.22855	-0.19761
304	-0.24084	-0.20039
305	-0.25076	-0.20176
306	-0.25912	-0.20145
307	-0.26632	-0.20115
308	-0.27063	-0.20084
309	-0.27384	-0.20053
310	-0.27382	-0.20023
311	-0.27492	-0.19992
312	-0.27362	-0.19962
313	-0.26874	-0.19931
314	-0.26349	-0.199
315	-0.26082	-0.1987
316	-0.2573	-0.19839
317	-0.25268	-0.19808
318	-0.24968	-0.19778
319	-0.24722	-0.19747
320	-0.24311	-0.19717
321	-0.24019	-0.19686
322	-0.23401	-0.19655
323	-0.22717	-0.19625
324	-0.22073	-0.19594
325	-0.21303	-0.19564
326	-0.20636	-0.19533
327	-0.20046	-0.19502
328	-0.19572	-0.19472
329	-0.1923	-0.19441
330	-0.18929	-0.19294
331	-0.18735	-0.19136
332	-0.1867	-0.18978
333	-0.1868	-0.18819
334	-0.1872	-0.18661
335	-0.1883	-0.18503
336	-0.18843	-0.18344
337	-0.1872	-0.18186
338	-0.18353	-0.18027
339	-0.17898	-0.17869
340	-0.17385	-0.17711
341	-0.16945	-0.17552
342	-0.16274	-0.17394
343	-0.15668	-0.17236
344	-0.15072	-0.17077
345	-0.14639	-0.16919
346	-0.14379	-0.16761
347	-0.14138	-0.16602
348	-0.13912	-0.16444
349	-0.13994	-0.16285
350	-0.14003	-0.16127
351	-0.1393	-0.15969
352	-0.13929	-0.1581
353	-0.14071	-0.15652
354	-0.14999	-0.15494
355	-0.15907	-0.15335
