A	B
1	6.07922
2	0.57147
3	7.56413
4	8.85219
5	3.90008
6	6.93435
7	0.51322
8	2.53222
9	6.25403
10	4.35501
11	9.61115
12	0.89764
13	4.87202
14	7.39626
15	2.78438
16	2.77224
17	9.56858
18	1.13704
19	0.97803
20	4.56005
21	5.96974
22	7.00359
23	3.72747
24	6.20972
25	16.87089
26	23.9065
27	49.24605
28	73.89133
29	98.84579
30	106.82384
31	96.99951
32	69.27149
33	48.80665
34	20.30905
35	9.61846
36	5.0131
37	6.07972
38	0.75873
39	8.96304
40	2.4699
41	1.09546
42	6.83475
43	0.95085
44	2.88643
45	0.19917
46	5.7935
47	5.02618
48	0.02539
49	0.22019
50	6.47075
51	4.59988
52	4.66514
53	9.08058
54	0.20956
55	3.39319
56	3.35342
57	4.25214
58	8.41908
59	4.60447
60	1.84644
61	2.73422
62	2.75894
63	2.15537
64	7.91789
65	-3.08643
66	-5.43785
67	-15.81353
68	-26.55071
69	-41.74157
70	-44.42742
71	-42.69517
72	-33.16267
73	-18.44098
74	-8.06846
75	-0.3946
76	0.52779
77	4.90111
78	7.15842
79	2.54383
80	2.26248
81	7.15456
82	7.20484
83	4.92319
84	1.88021
85	1.13608
86	9.5926
87	3.43786
88	2.3568
89	1.78018
90	1.32333
91	3.2013
92	9.63105
93	4.05464
94	1.14366
95	8.7073
96	6.95147
97	3.63244
98	4.14299
99	1.19689
100	4.83554
101	4.66426
102	2.68319
103	6.80805
104	1.72351
105	-10.59782
106	-35.21594
107	-81.26409
108	-128.01552
109	-173.83211
110	-190.48095
111	-179.27113
112	-131.91623
113	-79.49781
114	-36.89203
115	-15.67108
116	0.63576
117	6.53593
118	7.06066
119	5.33056
120	3.05357
121	7.30625
122	4.24665
123	4.76445
124	3.68138
125	2.08176
126	7.69923
127	0.10527
128	5.09641
129	4.33732
130	7.21642
131	8.66002
132	1.09523
133	5.79714
134	7.97005
135	9.67507
136	9.0507
137	5.02474
138	1.94568
139	1.56367
140	8.58962
141	9.68327
142	9.30196
143	7.94839
144	5.96522
145	3.59613
146	4.25582
147	2.33532
148	2.00281
149	2.81688
150	8.55205
151	3.93185
152	4.87125
153	8.49709
154	5.58929
155	9.61079
156	0.75069
157	5.79468
158	6.98714
159	9.29795
160	3.74948
161	4.32662
162	0.40748
163	5.85439
164	4.96365
165	10.56912
166	21.71567
167	34.34923
168	52.75397
169	64.42415
170	75.1295
171	68.65465
172	47.80537
173	37.32148
174	21.56818
175	10.8697
176	2.93937
177	4.06854
178	2.46429
179	8.16914
180	4.06904
181	3.34691
182	8.78371
183	2.22829
184	3.75849
185	9.54512
186	7.62658
187	1.62059
188	6.11058
189	9.88723
190	8.22105
191	2.69196
192	9.045
193	3.03369
194	0.64662
195	7.48904
196	0.79733
197	5.64052
198	1.69456
199	1.4085
200	1.1794
