Time	Amp
0.25	0.15005
0.5	0.15005
0.75	0.15676
1	0.16741
1.25	0.17594
1.5	0.18433
1.75	0.17937
2	0.1766
2.25	0.17494
2.5	0.16954
2.75	0.16536
3	0.16204
3.25	0.15716
3.5	0.15436
3.75	0.15012
4	0.14542
4.25	0.142
4.5	0.13693
4.75	0.13215
5	0.12863
5.25	0.12519
5.5	0.12128
5.75	0.11804
6	0.11492
6.25	0.11178
6.5	0.10719
6.75	0.10522
7	0.10138
7.25	0.10003
7.5	0.09466
7.75	0.09244
8	0.08973
8.25	0.0875
8.5	0.08714
8.75	0.08337
9	0.08138
9.25	0.08174
9.5	0.07969
9.75	0.0783
10	0.0776
10.25	0.0761
10.5	0.07544
10.75	0.0756
11	0.07528
11.25	0.0742
11.5	0.07235
11.75	0.07271
12	0.07241
12.25	0.07284
12.5	0.07287
12.75	0.07429
13	0.07694
13.25	0.07717
13.5	0.0761
13.75	0.07769
14	0.08016
14.25	0.08378
14.5	0.08316
14.75	0.08458
15	0.08762
15.25	0.08795
15.5	0.09094
15.75	0.09273
16	0.0976
16.25	0.09944
16.5	0.1059
16.75	0.11158
17	0.11623
17.25	0.12416
17.5	0.13157
17.75	0.14186
18	0.15102
18.25	0.15611
18.5	0.16372
18.75	0.17222
19	0.18518
19.25	0.2003
19.5	0.22074
19.75	0.24762
20	0.28154
20.25	0.32554
20.5	0.38145
20.75	0.45238
21	0.54596
21.25	0.66612
21.5	0.89334
21.75	1.04963
22	1.26477
22.25	1.44701
22.5	1.63098
22.75	1.7616
23	1.94486
23.25	2.01383
23.5	2.03747
23.75	2.00032
24	1.92362
24.25	1.71398
24.5	1.57197
24.75	1.36014
25	1.17336
25.25	0.97645
25.5	0.81417
25.75	0.59196
26	0.46322
26.25	0.36884
26.5	0.30154
26.75	0.2558
27	0.22458
27.25	0.20116
27.5	0.18422
27.75	0.172
28	0.16428
28.25	0.15858
28.5	0.16077
28.75	0.16252
29	0.16784
29.25	0.17479
29.5	0.1834
29.75	0.19204
30	0.20127
30.25	0.21107
30.5	0.21858
30.75	0.22459
31	0.22935
31.25	0.23121
31.5	0.23198
31.75	0.22962
32	0.2283
32.25	0.22454
32.5	0.21721
32.75	0.20969
33	0.2046
33.25	0.19864
33.5	0.19167
33.75	0.18621
34	0.1813
34.25	0.17485
34.5	0.17042
34.75	0.16534
35	0.15959
35.25	0.15428
35.5	0.14767
35.75	0.14213
36	0.13735
36.25	0.13373
36.5	0.13141
36.75	0.12952
37	0.12869
37.25	0.12917
37.5	0.13039
37.75	0.13192
38	0.13414
38.25	0.13538
38.5	0.13525
38.75	0.13272
39	0.12928
39.25	0.12527
39.5	0.12202
39.75	0.11638
40	0.11146
40.25	0.1066
40.5	0.10339
40.75	0.10193
41	0.10062
41.25	0.09948
41.5	0.10141
41.75	0.10256
42	0.10299
42.25	0.10408
42.5	0.10664
42.75	0.10292
43	0.09796
43.25	0.09268
