Wavelength	Absorbance	Wavelength	Absorbance
nm		nm	
626.5	0.16953	645.3	0.12716
627.1	0.16675	646.5	0.12369
628	0.16428	647.1	0.1217
629.1	0.16031	648.2	0.11838
630	0.15833	650	0.11444
630.6	0.15735	651.5	0.11182
631.5	0.15637	652.9	0.10963
632.4	0.154	654.4	0.10782
633.9	0.15127	657	0.10378
635.4	0.14797	659.1	0.10189
636.8	0.14622	660.9	0.10072
638	0.14475	662.6	0.09945
639.8	0.14159	663.2	0.09916
641	0.13912	664.1	0.09847
642.5	0.1372	665.6	0.09699
644	0.13455	666.7	0.09601
645.4	0.13323	667.9	0.09525
646.9	0.13177	668.8	0.09501
649	0.12975	670.6	0.09456
650.2	0.12909	672.7	0.09459
652.3	0.12711	673.2	0.0941
654.1	0.12644	674.7	0.09412
655.6	0.12551	677.1	0.09418
657	0.12393	678.9	0.09445
658.8	0.12356	680.4	0.09461
660.9	0.12291	682.2	0.09472
662.1	0.12241	682.7	0.09522
663.3	0.1224	686.8	0.0952
664.8	0.1222	689.4	0.09578
666	0.12123	693	0.09757
667.2	0.12129	696.3	0.09901
668.1	0.12106	700.7	0.10015
668.7	0.12074	705.5	0.10227
670.7	0.12084	710	0.10445
672.5	0.12138	713.8	0.10657
674.3	0.12192	718	0.10833
676.1	0.12196	721.6	0.11082
677.6	0.1222	725.7	0.1135
679.1	0.1227	729	0.11646
680.9	0.12307	733.2	0.11968
681.8	0.12359	737.9	0.12283
683.3	0.12387	740.3	0.12491
686	0.12468	745.1	0.12806
686.9	0.1252	751	0.13274
688.7	0.12524	755.2	0.13588
690.2	0.12615	758.5	0.13848
692.6	0.12683	763.2	0.14262
694	0.12786	768	0.14677
694.9	0.12838	772.8	0.15092
696.4	0.12941	777.8	0.15558
698.2	0.12989	782.3	0.15972
700.3	0.13099	785.9	0.16383
701.8	0.13061	789.7	0.16744
703.3	0.13156	793.9	0.17107
705.4	0.13305	798.4	0.1759
707.5	0.13515	803.1	0.17986
709.3	0.13619	808.2	0.18352
710.8	0.13722	810.6	0.18559
712.3	0.13775	813.6	0.18905
714.1	0.13879	819.5	0.19387
716.5	0.13984	824	0.19812
717.4	0.14086	828.1	0.20241
719.5	0.14241	832	0.20576
721	0.14394	834.7	0.20804
721.1	0.14401	837.1	0.21002
722.6	0.14506	840.6	0.21284
724.1	0.14661	843.3	0.21482
726.4	0.14893	846.3	0.21746
728.8	0.15162	850.2	0.22102
730.6	0.15382	852.8	0.22325
732.7	0.15539	854.9	0.22523
733.6	0.15642	857.3	0.22722
735.1	0.15797	860.9	0.22969
737.7	0.16105	863	0.23068
739.5	0.16261	867.4	0.23415
741	0.16416	872.2	0.23718
741.9	0.16519	873.4	0.23783
743.7	0.16675	874.3	0.23894
746.4	0.16934	877.8	0.24107
748.5	0.17091	881.4	0.24327
751.1	0.173	883.8	0.24516
753.2	0.17457	885.6	0.2463
754.1	0.17559	890.3	0.24899
754.7	0.17611	893.3	0.25063
755.6	0.17714	896	0.25234
756.5	0.17767	900.5	0.25442
758	0.17922	906.1	0.25655
759.5	0.18077	909.4	0.2583
760.7	0.18231	912.9	0.26034
761.2	0.18333	917.4	0.26245
763	0.18439	920.7	0.26354
765.1	0.18695	924.5	0.26527
766.9	0.1882	929.9	0.26574
769	0.19008	932.8	0.26722
771.1	0.19215	936.4	0.2687
773.4	0.19423	939.4	0.26918
775.2	0.19717	940.6	0.26967
776.7	0.199	941.5	0.27017
778.2	0.20138	943.2	0.27066
779.7	0.20343	944.4	0.27165
780.9	0.20547	946.2	0.27263
782.1	0.2075	947.1	0.27313
783	0.20903	948	0.27362
784.7	0.21158	949.2	0.27411
786.5	0.21364	950.4	0.27461
788	0.21619	951.9	0.2751
788.9	0.21722	952.5	0.27609
789.8	0.21875	953.3	0.27709
791.9	0.22098	953.9	0.27758
794.6	0.2244	954.8	0.27857
795.1	0.22541	956.6	0.28006
796	0.22694	958.1	0.28115
797.2	0.22842	959.3	0.28204
799.6	0.23156	960.8	0.28323
802.3	0.23514	962.8	0.28298
802.9	0.23566	964	0.28282
805.5	0.23825	965.8	0.28201
807.3	0.24081	966.7	0.28051
810	0.24389	967.6	0.28
812.6	0.24768	969.4	0.27903
816.5	0.25261	970.6	0.27819
818.8	0.25518	971.5	0.2778
820.9	0.25894	972.9	0.27698
823.3	0.26213	974.4	0.27667
827.4	0.26858	977.1	0.27601
829.8	0.27153	980.4	0.27585
832.1	0.27411	983.3	0.2757
833.3	0.27615	987.2	0.27491
835.4	0.27911	989	0.27457
836.6	0.28067	993.1	0.27511
839.5	0.28415	998.2	0.27514
840.4	0.28565	999.1	0.27473
841.3	0.28614	1001.5	0.27433
843.4	0.28863	1008	0.27326
844.8	0.29112	1011.6	0.27278
845.7	0.29218	1015.1	0.27127
848.7	0.29604	1019.6	0.27083
851.3	0.29918	1021.7	0.27067
853.4	0.30107	1024.9	0.26972
855.8	0.30405	1029.7	0.26855
858.1	0.30654	1033.2	0.26817
861.4	0.31002	1036.8	0.26666
864.1	0.3135	1041.6	0.26513
865.5	0.31549	1043.6	0.26462
867.6	0.31798	1049.3	0.26359
869.7	0.31997	1057	0.26105
871.4	0.32246	1062.9	0.2586
873.8	0.32472	1070.1	0.25649
875.9	0.32693	1076.9	0.25335
877.9	0.32892	1082.8	0.25093
878.5	0.32942	1087.6	0.24841
880.9	0.33197	1091.5	0.24689
883.9	0.33452	1095.9	0.24474
885.6	0.33665	1100.7	0.24332
888.3	0.33887	1105.4	0.24083
890.1	0.34036	1109.9	0.2388
891.8	0.34289	1114.3	0.23643
893.9	0.34505	1120.3	0.23371
896	0.34721	1125.3	0.23074
899.2	0.3508	1129.5	0.22772
901.6	0.35329	1134.2	0.22507
903.4	0.35478	1138.4	0.22268
906.3	0.35744	1143.1	0.21977
909.6	0.3602	1146.7	0.21765
911.9	0.36124	1151.2	0.21563
914.3	0.36273	1156.5	0.2131
914.9	0.36327	1161.8	0.21058
915.8	0.36396	1166.9	0.20756
916.7	0.36515	1172.2	0.20453
917.9	0.36601	1176.7	0.20201
920.5	0.36742	1178.5	0.201
921.7	0.36805	1183.8	0.19878
923.5	0.36968	1189.2	0.19595
924.7	0.37068	1196.3	0.19192
927.6	0.37266	1202.6	0.18836
930.6	0.37465	1205.3	0.18641
932.9	0.37614	1208.3	0.18487
935	0.37713	1212.8	0.18185
936.8	0.37862	1218.8	0.17903
939.7	0.38011	1222.7	0.17724
941.8	0.3816	1227.2	0.17478
944.2	0.38259	1231.7	0.17176
