wavenumber	intensity
cm\+(-1)	a.u.
175.9583	1424.61422382127
177.8867	1370.31633693675
179.8152	1344.72387238379
181.7437	1352.44857863167
183.6721	1395.455226518
185.6006	1473.15227855311
187.5291	1582.6459448867
189.4576	1719.12330921551
191.386	1876.32428342042
193.3145	2047.05980222153
195.243	2223.73478210636
197.1714	2398.83855724222
199.0999	2565.372164602
201.0284	2717.19022160925
202.9568	2849.24438122679
204.8853	2957.72461520359
206.8138	3040.10308657048
208.7422	3095.09247685135
210.6707	3122.53585767296
212.5992	3123.24827206921
214.5276	3098.83106455737
216.4561	3051.47882285135
218.3846	2983.79589682463
220.313	2898.63530570654
222.2415	2798.96797849276
224.17	2687.78526636522
226.0984	2568.03305944599
228.0269	2442.57209138963
229.9554	2314.15645972882
231.8838	2185.42121400366
233.8123	2058.87009376659
235.7408	1936.85600558273
237.6692	1821.54934806095
239.5977	1714.89246041903
241.5262	1618.54185656425
243.4546	1533.80307334573
245.3831	1461.56550260235
247.3116	1402.24616269016
249.24	1355.75177815841
251.1685	1321.46769162492
253.097	1298.28008759341
255.0254	1284.63495857294
256.9539	1278.63350106316
258.8824	1278.15958987775
260.8108	1281.0310860238
262.7393	1285.1634277309
264.6678	1288.73163181337
266.5962	1290.31580079694
268.5247	1289.01567557679
270.4532	1284.5217347406
272.3816	1277.13370782141
274.3101	1267.72188120115
276.2386	1257.63184606562
278.167	1248.5388882194
280.0955	1242.26351997373
282.024	1240.56417394397
283.9524	1244.9263363541
285.8809	1256.36900959118
287.8094	1275.28911386231
289.7378	1301.36218533331
291.6663	1333.51360253468
293.5948	1369.96885167731
295.5232	1408.38446230686
297.4517	1446.0537715254
299.3802	1480.17425271507
301.3086	1508.15644443038
303.2371	1527.9491755027
305.1656	1538.35235172315
307.094	1539.28745392186
309.0225	1531.9973198302
310.951	1519.15075609948
312.8794	1504.83384664537
314.8079	1494.41807390725
316.7364	1494.30495344368
318.6648	1511.55706422368
320.5933	1553.43532059865
322.5218	1626.8712452736
324.4502	1737.91008691755
326.3787	1891.16522227684
328.3072	2089.32590966361
330.2356	2332.75886056741
332.1641	2619.23926222676
334.0926	2943.83906910348
336.021	3298.99008477182
337.9495	3674.72729063861
339.878	4059.10491910713
341.8064	4438.76488767621
343.7349	4799.62539994333
345.6634	5127.64771572616
347.5918	5409.63209958349
349.5203	5633.9903804967
351.4488	5791.44275067883
353.3772	5875.59047053804
355.3057	5883.32380763227
357.2342	5815.03531569936
359.1626	5674.62170348216
361.0911	5469.272106797
363.0196	5209.05549303392
364.948	4906.33408518832
366.8765	4575.04202633733
368.805	4229.87807542545
370.7334	3885.46719201221
372.6619	3555.54795152151
374.5904	3252.2406527485
376.5188	2985.44487062235
378.4473	2762.40551171036
380.3758	2587.47386551787
382.3042	2462.07565118596
384.2327	2384.88272753091
386.1612	2352.17012297353
388.0896	2358.3264879492
390.0181	2396.47500405775
391.9466	2459.15404111306
393.875	2539.00302115882
395.8035	2629.39931361539
397.732	2724.99651196167
399.6604	2822.12277373754
401.5889	2919.00939333896
403.5174	3015.83352922977
405.4458	3114.57395771132
407.3743	3218.69371619832
409.3028	3332.67736945504
411.2312	3461.46230899016
413.1597	3609.81207536004
415.0882	3781.68451175648
417.0166	3979.64824199899
418.9451	4204.39746323424
420.8736	4454.40762264606
422.802	4725.76377951669
424.7305	5012.18016761225
426.659	5305.21468971132
428.5874	5594.6669317979
430.5159	5869.13394107175
432.4444	6116.68556861089
434.3728	6325.61158621359
436.3013	6485.18677988132
438.2298	6586.39825671975
440.1582	6622.58142582727
442.0867	6589.91735600833
444.0152	6487.75399831339
445.9436	6318.72634711469
447.8721	6088.66504858567
449.8006	5806.29816389991
451.729	5482.76561846777
453.6575	5130.97921562469
455.586	4764.87197964922
457.5144	4398.58822753865
459.4429	4045.66961111182
461.3714	3718.29216969494
463.2998	3426.60524345185
465.2283	3178.21527121894
467.1568	2977.84665566625
469.0852	2827.19886204642
471.0137	2725.00471598235
472.9422	2667.28054693402
474.8706	2647.74544669592
476.7991	2658.37544920869
478.7276	2690.0497026356
480.656	2733.24029223124
482.5845	2778.69561825108
484.513	2818.06919122665
486.4414	2844.45115127948
488.3699	2852.76826456723
490.2984	2840.02889768909
492.2268	2805.40166004246
494.1553	2750.12908433633
496.0838	2677.28992016232
498.0122	2591.43443613511
499.9407	2498.12578038599
501.8692	2403.42633845254
503.7976	2313.37077874736
505.7261	2233.46696500859
507.6546	2168.2622719347
509.583	2121.00643169928
511.5115	2093.43343618952
513.4399	2085.67494856465
515.3684	2096.30695916423
517.2969	2122.52090515195
519.2253	2160.40097315884
521.1538	2205.28153214182
523.0823	2252.15315898318
525.0107	2296.08288797554
526.9392	2332.61428585438
528.8677	2358.1156512206
530.7961	2370.04977323126
532.7246	2367.14578665846
534.6531	2349.46211291655
536.5815	2318.33857228325
538.51	2276.24475089335
540.4385	2226.53989286895
542.3669	2173.16633091942
544.2954	2120.30326590275
546.2239	2072.01022226359
548.1523	2031.88959685424
550.0808	2002.79543531128
552.0093	1986.61115320207
553.9377	1984.11277384804
555.8662	1994.92691530684
557.7947	2017.58484313009
559.7231	2049.66606315204
561.6516	2088.01778927147
563.5801	2129.03074424839
