Wavelength,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
nm,arb units,arb units,arb units,arb units,arb units,arb units
Concentration,0.01 µmol/ml,0.02 µmol/ml,0.03 µmol/ml,0.04 µmol/ml,0.05 µmol/ml,0.06 µmol/ml
400,0.03967,0.08433,0.14533,0.16433,0.232,0.28367
401,0.039,0.083,0.14367,0.162,0.229,0.28
402,0.03833,0.082,0.141,0.159,0.225,0.275
403,0.03767,0.08,0.138,0.15567,0.22033,0.26933
404,0.03667,0.078,0.135,0.152,0.21567,0.26367
405,0.036,0.076,0.13133,0.148,0.21067,0.25733
406,0.03467,0.074,0.128,0.14433,0.205,0.25067
407,0.03367,0.072,0.124,0.14033,0.19967,0.244
408,0.03267,0.07,0.12067,0.136,0.19367,0.23667
409,0.03133,0.067,0.11633,0.13133,0.187,0.229
410,0.03,0.065,0.112,0.12667,0.18067,0.22133
411,0.029,0.062,0.108,0.12167,0.174,0.21333
412,0.02733,0.06,0.10367,0.117,0.16767,0.20533
413,0.026,0.057,0.099,0.112,0.16067,0.197
414,0.025,0.05467,0.09467,0.107,0.15367,0.188
415,0.02367,0.052,0.09,0.102,0.14667,0.17933
416,0.022,0.049,0.08567,0.09667,0.139,0.17033
417,0.021,0.04667,0.081,0.09133,0.132,0.162
418,0.02,0.044,0.07633,0.08667,0.12533,0.15367
419,0.018,0.041,0.072,0.08133,0.11867,0.14533
420,0.017,0.03833,0.06767,0.07633,0.11167,0.13667
421,0.016,0.036,0.063,0.07167,0.10467,0.12867
422,0.015,0.034,0.059,0.06733,0.09867,0.121
423,0.01367,0.031,0.055,0.06267,0.092,0.113
424,0.01267,0.029,0.05167,0.05833,0.08633,0.10633
425,0.012,0.027,0.048,0.05467,0.08067,0.09933
426,0.011,0.025,0.04467,0.05067,0.07567,0.093
427,0.01,0.023,0.04133,0.047,0.07033,0.08633
428,0.009,0.022,0.03833,0.04367,0.06567,0.08033
429,0.008,0.02,0.035,0.04,0.061,0.07467
430,0.00733,0.018,0.03267,0.037,0.05667,0.06967
431,0.007,0.017,0.03,0.03433,0.05267,0.065
432,0.006,0.01567,0.028,0.032,0.049,0.06033
433,0.00533,0.014,0.026,0.02933,0.046,0.05633
434,0.005,0.013,0.024,0.027,0.043,0.05233
435,0.00433,0.012,0.022,0.025,0.04,0.04867
436,0.004,0.011,0.02,0.023,0.037,0.04567
437,0.00333,0.01,0.019,0.02167,0.035,0.04267
438,0.003,0.00933,0.01733,0.02,0.033,0.04033
439,0.003,0.009,0.016,0.019,0.031,0.038
440,0.00267,0.008,0.015,0.018,0.02933,0.036
441,0.002,0.008,0.014,0.017,0.028,0.03433
442,0.002,0.007,0.01367,0.016,0.02633,0.03233
443,0.002,0.007,0.013,0.015,0.02533,0.031
444,0.002,0.00633,0.012,0.014,0.02433,0.02967
445,0.00167,0.006,0.012,0.01367,0.02333,0.02867
446,0.00133,0.006,0.011,0.013,0.023,0.02767
447,0.001,0.006,0.011,0.01233,0.022,0.02667
448,0.001,0.005,0.01,0.012,0.021,0.026
449,0.001,0.005,0.01,0.012,0.02067,0.02533
450,0.001,0.005,0.009,0.011,0.02,0.02433
451,0.001,0.005,0.009,0.011,0.01967,0.02367
452,0.001,0.005,0.009,0.01,0.019,0.02333
453,0.001,0.00433,0.00867,0.01,0.01833,0.02233
454,0.001,0.004,0.008,0.01,0.018,0.022
455,0.001,0.004,0.008,0.00967,0.01767,0.02133
456,0.001,0.004,0.008,0.009,0.017,0.021
457,0.001,0.004,0.007,0.009,0.01667,0.02033
458,6.66667E-4,0.004,0.007,0.00867,0.016,0.01967
459,6.66667E-4,0.00367,0.007,0.008,0.01567,0.019
460,0,0.003,0.007,0.008,0.015,0.01833
461,0,0.003,0.006,0.00767,0.015,0.018
462,0,0.003,0.006,0.007,0.014,0.01733
463,0,0.003,0.006,0.007,0.014,0.01667
464,0,0.003,0.005,0.00633,0.013,0.016
465,0,0.002,0.005,0.006,0.01267,0.01533
466,0,0.002,0.005,0.006,0.012,0.01467
467,0,0.002,0.004,0.005,0.01133,0.014
468,0,0.002,0.004,0.005,0.011,0.01333
469,0,0.002,0.004,0.005,0.01033,0.01267
470,0,0.001,0.003,0.004,0.01,0.012
471,-0.001,0.001,0.003,0.004,0.009,0.01133
472,-0.001,0.001,0.003,0.003,0.00867,0.01033
473,-0.001,0.001,0.002,0.003,0.008,0.01
474,-0.001,0.001,0.002,0.003,0.008,0.00933
475,-0.001,0.001,0.002,0.002,0.007,0.00867
476,-0.001,0,0.001,0.002,0.007,0.008
477,-0.001,0,0.001,0.002,0.006,0.00767
478,-0.001,0,0.001,0.001,0.006,0.007
479,-0.001,0,0,0.001,0.00533,0.00633
480,-0.001,0,0,0.001,0.005,0.006
481,-0.001,0,0,0.001,0.005,0.00567
482,-0.001,-6.66667E-4,0,0,0.004,0.00533
483,-0.001,-0.001,-3.33333E-4,0,0.004,0.00467
484,-0.001,-0.001,-0.001,0,0.00367,0.00433
485,-0.001,-0.001,-0.001,0,0.00333,0.004
486,-0.001,-0.001,-0.001,-3.33333E-4,0.003,0.00367
487,-0.001,-0.001,-0.001,-0.001,0.003,0.00333
488,-0.001,-0.001,-0.001,-0.001,0.00267,0.003
489,-0.001,-0.001,-0.001,-0.001,0.00267,0.003
490,-0.001,-0.001,-0.001,-0.001,0.00233,0.003
491,-0.001,-0.001,-0.001,-0.001,0.002,0.00267
492,-0.00133,-0.001,-0.001,-0.001,0.002,0.00233
493,-0.001,-0.001,-0.00167,-0.001,0.002,0.00233
494,-0.00133,-0.001,-0.002,-0.001,0.002,0.002
